rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
P0ACS9	2298050	2975360	1687840	2082140	1209070	1686330	2204880	1249800	592060	1446100	2195060	2272510	2231760	1604090	1782330	2126130	1762010	1161700	2381650	1515590	2891720	2304270	1609680	2136180
P69054	5356600	3945910	NA	981041	3691110	6893280	3566020	2207850	1886030	2844520	6459460	3809810	5147170	2016950	NA	1353780	1199390	NA	1038040	NA	658986	NA	NA	NA
P67603	29570800	25381800	28268100	25598300	26354200	26391800	26314000	26942200	24743900	28997100	27395300	36586600	31301700	29760700	28181200	32741600	27646200	28280600	27591700	31659600	30301500	31218000	29057200	30746500
P63177	6168590	6519570	6436060	7374960	5277280	5606680	6033240	5704100	5576460	5980280	6099760	4565170	6072900	6249680	6295520	7031500	7104570	7053900	7439970	7076200	7511780	6667360	7168070	6877560
P0C054	23752600	20299000	17966700	19215400	23873800	25696500	23050400	18437700	14257200	21126000	25424800	32645700	25136600	20533700	17644600	23230900	18597900	16999100	20567800	20263700	22666800	21985600	17619100	24246000
P0AB98	1752800	1667770	985683	1226230	949232	1473090	1441590	993654	696104	1061710	1321090	1129620	1509900	1072280	1205640	1064070	1157110	840783	1119770	915258	1234790	1440680	985060	1145710
P0A917	264936000	214749000	347576000	426909000	143676000	176181000	378055000	149359000	92377400	142513000	313924000	549177000	145925000	116248000	135774000	325850000	133183000	216525000	420089000	312491000	397968000	152522000	181456000	332989000
P0AFW4	27836400	21487700	13252400	9073300	34731800	32163700	25701400	28943300	36841700	32962300	28080500	33105800	28791400	23327400	15529800	15830000	13581800	15750100	13651000	11178300	12552000	11892400	13591600	13619800
P52073	398515	402577	NA	NA	541874	525295	456309	712507	486937	679552	609204	398635	607793	685549	NA	NA	NA	NA	NA	NA	NA	NA	125769	NA
P37613	6148820	5413770	4554500	5393820	4012760	3662380	4177420	3440700	2979660	3237000	4717980	6486010	4412670	3515440	4757630	5004060	5233180	3575660	5515040	4463620	5272380	5284210	4322710	4985130
P0AAJ5	1482180	1005230	3084750	1844850	761438	NA	1696650	NA	2412640	NA	NA	1043100	NA	720540	2205110	3099550	2750240	3356260	NA	2874470	2163180	2988970	2241970	NA
P64515	2959060	2121720	869091	1456750	1578540	3554870	2002580	672759	536746	726096	3109170	1083620	2453810	NA	1287080	1798470	1929660	1191730	2068480	1013940	2247490	2298130	870106	1833590
P0AAS0	18455100	13732700	12295100	11866800	14543300	16494300	13200900	11321400	8200340	13765500	13600700	9248470	13338900	11882900	7936750	9972160	10575100	8727080	16172200	10054800	11070300	8992270	7845290	11222900
P45751	NA	NA	3734040	3614620	NA	NA	4115140	4146780	NA	3144510	4151300	3749470	NA	4051000	4151190	3828590	3328790	4658790	2847470	3717680	3334000	NA	4423530	NA
P0A9K7	12856200	15341700	7571280	8391210	7839080	10183300	12565500	9692200	7496200	9677380	11180200	8577640	11711300	8193060	6817250	7622730	8501900	4581040	8193570	7418530	9663840	7962640	6198700	8105680
P08368	4248900	3963300	3022920	2837620	5539370	4621520	3888730	4613530	2218160	2480060	4714150	3929790	4127420	2806540	2515130	3534570	3313770	2216060	3790240	2696400	3281530	3456590	2527520	3810150
P00579;P13445	2159780	3128350	1058990	2754210	1861200	1441190	1951600	1913810	1139310	2633380	1925910	1169480	2241790	1985400	1250850	1451180	2821230	1609040	2753050	1751360	1941400	1877950	1448470	2822980
P0A7T7	413193000	386132000	443308000	492954000	388826000	431279000	447431000	331553000	303405000	364826000	423684000	373243000	408499000	336344000	466388000	549854000	478805000	393061000	590794000	450834000	551593000	499351000	413085000	535562000
P08401	2568760	4128670	1933310	2287690	2369170	2420640	2700710	2761500	1828920	2637380	2732530	1328830	2803320	2885200	1877980	2584610	2660050	2095850	2382030	1740660	2562320	2543350	2492320	2644300
P67762	3334170	2571840	3230370	2152480	2860510	3148650	2471150	2258620	3022760	2768850	2391660	1612960	2560290	2687340	2717760	2972990	2465020	2839060	2570320	2862240	2545890	2550920	2129260	3084350
P0AFP4	9754080	9927710	10118400	11062300	10869200	11402400	8707970	10226100	8044430	9782010	11442800	5459510	10897400	8820810	12449700	12142300	13304500	9332010	13165000	11661500	13702700	13479700	11311600	12961200
P45795	4909570	6797470	5943610	5081130	4503830	4552990	4551250	5287520	6390070	5009000	4146630	2284860	4948570	7160680	5182210	4528620	5742070	5387490	5685710	4923730	5163270	5109160	6286230	5015680
P77214	9831420	9601820	7855640	NA	13814400	NA	8724330	NA	52719200	8179700	10417400	NA	NA	1507970	NA	8229600	5254180	NA	3274160	2535110	NA	NA	35678700	4163290
P13669	1642550	1343760	1424530	1548200	1869080	1881350	1822800	1542440	1382860	1423790	1888840	2024090	1934670	1935780	1685070	1952200	1569500	1467560	1753980	1499480	1470450	1419880	1326450	1660880
P31064	28592800	27247600	8275110	10383700	17096700	24319900	23824700	16249900	11437200	17074400	26746600	11702800	30238900	11220200	12418200	9551920	14362900	5115470	12887700	7287250	15011500	16818700	7444580	10349300
P64429	4742940	5564970	4537090	4955630	3865950	3526980	6270420	5298360	5115140	5496540	4819960	3628140	4823400	4963950	4310610	4844340	4240220	5523340	4355160	4899050	4596340	3761260	4787750	4844920
P39410	1289680	1121990	1353410	1815680	1484370	1232660	1501160	1631800	1075260	1404560	1218830	432981	1201460	913926	1078680	1388930	1173240	1009600	1488250	1274150	1268630	1376560	1162140	1379730
P0ACD8	24816700	28353000	35324500	30524900	25594300	29609200	8191900	24030100	30478600	15347500	20201000	14263400	20005500	20646400	35577800	30649300	23337900	27677900	11982800	29965300	29993000	44837100	26525100	30125500
P06136	9591860	9403320	11511900	10914800	6396990	6313200	9036730	8028520	8128070	8446400	5503230	26617500	7667490	8452070	9325880	10437200	11220300	11115200	9313190	11300400	9759270	8863090	10756300	8534820
P27128	4170370	4061120	2063670	2691520	4387790	5786290	4738560	2772980	1563980	2826560	5204020	3808540	4262940	2529420	1967520	3456200	2560690	1759980	3153440	2048780	3835610	3007730	2057050	3623620
P0AAS3	10002100	11148100	8571080	8996550	12580400	14992700	12253600	14311600	12130500	13746100	10728600	8330360	11747300	11757600	8581940	10667200	8338260	10729300	10582900	9438660	10876900	11125300	7924780	9942700
P23827	10608600	8449840	6908010	5404270	11663100	9236880	6173320	10969300	14879300	10099800	8752550	14460700	9225740	10614600	5751730	6392820	5744290	6565490	5802200	5480700	5432540	5957540	5674410	5337700
P67662	5814640	5715170	6298850	5151320	3994190	3995350	4925600	4160580	3993740	4247540	4409870	2776780	4497000	3906950	5055360	4896050	5422260	3324500	4864700	4877450	5446910	5630710	5388930	4283360
P75959	17610600	15515900	12471600	12692900	19417100	16652200	16326900	19136600	15159700	18170500	15806200	11814500	17589300	19523100	13609300	12952500	13532500	14396000	14047900	12278400	11590800	12441400	14482900	13222800
P0AED5	12045700	11109100	15162700	17614300	12283600	13680800	14278900	12313000	9607510	11687400	14883500	10117100	14584100	13568100	16713000	18473000	17471800	15010800	19171900	15077300	18423800	18125400	15578400	18896300
Q7DFV3	22652300	18587400	20811500	19865700	17891800	20004900	21786200	20319100	15869800	15323000	25506100	43569200	21678300	19494000	18692600	25262700	13113400	20830500	17051900	16807900	19906400	22621300	14736300	22248500
P27305	2608890	2582570	2332530	2489210	2261390	2188910	2476510	2289410	1790140	2314050	2356450	1149160	2765350	2353760	2121740	1948230	2535470	1652230	2470870	2371880	2076200	2245500	2273530	2382630
P0A843	NA	7129070	5671440	3794560	3444650	2100420	2815870	4039270	4028080	4959610	4484310	6103860	4908930	4548860	5905590	7109290	5116270	6897180	4728890	6104740	5738360	6386100	5837220	7175880
P75694	99659100	82796900	60618100	47449800	115990000	99086500	121809000	106541000	122680000	106922000	114948000	224884000	108664000	87289500	67683500	85637500	58551000	83147700	66777000	63569600	62110700	48225700	56628000	76074600
P0A7S3	52410400	56745200	77043300	76412100	37824200	23660600	31504500	38905700	41728900	37232900	21436000	21482400	29940700	59368400	79230500	76980600	72187400	93195400	76889200	83573000	71079800	65895800	76965500	71941500
P17109	8594030	6900740	10165700	8413380	7058050	8322710	7905060	8627120	5364750	8187560	7603240	3776900	7206930	7546530	8066060	10302400	8723170	7195880	8809700	7936060	9208330	9422860	7586550	7230180
P64614	65499300	67853900	107397000	99807400	96173400	90357100	81805600	67872500	76924300	90040800	60088200	35868700	93655300	71564800	163643000	143014000	158847000	95942300	108871000	123235000	153287000	168646000	107989000	158505000
P09373;P42632	210851000	203490000	245491000	227486000	214806000	243683000	180436000	186959000	148077000	177981000	237860000	136494000	211452000	178786000	275321000	257681000	286524000	206048000	282861000	183836000	282743000	313233000	201137000	298793000
P0AE22	35225500	31477300	11243300	9444010	38391000	29420100	31832900	36193600	48819200	35712300	36897800	52955900	33527100	35886300	10123500	11622000	9297090	11174000	9198430	10514000	9022770	10293600	10924000	9323020
P28224	2623380	3073090	2173800	1647000	1247210	1549760	1429640	1739780	2179360	1491170	1530170	3399100	1500130	2636980	1668180	1200560	1596460	1362290	1114370	2566050	1574820	1644840	1482420	1708510
