rowname	count
P07109	6
P07117	3
P07118	74
P07363	1
P07395	54
P07604	19
P07623	21
P07639	17
P07648	8
P07649	1
P07650	22
P07762	35
P07813	66
P07821	3
P07822	1
P07862	12
P07913	7
P08142	30
P08178	19
P08179	12
P08189	1
P08190	2
P08191	2
P08192	20
P08200	57
P08201	1
P08202	2
P08204	1
P08244	18
P08245	6
P08312	33
P08331	34
P08337	2
P08368	2
P08373	7
P08390	16
P08394	1
P08395	16
P08400	1
P08401	1
P08506	36
P08506;P0AEB2	1
P08622	14
P08660	26
P08839	48
P08839;P32670;P77439	2
P08956	31
P08957	21
P08997	50
P09029	12
P09030	21
P09053	17
P09099	3
P09126	3
P09127	33
P09147	19
P09148	11
P09151	56
P09152	13
P09152;P19319	3
P09155	2
P09158	13
P09163	1
P09169	39
P09323	13
P09372	26
P09373	89
P09373;P42632	5
P09373;P42632;P68066	1
P09373;P68066	2
P09391	1
P09394	5
P09424	23
P09546	26
P09549	7
P09551	20
P09551;P0AEU0	2
P09831	100
P09832	40
P09833	2
P09835	1
P09836	1
P09980	5
P09996	3
P0A698	25
P0A6A0	11
P0A6A3	34
P0A6A6	41
P0A6A8	3
P0A6B4	11
P0A6B7	45
P0A6C1	12
P0A6C5	19
P0A6C8	22
P0A6D0	4
P0A6D3	18
P0A6D7	16
P0A6E1	7
P0A6E4	54
P0A6E6	7
P0A6E9	8
P0A6F1	25
P0A6F3	32
P0A6F5	68
P0A6F9	10
P0A6G3	4
P0A6G7	14
P0A6H1	32
P0A6H5	41
P0A6H8	11
P0A6I0	11
P0A6I3	12
P0A6I6	4
P0A6I9	3
P0A6J1	7
P0A6J3	2
P0A6J5	13
P0A6J8	22
P0A6K1	7
P0A6K3	7
P0A6K6	25
P0A6L0	18
P0A6L2	13
P0A6L4	5
P0A6L7	5
P0A6L9	8
P0A6M2	1
P0A6M4	5
P0A6M8	79
P0A6N4	8
P0A6N8	10
P0A6P1	54
P0A6P5	30
P0A6P7	13
P0A6P9	40
P0A6Q3	14
P0A6Q6	10
P0A6R0	22
P0A6R3	4
P0A6S0	1
P0A6S5	2
P0A6S7	14
P0A6T1	47
P0A6T3	7
P0A6T5	23
P0A6U3	17
P0A6U5	9
P0A6U8	17
P0A6V1	24
P0A6V8	13
P0A6W0	1
P0A6W3	1
P0A6W5	14
P0A6W9	17
P0A6X1	4
P0A6X3	3
P0A6X7	11
P0A6Y1	10
P0A6Y5	11
P0A6Y8	85
P0A6Z1	27
P0A6Z3	64
P0A6Z6	5
P0A705	80
P0A707	19
P0A715	27
P0A717	26
P0A720	11
P0A722	9
P0A725	12
P0A729	8
P0A731	4
P0A734	11
P0A738	8
P0A742	10
P0A744	9
P0A746	5
P0A749	16
P0A752	6
P0A756	3
P0A759	9
P0A761	1
P0A763	13
P0A776	1
P0A780	13
P0A784	17
P0A786	36
P0A790	1
P0A794	17
P0A796	33
P0A799	49
P0A7A2	13
P0A7A5	10
P0A7A7	32
P0A7A9	12
P0A7B1	25
P0A7B3	1
P0A7B5	23
P0A7B8	3
P0A7B8;P0ACS7	1
P0A7C2	18
P0A7C6	11
P0A7D1	11
P0A7D4	40
P0A7D7	28
P0A7E1	25
P0A7E3	5
P0A7E5	42
P0A7E9	6
P0A7F3	21
P0A7F6	20
P0A7F9	5
P0A7G2	12
P0A7G6	17
P0A7H0	2
P0A7H6	3
P0A7I0	17
P0A7I4	23
P0A7I7	8
