ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.0226363703732132	0.430424698839355	0.00651298471564564	3.25170858573391e-07	7.46875895246663e-06	72.8176689482395	1.26315219346478e-11	2.34585407357744e-11	NA	P0A948
0.0227456768215723	NA	NA	NA	NA	NA	NA	NA	NA	P77634
0.0229625392944096	0.00240025573250255	0.00701047523141959	0.751576963969722	0.0270958691886863	37.320753097169	4.97992571032318e-05	6.5389505757443e-05	NA	P0ABB8
0.0229818527395849	0.142223180610439	0.00225545138223305	0.149362355377783	NA	27.4383866263858	0.00059370646836371	0.00072157276600445	NA	P64594
0.0232669441647286	0.18726069781196	0.587183335708794	0.00807758889087109	7.54476571266445e-05	40.5582532405635	1.35077392012817e-05	1.82578750336323e-05	NA	P0AGJ7
0.023404297541699	0.369326484149042	0.818712609230767	7.60065321434012e-06	1.39946044994486e-06	60.435264355828	2.99792598126024e-09	4.88121325342241e-09	NA	P0AEK2
0.0236260767060179	0.00653572606724339	0.0108663675272426	1.51950002141938e-06	0.000103376395807731	71.7444439722381	2.03920761512732e-11	3.73128408869648e-11	NA	P76423
0.023797528311311	0.299706542469037	0.829964286384351	0.870159694003635	0.518083675293983	11.852389361749	0.295057037746041	0.301989540281706	NA	P08191
0.0242762018342084	0.000144934303350576	0.0240133816565514	0.00335079734112883	0.0124382685571791	52.744334249003	8.30573021961957e-08	1.26367206711491e-07	NA	P36995
0.0244604111330514	0.447030859733557	0.120818319041843	0.557110545875158	NA	14.4285718785269	0.071256385378866	0.0753533240612114	NA	P09391
0.0244786476992517	0.00113679500737985	0.00486982195806167	0.00596970121892166	NA	41.8705054766102	1.43216525200669e-06	2.04724601078446e-06	NA	P0A932
0.0246374375653307	0.353454673748088	0.00316115465258543	0.875418968583096	0.000564156806496219	36.2270741819905	7.69372377066761e-05	9.98093841304476e-05	NA	P03024
0.0246961273874359	0.515509041620324	0.0845047530160553	0.000190847236711939	0.0387494209568752	37.2986669825918	5.02401634361473e-05	6.59335760105464e-05	NA	P37613
0.0247428552828488	0.410589763827574	5.81261925031574e-08	NA	5.77789818893487e-09	80.4385090483482	3.98958192780541e-14	8.42358157035784e-14	NA	P00888;P0AB91
0.0247927297429425	0.853862724409718	0.00789960836557963	0.082334228760137	0.00547654447999595	32.8007621262147	0.000294197439360982	0.000366712972858092	NA	P52097
0.024829705307866	0.0150202216020863	0.00017527319585176	2.49527598596015e-08	1.3852922329589e-07	99.6834060986914	6.30559953684494e-17	1.50401572045975e-16	NA	P0AE18
0.024902285937149	0.200369584525726	0.000647049485186195	8.19202347742796e-07	0.000122739558295579	71.327711457883	2.45545534286762e-11	4.4665901951211e-11	NA	P08337
0.0249350003627408	7.99333927920109e-05	1.76597904352086e-06	0.000104277374736149	1.83843582784919e-06	97.4953131878154	1.72632049145213e-16	4.01121840213521e-16	NA	P06993
0.0250398956968183	0.0081391412867691	1.35649028449522e-07	2.08791499579539e-05	6.78631510851055e-06	93.9778248400577	8.67938853883922e-16	1.957395253582e-15	NA	P45799
0.0250504868812611	0.00047168847175256	2.36662016776601e-05	5.24915571755949e-05	2.24369401504965e-10	108.140203931476	1.26469242305294e-18	3.29856227567275e-18	NA	P38521
0.0253176276305977	0.674130473167955	0.684767025056987	0.0114582098312511	0.0212820767800432	25.5364028245815	0.00441636366357403	0.00503944438265364	NA	P28631
0.0253245768868133	0.0151131845662114	1.11499488706374e-05	6.5134111654782e-08	1.23125454861996e-05	94.2479052832223	7.66861340045369e-16	1.73101518848423e-15	NA	P0AG30
0.0255336031477089	0.0743248709121873	0.00384050075988254	0.0899830764753991	NA	28.4747115017587	0.000391913751302857	0.000483418700688025	NA	P10903
0.0255587378689318	0.00207627903015475	0.752409026700519	0.00312369966515145	0.511668790395668	33.1344881518996	0.000258566096285512	0.000324416178411786	NA	P0AEF0
0.0256971018823442	1.43492077045024e-06	0.000827061321343224	8.7529058849946e-11	5.48720627458883e-12	146.602123683003	1.86209785865871e-26	6.93191751581647e-26	NA	P37095
0.0257549893680141	0.039359499905877	0.000167230966215346	1.00082061139715e-07	4.41565595209543e-08	97.286158429228	1.90058699603674e-16	4.38583411817773e-16	NA	P27250
0.0257568223419156	0.00608046225168901	0.00101673238632793	1.29160936557019e-09	1.38139136784541e-06	99.2253755824436	7.78669539777834e-17	1.84488212525607e-16	NA	P0ADC1
0.0259734731497801	0.00209035349772796	0.0838244618428188	7.57151058546218e-07	0.0010318944189025	66.540388000901	2.05444779195203e-10	3.55483893199783e-10	NA	P04395
0.0261559957966942	0.000357194533992219	5.17551020573593e-06	2.22651587720291e-09	1.14086641279501e-09	128.533570373572	9.29975375340864e-23	2.90091564946151e-22	NA	P0A722
0.0262232321436288	NA	NA	0.0395903635869368	0.266064791935797	NA	NA	NA	NA	P67338
0.0264950409891102	0.0107082469789077	1.55389032688408e-08	0.0541407299749232	0.000620159301413326	72.8983210817066	1.21845562987272e-11	2.26793502921586e-11	NA	P27298
0.0265371993984902	0.219154024277138	1.20217541121984e-05	0.204859886014697	9.39306497772355e-08	68.4842381739741	8.69056342993653e-11	1.52823434819635e-10	NA	P0A6F9
0.0266252357340573	0.00404312063956143	4.34907645278094e-08	8.57470816277379e-09	2.18278390144354e-08	124.603760045365	5.87159648686986e-22	1.75652699721661e-21	NA	P16528
0.0266925550523344	0.0616522295744233	0.760133462636006	1.96997024485483e-08	0.0181529376141945	56.8709258232496	1.409435143942e-08	2.23190526939285e-08	NA	P27129
0.026872293690865	0.290313079276707	0.622029315135156	0.000122527333072924	2.78359318676193e-05	49.649164386748	3.09628738251773e-07	4.57351669886467e-07	NA	P0A940
0.0270056216274059	0.554881686430233	0.490792793835317	0.00266314648771543	0.00721799782878889	31.5437369584648	0.000476885227795859	0.000583878708391084	NA	P36655
0.0270623125028167	0.0121772749324552	0.174297512546899	0.00193647495005933	5.44383043983193e-10	74.6860851211205	5.47633110579284e-12	1.03483486572935e-11	NA	P0AG86
0.0271012811516399	0.000184718048425251	NA	0.360368664597862	NA	NA	NA	NA	NA	P32670
0.0273613332026104	0.133450877758912	0.00169515951257081	0.311381198623252	1.19761334292058e-06	53.5890839613788	5.7867152798927e-08	8.88035478366722e-08	NA	P0A8E5
0.0274067135292864	0.936910787540914	6.17830006807778e-05	0.000165176166106361	0.0069619631247252	54.0596171120624	4.72976346708336e-08	7.28536146945904e-08	NA	P06611
0.0274223885968717	0.0172793835554172	6.20195694727541e-06	0.000134567444286665	0.00306265606876267	68.694400299221	7.91718331917322e-11	1.39718309747741e-10	NA	P33667
0.0275419633707426	0.103397231682828	0.0897032167522804	0.00253599307719654	0.00524088494815787	39.001810240011	2.53700145272219e-05	3.39405959434763e-05	NA	P25519
0.0277236515535414	0.0116359854332112	0.00127031803766267	0.816972981654573	0.136804395948823	33.7979251103582	0.000199831522267608	0.000252638324740566	NA	P0A867;P0A870
0.0279775838150921	0.00245170629618063	1.1458292621258e-06	8.42641851356869e-06	3.39774525778436e-07	99.691653957438	6.28168447580199e-17	1.49975216859773e-16	NA	P60390
0.0281810325291938	0.134254278388588	0.21101413162261	0.016331761676305	0.275592247377682	25.0728647029835	0.00520908988331475	0.00590601378094544	NA	P77552
0.0284024557427137	0.909328672816184	1.4483603687764e-05	0.19749793858075	0.000812323887253933	47.072920447626	9.15865928493546e-07	1.32368748570982e-06	NA	P0AD65
0.028552493819131	0.303565443585642	0.0132723495460429	0.0930503237621524	0.267410640449579	25.5276521765535	0.00443019330873324	0.0050529030710081	NA	P23908
0.0285994973819925	0.514950016249886	1.31489473555999e-06	0.0247208516823521	0.000267353217181991	59.3737071512512	4.76040279684444e-09	7.67039594066498e-09	NA	P03817
0.0289500935584642	0.82517268735076	2.08390897623766e-07	0.00109992936025283	1.45068006402033e-11	101.774215062437	2.40452196478467e-17	5.86486054868403e-17	NA	P77544
0.0291527125069006	0.00168930075957354	5.33549477136369e-06	1.57843373519805e-07	5.48821104733642e-07	104.273865497833	7.57771000596773e-18	1.8986330923126e-17	NA	P09546
0.0293365033951682	0.0519081844101978	0.00499672315019875	0.000519533368439559	9.35113815714978e-06	61.8575329144827	1.61058305046814e-09	2.6660518095416e-09	NA	P77434
0.0293457667495092	0.00108976946207593	0.0415699448431969	1.49187034101813e-05	0.0435219505406666	55.556317329338	2.48556501860085e-08	3.89624870024363e-08	NA	P0AEL3
0.0293606013985989	0.0274759625210966	1.89105961756281e-06	0.0127752412978736	1.49110031139212e-05	71.5491519772399	2.22470657241954e-11	4.06471406866647e-11	NA	P0ADS6
0.0295392923541134	0.0125457256627665	0.122437817384571	3.5799869987562e-15	4.53789911964984e-11	134.159900595791	6.60672819821773e-24	2.21982491423202e-23	NA	P0ACB7
