ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.350660463644224	0.957933619224736	0.0321192034582716	1.35736526782692e-08	1.68958510529253e-05	-4.56696857081976	4.94828169057144e-06	7.26657114402814e-06	NA	P0AG93
0.351607916126313	0.593950211686988	0.00709811905158657	0.0214580017969878	0.682810872359241	-1.85346642195578	0.0638155346269059	0.0701814085970592	NA	P06999
0.351936866473164	0.00356318787004935	8.86546877347567e-10	4.87138979560591e-11	1.04790289041245e-09	-9.63718709933889	5.56931587888254e-22	1.62504940507681e-21	NA	P09169
0.352155134592911	0.0022277127847734	0.203294961510263	2.59130645423941e-05	0.00276130745430544	-4.86366542656582	1.15231631710725e-06	1.73896420612679e-06	NA	P32681
0.353158345442304	0.275865854192778	5.93025063204264e-06	0.636351432382086	0.835161023051493	-1.80165595405737	0.071599551980778	0.0783568691114822	NA	P76076
0.353159874723163	0.0305811771947324	0.873592477975641	0.196657994973188	0.220169080601992	-1.22126262718467	0.221986598798708	0.235118792291296	NA	P0A972
0.353477443001134	0.101549894676935	0.273074600963941	6.59713214409649e-05	0.00925442285727352	-3.77016319967248	0.000163140830376441	0.000219284791821306	NA	P43337
0.35542733014972	0.558053169483977	0.000491656784813924	0.00333968534587154	0.000284506476536144	-4.32827745333838	1.50280079416395e-05	2.16009516849e-05	NA	P0ACL0
0.3573042718613	0.116469226642049	0.600685758447586	0.00226593005785088	0.633134858723347	-1.70019883077691	0.0890935321351553	0.0966043240884097	NA	P31134
0.358290019038043	0.286897395083492	0.0437123408927235	0.276872021960815	0.00579589994788706	-2.57198752546145	0.0101116535111301	0.0119418894764692	NA	P39356
0.358575636481622	0.00118798510397842	4.50528367776675e-05	2.12283679063366e-09	0.482462831190598	-5.91890385410327	3.24094346599033e-09	5.51576538166263e-09	NA	P0AF20
0.35893028332997	0.935206226344023	0.529700678150883	0.401688458864123	0.203719672376424	0.0677711438185137	0.945967814830354	0.94893588955192	NA	P37028
