Symbol	metap	metafc	idx	ID
P31554	0.000648761076222849	-0.0668135635421088	-0.212995975745554	P31554
P0ACZ8	0.000650307589279044	-0.0242038665011129	-0.0771348465780091	P0ACZ8
P0AFY2	0.00066350980629443	-0.0111898517494267	-0.0355630570367476	P0AFY2
P23367	0.000681696533525425	-0.0639496722420599	-0.202490812261097	P23367
P0AE91	0.000687249508549618	-0.0120511223154303	-0.0381163207779402	P0AE91
P39337	0.000693500780512167	-0.124337818579287	-0.392777330709958	P39337
P31463	0.000698693909015594	0.340643325563418	1.07497258541168	P31463
P0CE47	0.000700132384479622	0.121129428358227	0.382141523027025	P0CE47
P0AFP2	0.000728799822738172	-0.129171812236921	-0.405262576968149	P0AFP2
P0ACI0	0.000740454061142018	0.0544797107685447	0.1705488370141	P0ACI0
P0AB98	0.000749453937534416	-0.333482548658143	-1.04221802072445	P0AB98
P0ACE7	0.000756032047669962	0.00621922091016034	0.019413048025231	P0ACE7
P0ACR7	0.00075744189546748	0.026412832065131	0.0824252222640964	P0ACR7
P77730	0.000768311170533337	-0.226079492583259	-0.704116181368529	P77730
P77202	0.000774378377771795	0.050941205530773	0.158480473533667	P77202
P0A8E7	0.000783099136090126	-0.0378973418951821	-0.117716088809249	P0A8E7
P21189	0.000821696444229772	-0.13820994928527	-0.426417579881557	P21189
P0A6W3	0.000829809432908963	-0.108316665231561	-0.333725988750632	P0A6W3
P13482;P62601	0.000835274978269342	0.149332873377555	0.459672049729101	P13482;P62601
P32684	0.000836690027114912	0.0663299555208886	0.204126153700196	P32684
P52097	0.000843370848793161	0.148663857474073	0.456989934882972	P52097
P0ACD8	0.000849567858504095	0.379716312152494	1.16603358288523	P0ACD8
P77333	0.000885768353338296	0.203635168502117	0.621632973644789	P77333
P0AD07	0.000893251834942512	-0.226064474823546	-0.689276480173279	P0AD07
P62517	0.000908006733993261	0.0730456366675702	0.222198320614355	P62517
P0AB24	0.000914649796355005	0.145778274288424	0.442983025132782	P0AB24
P0ACS5	0.000916878046597415	0.0231253363780894	0.0702475666570406	P0ACS5
P52037	0.000920927046045558	-0.305022373012955	-0.925979224998079	P52037
P0ACU5	0.000922755728165389	0.0852092985828006	0.258602829306293	P0ACU5
P0A6N8	0.000923192803058253	-0.0990077682494137	-0.300459625756469	P0A6N8
P32177	0.000977904526712914	0.234565976853688	0.705974051725992	P32177
P0A800	0.000980509770036827	-0.00651536382617027	-0.0196017852942775	P0A800
P64594	0.000998229278269434	-0.0197284136385083	-0.0592004258032348	P64594
P75811	0.0010041526249917	-0.107632446831172	-0.322703631375722	P75811
P17443	0.00101549170376754	-0.00344064773329215	-0.0102989721291518	P17443
P10443	0.00101701328756989	0.121058100682015	0.362287354479877	P10443
P0AEP9	0.00101754394763662	-0.3574887399574	-1.06976604470001	P0AEP9
P0A9E5	0.00102629396612212	0.0653102534204806	0.195194597742475	P0A9E5
P0ADI7	0.00102944126760258	-0.130747176972563	-0.390593910692989	P0ADI7
