ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.000149497656346459	0.124052804596469	3.1070755445285e-12	5.29486359825409e-12	4.22158889201093e-09	5.29486359825409e-12	2.80355805238193e-22	1.78756778382643e-21	NA	P0ADS9
0.000150109268447945	7.99956460614509e-07	3.44201515364207e-07	2.08644750899071e-11	1.42438237744113e-08	1.42438237744113e-08	2.02886509936725e-15	6.22000012655329e-15	NA	P00959
0.000150994248848179	0.313196098916284	1.68756679498058e-06	4.87680138281601e-15	6.62049822858718e-10	6.62049822858718e-10	4.38309967366894e-18	1.73310548934118e-17	NA	P0ABF1
0.000152982261951669	8.49173659817289e-05	3.85830916436043e-09	1.35672771983917e-09	2.1371425567336e-07	3.85830916436043e-09	1.48865494929139e-16	5.10200578332944e-16	NA	P0AEN4
0.00015572249817035	0.00292379165541398	1.30716211942308e-06	5.04700723790216e-09	9.26557437113794e-08	9.26557437113794e-08	8.5850852517937e-14	2.30930538383585e-13	NA	P00962
0.000157365192806575	2.78658526340696e-05	0.0209008603557038	3.94449181926554e-08	0.986892430631417	2.78658526340696e-05	7.76462467938909e-09	1.44089801264285e-08	NA	P0AEG6
0.000164574547246106	5.22699938717957e-06	6.72433644422335e-13	9.0420220841262e-13	2.93729723939392e-16	6.72433644422335e-13	4.52167006150496e-24	3.5259573510969e-23	NA	P27830
0.000165783534551017	2.74403854502298e-06	0.000342621444604272	9.26318757835937e-08	0.00197127949759964	2.74403854502298e-06	7.52970621282193e-11	1.61722480847366e-10	NA	P76407
0.000166501345055232	0.921392152544153	0.000251735801598304	4.17995068072282e-11	1.93941737825044e-09	1.93941737825044e-09	3.76133975247019e-17	1.35118432841546e-16	NA	P08390
0.000168173851388697	0.279116412273548	4.10963624695672e-12	9.07985626650514e-10	2.27416979815151e-12	4.10963624695672e-12	1.68891100821617e-22	1.12493536797256e-21	NA	P37666
0.000168624823471834	8.99926135179365e-10	6.3183032147643e-12	4.22369285307868e-11	2.40356999404548e-09	4.22369285307868e-11	1.7839581315641e-20	9.1152929188138e-20	NA	P07023
0.000173838365052098	0.000921167656039252	6.75876174202645e-05	2.62271059838024e-06	2.41642193627364e-05	2.41642193627364e-05	5.838812784875e-09	1.09075651189902e-08	NA	P0AGG4
