Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0A6F9	-0.309370002339122	-0.437115297510896	-0.181624707167349	26.5014258286805	-4.80549301497171	5.52061436059564e-06	9.26429120026453e-06	1.8184608473126	P0A6F9	5	-4.84438615422338	4.59422936769816e-06	7.79284801674864e-06
P60872	-0.454195313207812	-0.635104247574875	-0.273286378840749	16.9443835533308	-5.0224997123834	4.91180902170218e-06	8.28684823625679e-06	2.08700841379726	P60872	2	-5.00952302928727	4.82022138931716e-06	8.17128548093227e-06
P37649	-0.15611028270575	-0.220322390721852	-0.0918981746896485	19.6257683796102	-4.82413270902967	5.11895396591516e-06	8.6157899390641e-06	1.89184891809075	P37649	6	-4.82826879632658	4.9065138262506e-06	8.31259164698711e-06
P04805	-0.0966771234732953	-0.13708303223593	-0.056271214710661	23.6821817603804	-4.74770258225911	6.97033799282766e-06	1.16350394208108e-05	1.59205469335343	P04805	43	-4.82747612351444	4.92239320289589e-06	8.33450667308509e-06
P0A8G9	-0.289761164290649	-0.409147098716236	-0.170375229865062	22.2233347916747	-4.81605767171238	5.289346095525e-06	8.89728983745173e-06	1.86003433292401	P0A8G9	3	-4.82691439712947	4.93367632417945e-06	8.3486178563969e-06
P77245	0.316726772596542	0.190086753579025	0.443366791614059	17.3443157898072	4.9783975230535	3.70146995621748e-06	6.30497078583134e-06	2.28979832896858	P77245	2	4.89326430491534	4.96451633820237e-06	8.39578599369828e-06
P0AER3	-0.397465881477004	-0.554265577953007	-0.240666185001001	19.9020394332345	-5.0727659285011	4.21621242069492e-06	7.16452422748339e-06	2.30529651117686	P0AER3	2	-5.00482231701114	5.04609954547515e-06	8.5286613810389e-06
P21829	0.110650080802188	0.0655437042708891	0.155756457333486	20.3049707017722	4.86764007924198	4.28881860918785e-06	7.27480256597413e-06	2.06382724738062	P21829	6	4.82026469466135	5.06917034200206e-06	8.56254250489727e-06
P56614	-0.643970674202219	-0.885279651163836	-0.402661697240602	19.4847395810529	-5.44480725013172	6.17010487065205e-06	1.03419578974636e-05	2.32872994099582	P56614	2	-5.43002712319432	5.18400807452393e-06	8.75129806736866e-06
P0A937	-0.699200268924493	-0.989439642143279	-0.408960895705706	19.856667852154	-4.78146918986791	6.22232028031101e-06	1.04233069311009e-05	1.70699214898775	P0A937	2	-4.81545639442941	5.28520345442819e-06	8.91681226429451e-06
P08178	0.167706396116404	0.0977575510530495	0.237655241179759	23.5996191042195	4.75744462613789	6.70240001055613e-06	1.11943919940321e-05	1.63010111995731	P08178	17	4.80905551738504	5.30579448873424e-06	8.94622048696047e-06
P0AFE0	-0.758358008202389	-1.06312468602861	-0.45359133037617	20.4526654558421	-4.99619892602464	7.32531795653636e-06	1.21988089029144e-05	1.76337850601913	P0AFE0	2	-5.05912763941869	5.39101611266109e-06	9.0845039374664e-06
P77615	-0.276386570266055	-0.386698324487354	-0.166074816044756	18.2968269686043	-4.98638600717452	3.52132153875059e-06	6.00895797239476e-06	2.3137421712922	P77615	2	-4.86414294446099	5.47409478084781e-06	9.21901387541948e-06
