	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P00954	11.1197060713353	23.08187022267492	31.336809670510856	0.27282102912867856	0.22411133744443135	0.3215307208129258	2.7656496546112145e-18	7.109738546258659e-19	96.9	21.0	11.263161225932114	2.618992163181772e-19	1.0385283328517193e-18
P00956	-8.39250237037209	24.473847812579123	17.97664454001741	-0.30996256020726776	-0.3832869761361497	-0.2366381442783858	1.257195564577944e-12	4.531700393448963e-13	96.9	78.0	-8.505866802257698	2.2475326216881003e-13	6.333352259737235e-13
P00957	7.829690856753626	23.669278996398617	15.256155440181878	0.22865572958528446	0.17067705022346424	0.2866344089471047	1.8049435460369126e-11	6.966338171047113e-12	96.9	76.0	7.946024488160777	3.513383893410762e-12	9.245237212164533e-12
P00959	13.717745495456784	23.59284178743599	43.71891883261257	0.35543730230790516	0.3039961002640883	0.406878504351722	1.6685669796379222e-23	3.1063436959378714e-24	96.9	52.0	13.93874878868832	6.942050561970911e-25	3.80748865113462e-24
P00960	2.8213881867026616	23.130556774991817	-4.760393243721202	0.08722628120403897	0.025847910046520893	0.14860465236155704	0.007900830152094356	0.0058255859067660445	96.9	17.0	2.852679656086425	0.005299979046506098	0.007215330485091279
P00961	2.3928223354152616	24.313188709823464	-5.8131253900901445	0.046911653998790825	0.007989117280343738	0.08583419071723791	0.023933016224677445	0.018691660593216475	96.9	72.0	2.4391846688690078	0.01653990230501865	0.02134974765521569
P00962	10.484730608045245	23.09995687183071	28.233425175461736	0.2968279757811132	0.2406225296246944	0.353033421937532	5.611875232385678e-17	1.5759509908620628e-17	96.9	45.0	10.644236089380524	5.546715015616381e-18	2.0050814507209216e-17
P00963	15.26633325841053	23.165928108595352	50.76073676826471	0.520727068763307	0.4530087354259266	0.5884454021006874	1.8330535407229007e-26	2.8107247795227154e-27	96.9	18.0	15.440881695893163	7.223922804728112e-28	4.776464431856024e-27
P00968	15.781354149256284	24.86838042543786	53.03809552004567	0.5049121118413069	0.4413932996419268	0.5684309240406871	1.998446566872164e-27	2.917745948140288e-28	96.9	97.0	15.999186725914337	6.038630391858382e-29	4.196261847546249e-28
P02358	7.08468828856039	25.619826064078843	11.721885313468213	0.23868532069829484	0.17179923069088945	0.30557141070570026	5.654193402063902e-10	2.4469247730203193e-10	96.9	20.0	7.169350360393636	1.4978931855793672e-10	3.492237939994893e-10
P02359	17.79562482802522	26.237478748383772	61.62417296404941	0.38332407384899625	0.3405595442506072	0.4260886034473853	4.980241797918039e-31	5.72301624699628e-32	96.9	25.0	18.062858418075713	8.825314737103908e-33	7.871300963342208e-32
P02413	10.786929861983795	25.561702521180404	29.712761532392836	0.4863472087272527	0.3968355885031587	0.5758588289513467	1.33390640224241e-17	3.596841573633044e-18	96.9	13.0	10.897716235818088	1.5846093971536776e-18	5.9772552095533315e-18
P02916	4.890067648289704	18.173520945022617	2.1389469202435603	0.49548971894300564	0.2942977906947717	0.6966816471912396	7.256312123640496e-06	4.164205665086041e-06	95.9	2.0	4.8984966632810805	3.914237879568654e-06	6.833209176344547e-06
P02918	-1.1052425132647026	20.935944086961094	-8.00808525461698	-0.03244603057514439	-0.09072808294519313	0.02583602179490435	0.30510249185954796	0.27185346026325774	96.9	19.0	-1.1183113158346052	0.2661988339444558	0.2991080304485781
P02919	-7.14115860446458	21.289588578271516	11.98635798507333	-0.24032752617675612	-0.3071412507852534	-0.17351380156825885	4.369215487010175e-10	1.8740470199261246e-10	96.9	20.0	-7.226504951023869	1.1400773520292627e-10	2.6931035139107086e-10
P02920	-17.94295269709017	21.670538975247478	22.03050527798304	-1.2557547364967938	-1.4014100348703034	-1.1100994381232843	1.2336845592294728e-13	4.162554258524872e-14	22.9	2.0	-16.38478579000737	3.854378793955585e-14	1.1435322784554238e-13
P02924	-24.93824525492901	19.549393816185024	85.82007922530477	-2.23679231057654	-2.4149638362874795	-2.0586207848656004	3.4091871519371565e-41	2.1933859559373886e-42	92.9	2.0	-24.91223741915265	6.606897684524503e-43	1.0115266348017996e-41
P02925	-53.63925907343531	23.72896201408216	155.8687080509177	-2.277686663514956	-2.3619894741407146	-2.1933838528891973	2.047727990441717e-70	1.072857836417246e-72	96.9	20.0	-54.268113049205596	2.4737953794582367e-74	4.721650780925954e-72
P02929	7.17211301529049	20.60712610360975	12.13159721287996	0.5048654390365712	0.36511301073559477	0.6446178673375477	3.8018621423135643e-10	1.6187460536081856e-10	96.9	7.0	7.239775618579576	1.0699740318109702e-10	2.5337763879857795e-10
P02930	-4.343490955296722	23.892227330964	0.06894498559550755	-0.17015759846317735	-0.24793318078342552	-0.0923820161429292	5.7315044399480426e-05	3.517378030383762e-05	96.9	26.0	-4.397972759467388	2.804339934817424e-05	4.6169207782531826e-05
P02931	-25.89645970864492	26.8538096440395	91.2814556701119	-1.2849873318735803	-1.3834993680316732	-1.1864752957154874	1.5460661124195299e-43	9.126272196957755e-45	96.9	24.0	-26.206276464471657	8.961124594818561e-46	1.5362694440099125e-44
P02931;P02932;P21420	-22.359140116740228	26.592047575202788	57.94731782866115	-1.5600470490613887	-1.6997247737473442	-1.4203693243754332	3.073913338868487e-29	4.0584674889706185e-30	59.9	2.0	-21.965905657816087	2.382281491661865e-30	1.7948610291126102e-29
P02931;P02932;P21420;P77747	-19.731691000805075	22.45240218913074	39.14912112285316	-1.398405894292683	-1.5417870116514079	-1.255024776933958	3.7898383279535305e-21	8.220361863985828e-22	40.9	2.0	-19.125786954931872	5.19388925618415e-22	2.3792167904728353e-21
P02932	-2.7974962233626157	18.86260267122511	-4.829470627806183	-0.2941409529311372	-0.5039124134229341	-0.08436949243934022	0.009001553127448865	0.006674920464398861	70.9	2.0	-2.804172394376338	0.006503696642584271	0.008770646956061596
