Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P76145	-0.698899345981989	-0.960483674372238	-0.437315017591739	17.6558050513536	-5.56575961994119	1.7609192434171e-05	7.56314815047645e-05	1.94871176778847	P76145	7	-5.56976855422563	1.3419227806864e-05	5.68772204906063e-05
P0AGI1	-1.27596040393857	-1.66992201487161	-0.881998793005532	16.2466205290356	-6.8513727423683	3.37851147622464e-06	1.72404437113483e-05	3.94712753831145	P0AGI1	2	-5.89861979058811	1.38797725530954e-05	5.8732633611374e-05
P64463	1.56598818141643	0.959825452102279	2.17215091073058	22.3404767893595	5.38171609763265	2.68067961176393e-05	0.000110345473877249	1.5216850473008	P64463	8	5.55463184576004	1.3910803148707e-05	5.87674421544557e-05
P0A9W3	-0.321570546104709	-0.451761489944708	-0.19137960226471	20.6539290395723	-5.14537486811514	4.62047685866817e-05	0.000177715953205789	0.969586855101858	P0A9W3	42	-5.52892011713945	1.47881643832061e-05	6.23716851317872e-05
P45537	-0.737482525844882	-1.01686765379807	-0.458097397891698	17.2786330480833	-5.49882607499529	2.05088154934361e-05	8.66413402075161e-05	1.79373164628871	P45537	7	-5.52671674515942	1.48659188716317e-05	6.25971779937824e-05
P30855	0.353559586582975	0.218427800653589	0.48869137251236	18.2247873303913	5.45037814039491	2.29077790047647e-05	9.59891812931361e-05	1.68132016526666	P30855	13	5.51624953453232	1.52410095832238e-05	6.40719114126716e-05
P26602	-0.504399695816435	-0.684729679293871	-0.324069712338999	16.8364595089858	-5.82677712180146	9.76286425063468e-06	4.46079808047617e-05	2.5492224717906	P26602	6	-5.48634859282887	1.6366365682214e-05	6.86907562916376e-05
P0AD49	-0.81182920502533	-1.12673428071545	-0.496924129335211	22.5581722443379	-5.37039887562904	2.75115753834819e-05	0.0001128938372026	1.49533812262892	P0AD49	8	-5.46408375137245	1.72588817670508e-05	7.23189240873005e-05
P0AC92	0.804735731651032	0.509056560573936	1.10041490272813	17.1268023640347	5.66962175779114	1.39129940560047e-05	6.14987747552729e-05	2.18842134940481	P0AC92	4	5.45082547955279	1.78136890465762e-05	7.45225270666021e-05
P16676	0.465010491203316	0.279888396522755	0.650132585883876	18.8594602146908	5.23270231516599	3.77629274379293e-05	0.00014857261680541	1.17402732319493	P16676	19	5.44897741407267	1.78924491296099e-05	7.47306992009802e-05
P77625	0.391683974924877	0.244108254309001	0.539259695540753	18.4814715382947	5.52894696601714	1.91480387981613e-05	8.15611503848953e-05	1.86352167873233	P77625	10	5.44664522411603	1.79923464326693e-05	7.50263377944803e-05
P0A7V0	0.350356019086636	0.211310339618346	0.489401698554926	23.551583709347	5.24896428315431	3.6373186726206e-05	0.000144095741226995	1.21204325702737	P0A7V0	17	5.44497899075848	1.80640648311073e-05	7.52037077055953e-05
