rowname	count
P0A8P1	1
P0A8P3	22
P0A8P6	9
P0A8P8	4
P0A8Q0	1
P0A8Q6	4
P0A8R0	5
P0A8R4	1
P0A8R7	9
P0A8R9	10
P0A8S1	18
P0A8T1	9
P0A8T7	153
P0A8U0	8
P0A8U2	3
P0A8U6	6
P0A8V0	12
P0A8V2	147
P0A8V6	15
P0A8W0	17
P0A8W2	8
P0A8W5	18
P0A8W8	20
P0A8X0	13
P0A8X2	19
P0A8Y1	4
P0A8Y3	14
P0A8Y5	15
P0A8Y8	12
P0A8Z0	3
P0A8Z3	1
P0A8Z7	1
P0A901	8
P0A903	22
P0A905	8
P0A908	9
P0A910	41
P0A912	15
P0A915	10
P0A917	9
P0A921	7
P0A924	2
P0A927	12
P0A930	1
P0A932	3
P0A935	11
P0A937	1
P0A940	59
P0A944	6
P0A948	9
P0A951	13
P0A953	26
P0A955	10
P0A959	10
P0A962	7
P0A964	1
P0A968	6
P0A972	6
P0A978	2
P0A978;P0A9X9	2
P0A986	1
P0A988	17
P0A991	30
P0A993	22
P0A996	7
P0A998	5
P0A9A2	5
P0A9A6	45
P0A9A9	13
P0A9B2	63
P0A9B6	10
P0A9C0	8
P0A9C3	17
P0A9C5	47
P0A9C9	19
P0A9D2	30
P0A9D4	10
P0A9D8	28
P0A9E0	1
P0A9E5	7
P0A9F1	11
P0A9F3	17
P0A9F6	9
P0A9F9	17
P0A9G2	3
P0A9G4	3
P0A9G6	42
P0A9G8	7
P0A9H1	9
P0A9H5	5
P0A9H7	26
P0A9H9	1
P0A9I3	8
P0A9I8	2
P0A9J0	25
P0A9J4	11
P0A9J6	4
P0A9J8	14
P0A9K3	22
P0A9K7	14
P0A9K9	5
P0A9L3	13
P0A9L5	6
P0A9L8	8
P0A9M0	86
P0A9M2	19
P0A9M5	10
P0A9M8	48
P0A9N0	1
P0A9N4	16
P0A9N8	2
P0A9P0	57
P0A9P4	26
P0A9P6	38
P0A9P9	3
P0A9Q1	22
P0A9Q5	18
P0A9Q7	96
P0A9Q9	30
P0A9R4	5
P0A9R7	17
P0A9S1	7
P0A9S3	11
P0A9S5	14
P0A9S7	12
P0A9T0	44
P0A9T4	20
P0A9T6	4
P0A9T8	9
P0A9U1	4
P0A9U3	26
P0A9U6	4
P0A9V1	25
P0A9V8	1
P0A9W0	6
P0A9W3	48
P0A9W6	3
P0A9W9	17
P0A9X1	17
P0A9X4	28
P0A9X9	5
P0A9Y6	6
P0A9Z1	12
P0AA04	7
P0AA10	24
P0AA16	19
P0AA25	10
P0AA31	5
P0AA37	6
P0AA39	17
P0AA41	9
P0AA43	11
P0AA53	7
P0AA57	4
P0AA63	1
P0AA82	2
P0AA84	8
P0AA86	4
P0AA89	7
P0AA91	4
P0AA93	1
P0AA95	2
P0AA97	1
P0AA99	2
P0AAA1	2
P0AAA9	1
P0AAB4	29
P0AAB6	30
P0AAB8	6
P0AAC0	23
P0AAC4	1
P0AAC8	3
P0AAE0	2
P0AAE2	1
P0AAF3	1
P0AAF6	10
P0AAG0	23
P0AAG3	6
P0AAG5	2
P0AAG8	4
P0AAH0	13
P0AAH4	13
P0AAH8	12
P0AAI3	46
P0AAI5	14
P0AAI9	25
P0AAJ1	5
P0AAJ1;P18776	3
P0AAJ3;P0AAJ5	1
P0AAJ5	2
P0AAJ8	15
P0AAK1	2
P0AAK4	1
P0AAK7	1
P0AAL3	1
P0AAL6	1
P0AAL9	2
P0AAM3	1
P0AAN1	1
P0AAN3	13
P0AAN5	4
P0AAN9	2
P0AAP3	6
P0AAQ2	1
P0AAQ6	4
P0AAR3	15
P0AAR8	1
P0AAS0	4
P0AAS3	1
P0AAS7	3
P0AAS9	1
P0AAT2	8
P0AAT4	4
P0AAT6	12
P0AAT9	7
