rowname	Sample	Dataset	Normal	Tumor
Exp056609	Exp056609	PXD042844	0	1
Exp056611	Exp056611	PXD042844	0	1
Exp056613	Exp056613	PXD042844	0	1
Exp056615	Exp056615	PXD042844	0	1
Exp056617	Exp056617	PXD042844	0	1
Exp056619	Exp056619	PXD042844	0	1
Exp056621	Exp056621	PXD042844	0	1
Exp056623	Exp056623	PXD042844	0	1
Exp056625	Exp056625	PXD042844	0	1
Exp056627	Exp056627	PXD042844	0	1
Exp056629	Exp056629	PXD042844	0	1
Exp056631	Exp056631	PXD042844	0	1
Exp056633	Exp056633	PXD042844	0	1
Exp056635	Exp056635	PXD042844	0	1
Exp056637	Exp056637	PXD042844	0	1
Exp056639	Exp056639	PXD042844	0	1
Exp056641	Exp056641	PXD042844	0	1
Exp056643	Exp056643	PXD042844	0	1
Exp056645	Exp056645	PXD042844	0	1
Exp056647	Exp056647	PXD042844	0	1
Exp056649	Exp056649	PXD042844	0	1
Exp056745	Exp056745	PXD042844	0	1
Exp056651	Exp056651	PXD042844	0	1
Exp056653	Exp056653	PXD042844	0	1
Exp056749	Exp056749	PXD042844	0	1
Exp056751	Exp056751	PXD042844	0	1
Exp057069	Exp057069	PXD042844	0	1
Exp057071	Exp057071	PXD042844	0	1
Exp057073	Exp057073	PXD042844	0	1
Exp057075	Exp057075	PXD042844	0	1
Exp057077	Exp057077	PXD042844	0	1
Exp057079	Exp057079	PXD042844	0	1
Exp057081	Exp057081	PXD042844	0	1
Exp057083	Exp057083	PXD042844	0	1
Exp057085	Exp057085	PXD042844	0	1
Exp057087	Exp057087	PXD042844	0	1
Exp057089	Exp057089	PXD042844	0	1
Exp057091	Exp057091	PXD042844	0	1
Exp057093	Exp057093	PXD042844	0	1
Exp057095	Exp057095	PXD042844	0	1
Exp057097	Exp057097	PXD042844	0	1
Exp057099	Exp057099	PXD042844	0	1
Exp057101	Exp057101	PXD042844	0	1
Exp057103	Exp057103	PXD042844	0	1
Exp056656	Exp056656	PXD042844	1	0
Exp056658	Exp056658	PXD042844	1	0
Exp056660	Exp056660	PXD042844	1	0
Exp056662	Exp056662	PXD042844	1	0
Exp056664	Exp056664	PXD042844	1	0
Exp056666	Exp056666	PXD042844	1	0
Exp056668	Exp056668	PXD042844	1	0
Exp056670	Exp056670	PXD042844	1	0
Exp056672	Exp056672	PXD042844	1	0
Exp056558	Exp056558	PXD042844	1	0
Exp056716	Exp056716	PXD042844	1	0
Exp056718	Exp056718	PXD042844	1	0
Exp056560	Exp056560	PXD042844	1	0
Exp056674	Exp056674	PXD042844	1	0
Exp056562	Exp056562	PXD042844	1	0
Exp056676	Exp056676	PXD042844	1	0
Exp056678	Exp056678	PXD042844	1	0
Exp056680	Exp056680	PXD042844	1	0
Exp056682	Exp056682	PXD042844	1	0
Exp056684	Exp056684	PXD042844	1	0
Exp056686	Exp056686	PXD042844	1	0
Exp056688	Exp056688	PXD042844	1	0
Exp056690	Exp056690	PXD042844	1	0
Exp056564	Exp056564	PXD042844	1	0
Exp056720	Exp056720	PXD042844	1	0
Exp056692	Exp056692	PXD042844	1	0
Exp056694	Exp056694	PXD042844	1	0
Exp056696	Exp056696	PXD042844	1	0
Exp056566	Exp056566	PXD042844	1	0
Exp056748	Exp056748	PXD042844	1	0
Exp056698	Exp056698	PXD042844	1	0
Exp056700	Exp056700	PXD042844	1	0
Exp056702	Exp056702	PXD042844	1	0
Exp056704	Exp056704	PXD042844	1	0
Exp056706	Exp056706	PXD042844	1	0
Exp056722	Exp056722	PXD042844	1	0
Exp056724	Exp056724	PXD042844	1	0
Exp056568	Exp056568	PXD042844	1	0
Exp056572	Exp056572	PXD042844	1	0
Exp056726	Exp056726	PXD042844	1	0
Exp056728	Exp056728	PXD042844	1	0
Exp056730	Exp056730	PXD042844	1	0
Exp056574	Exp056574	PXD042844	1	0
Exp056708	Exp056708	PXD042844	1	0
Exp056732	Exp056732	PXD042844	1	0
Exp056576	Exp056576	PXD042844	1	0
Exp056734	Exp056734	PXD042844	1	0
Exp056710	Exp056710	PXD042844	1	0
Exp056736	Exp056736	PXD042844	1	0
Exp056738	Exp056738	PXD042844	1	0
Exp056740	Exp056740	PXD042844	1	0
Exp056712	Exp056712	PXD042844	1	0
Exp056578	Exp056578	PXD042844	1	0
Exp056742	Exp056742	PXD042844	1	0
Exp056714	Exp056714	PXD042844	1	0
Exp056580	Exp056580	PXD042844	1	0
Exp056582	Exp056582	PXD042844	1	0
Exp056584	Exp056584	PXD042844	1	0
Exp056586	Exp056586	PXD042844	1	0
Exp056588	Exp056588	PXD042844	1	0
Exp056590	Exp056590	PXD042844	1	0
Exp056592	Exp056592	PXD042844	1	0
Exp056594	Exp056594	PXD042844	1	0
Exp056744	Exp056744	PXD042844	1	0
Exp056596	Exp056596	PXD042844	1	0
Exp056598	Exp056598	PXD042844	1	0
Exp056600	Exp056600	PXD042844	1	0
Exp056602	Exp056602	PXD042844	1	0
Exp056604	Exp056604	PXD042844	1	0
Exp056606	Exp056606	PXD042844	1	0
Exp056608	Exp056608	PXD042844	1	0
Exp056610	Exp056610	PXD042844	1	0
Exp056612	Exp056612	PXD042844	1	0
Exp056614	Exp056614	PXD042844	1	0
Exp056616	Exp056616	PXD042844	1	0
Exp056618	Exp056618	PXD042844	1	0
Exp056620	Exp056620	PXD042844	1	0
Exp056622	Exp056622	PXD042844	1	0
Exp056624	Exp056624	PXD042844	1	0
Exp056626	Exp056626	PXD042844	1	0
Exp056628	Exp056628	PXD042844	1	0
Exp056630	Exp056630	PXD042844	1	0
Exp056632	Exp056632	PXD042844	1	0
Exp056634	Exp056634	PXD042844	1	0
Exp056636	Exp056636	PXD042844	1	0
Exp056638	Exp056638	PXD042844	1	0
Exp056640	Exp056640	PXD042844	1	0
Exp056642	Exp056642	PXD042844	1	0
Exp056644	Exp056644	PXD042844	1	0
Exp056646	Exp056646	PXD042844	1	0
Exp056648	Exp056648	PXD042844	1	0
Exp056650	Exp056650	PXD042844	1	0
Exp056746	Exp056746	PXD042844	1	0
Exp056652	Exp056652	PXD042844	1	0
Exp056654	Exp056654	PXD042844	1	0
Exp056750	Exp056750	PXD042844	1	0
Exp056752	Exp056752	PXD042844	1	0
Exp057070	Exp057070	PXD042844	1	0
Exp057072	Exp057072	PXD042844	1	0
Exp057074	Exp057074	PXD042844	1	0
Exp057076	Exp057076	PXD042844	1	0
Exp057078	Exp057078	PXD042844	1	0
Exp057080	Exp057080	PXD042844	1	0
Exp057082	Exp057082	PXD042844	1	0
Exp057084	Exp057084	PXD042844	1	0
Exp057086	Exp057086	PXD042844	1	0
Exp057088	Exp057088	PXD042844	1	0
Exp057090	Exp057090	PXD042844	1	0
Exp057092	Exp057092	PXD042844	1	0
Exp057094	Exp057094	PXD042844	1	0
Exp057096	Exp057096	PXD042844	1	0
Exp057098	Exp057098	PXD042844	1	0
Exp057100	Exp057100	PXD042844	1	0
Exp057102	Exp057102	PXD042844	1	0
