rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P77735	14034700	14242700	13229700	14413500	13591700	14503200	13052700	15138500	14159700	14007900	10271800	9959410	9792350	10322700	9977220	9875770	10575400	10280800	9328820	9070830	13153300	13220100	9323890	9703860
P69829	7972630	7740250	8650890	7983320	7319300	8212190	7532370	7614300	6495040	8575630	6848730	6466470	7713890	6926510	7211400	6793700	6365920	6538930	7295750	6753800	7477210	8365440	7125510	7583920
P0A8W0	1995000	2043090	2263660	2096960	1921700	2140150	2071310	1877360	1741580	2084110	1845300	1830720	2123680	1879540	1870700	1904980	1870750	1991310	1852910	1819650	1996010	2035280	1888870	1855380
P77258	1451230	2159960	1760500	2206150	1975330	1526390	2051320	1904040	1863230	1337030	2507240	2477530	2567100	2691890	2390890	2279910	2392190	2317220	2393030	2250160	1754770	1958350	2369190	2435610
P0A9X4	57317300	58851000	56622900	57428700	58271800	59294300	57468300	57418800	56993900	55266000	53720500	54038900	54012700	56961700	54735300	51884300	57180000	55852200	54380400	53069500	55748600	57773800	57417700	56083400
P0AFJ5	1280030	1523410	1270790	1554410	1465080	1333880	1427580	1580480	1311300	1271520	1294810	1429780	1326390	1257750	1177130	1224530	1183420	1311440	1281060	1205480	1208280	1397500	1238570	1304890
P39376	154320	180966	160731	205849	234319	217413	186575	159977	201249	195634	183986	181314	241773	224930	201141	191478	232215	202924	217192	223344	181445	230261	210998	233403
P23842	576265	565979	518239	591620	620331	546702	578802	567208	595740	564134	523017	534722	443259	488239	513103	488022	560890	499376	484772	545162	579479	595322	488931	479100
P39285	698749	784877	641610	776783	797110	661111	786572	857964	854650	715577	684803	651776	572231	667738	664440	601700	729635	627782	670326	678534	691065	753593	657725	710726
Q46857	7741830	9979800	8597370	9570030	9796900	8172770	9595860	10618600	10101000	7925510	6565360	6382040	6488450	6962850	6553080	7028830	7410060	7260770	6596920	6034130	9532390	8912710	5737590	6581600
