rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P77187	212878	235160	NA	312409	222877	180334	241726	234837	352911	218206	307648	217492	282184	366898	NA	231448	341287	156545	326767	294532	198239	301871	299774	331892
P02932	42463.5	32792.2	33532.8	31653.8	40138.6	40611.1	34820.2	35590.8	28037.9	37054.1	42103.3	31325.8	39049.2	43996.9	42326.6	46970.6	38732.6	37805.1	38043.9	45097.9	32641.2	NA	53212.7	45091.8
P0A6F9	137430000	153225000	183631000	149071000	174193000	135461000	165789000	162274000	170928000	111467000	134121000	134120000	151893000	118161000	153826000	146334000	152509000	149159000	155090000	138653000	155236000	159420000	150929000	150561000
P04128	15673500	24190300	19266100	38095500	50747300	22079700	35714200	36098800	45903800	16793600	23597100	31121100	23992300	25216300	35637700	23274500	24398600	23370700	18109700	20210600	32849100	47837400	21972200	26406000
P02942;P07017;P07018;P50466	1252320	4941450	1702510	5793150	5385680	1781470	4676300	3399550	3632120	1796360	162711	189999	178295	479823	238538	191023	148100	135840	149760	96750.6	2275530	3335090	90709.6	204200
P12282	1245860	1125150	1176250	1196100	1133360	1340020	1126290	1065670	1080450	1271780	1046780	995146	1118790	1117800	1073870	1145870	981017	1017040	1054810	1045560	1142740	1173410	1056170	1017270
P0AC65	NA	NA	NA	NA	NA	NA	NA	NA	222766	NA	381364	285571	321333	273593	249526	287100	379848	315437	270711	398968	NA	NA	NA	NA
P0A978;P0A9X9	77504000	69385300	125910000	60655700	96537500	78143600	91274000	109966000	108315000	115186000	255022000	565821000	128539000	224427000	282092000	204898000	269091000	276062000	154636000	173269000	85365900	103316000	303561000	270820000
P0A986	949465	1061070	1038780	1113160	1272990	953855	1293990	1587970	1486430	1023060	1160620	1045470	NA	1140460	1150180	1121020	1012500	982805	965527	957329	1108860	1213420	1313220	1274370
P0AF48	1068330	887309	904991	888314	975726	1017730	957964	1042120	887549	1060020	728081	743053	754603	664400	698973	727396	741548	792948	726400	736559	971101	934399	782501	761461
