ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
ASS1	8.19757505801485e-58	7.93137290062417e-129	4.82843382643845e-61	1130.58383274594	5.03375573983798e-241	1.04742389434549e-238	NA
EPB41L5	8.80213987595124e-58	0.0291567580256009	3.71072723666149e-12	322.459604657415	1.25324019015743e-66	6.65919864065266e-66	NA
MMP14	9.67034873096284e-58	5.66242884315772e-27	2.74367480310308e-36	547.201161530062	5.66442974648748e-115	6.9660433903612e-114	NA
ABAT	1.26713734803347e-57	1.57383473095318e-118	1.348080738174e-67	1112.47327030879	4.17397117140459e-237	7.54499314417419e-235	NA
DCXR	1.30577779256981e-57	4.25116311337264e-89	2.37136758722971e-55	920.484290739925	1.40025115391694e-195	8.27739375304085e-194	NA
MT1H	1.55007349473348e-57	1.56600504300356e-42	3.78945691845482e-14	515.946125258295	3.08466556904733e-108	3.29495488504809e-107	NA
MRPL19	1.80528543166228e-57	3.36192854228294e-21	1.4371146205312e-07	387.10772408682	1.65077146837378e-80	1.13139831073523e-79	NA
NDUFB2	1.93973310479771e-57	NA	NA	NA	NA	NA	NA
ASPSCR1	2.88165041534044e-57	1.86502759697051e-30	0.746667887393598	397.870797674399	8.02073716672059e-83	5.69998288815307e-82	NA
CRYAA	2.97277907217445e-57	3.5725919005483e-55	6.06772514474941e-33	659.418132269522	3.52401802645715e-139	6.43226027144915e-138	NA
PTH1R	2.99413053612175e-57	3.44867124107593e-36	NA	NA	NA	NA	NA
GK	3.23939725465993e-57	5.10165899870614e-110	3.9462785419889e-52	1000.17681862292	8.18773580174688e-213	7.34355200701504e-211	NA
ADD3	3.64734027895832e-57	1.47638617956899e-38	1.76669571895878e-31	575.746030396593	3.96942104854233e-121	5.49173624854181e-120	NA
IKBIP	4.0631115223454e-57	1.8222652864359e-65	3.68428494910081e-81	928.237335919445	2.95068677361452e-197	1.82731816623128e-195	NA
ALDH4A1	4.8141172711389e-57	1.59441963291498e-54	1.0573371348581e-15	576.063811207504	3.38999891845653e-121	4.70260649968289e-120	NA
NAPSA	6.01031050961129e-57	1.78314539485185e-25	0.000245037542163885	389.508442916042	5.03175983249003e-81	3.48538144455568e-80	NA
TKFC	6.70392001718491e-57	NA	NA	NA	NA	NA	NA
PSMD10	7.16076983539275e-57	1.03763488827342e-09	3.3913896389804e-05	320.513480741219	3.27645666304799e-66	1.72336982418358e-65	NA
ADH4	7.4119247293313e-57	5.62361173923317e-09	9.71796432055846e-31	434.693427174164	9.65592896509759e-91	8.02398442115617e-90	NA
NAPEPLD	8.21998975998478e-57	4.4134570352661e-57	4.81907719774869e-07	546.897973082771	6.58435284467382e-115	8.07825554197953e-114	NA
GLA	1.10671052312099e-56	6.04234343670121e-13	0.0306507253888345	320.926572641827	2.67186456639591e-66	1.40963889192612e-65	NA
TYROBP	1.17671585263712e-56	0.0493299907677968	NA	NA	NA	NA	NA
LAD1	1.20008269672363e-56	5.64314513843143e-29	1.85388229213012e-37	556.770534683305	4.90001173940091e-117	6.26286512736205e-116	NA
MME	1.80714806602202e-56	1.02326854018264e-127	5.01909189153677e-55	1091.5745024194	1.3874480267125e-232	2.12279548087013e-230	NA
