ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
CHCHD1	5.40814537501647e-48	7.22264865744996e-06	6.76499330475497e-12	-14.7845640744726	1.842463188875e-49	7.92106901531218e-49	NA
TEFM	5.9634779345677e-48	1.73985005075876e-39	5.23829512544912e-06	-18.4775026506573	3.13353536463663e-76	2.19981794424288e-75	NA
PSAT1	6.36749772756243e-48	3.95859233722276e-115	0.238657258511628	-21.9296560961448	1.35447196570703e-106	1.53841990515458e-105	NA
AK3	6.95728670811878e-48	1.24255263781718e-83	6.21909141120194e-59	-28.852883547479	4.6619256590666e-183	2.22489332829949e-181	NA
MRPS35	8.27222806678527e-48	2.00684615596031e-26	1.21653545576225e-37	-21.8353937309233	1.0701673114499e-105	1.19978671425913e-104	NA
PHKA2	1.19129800190499e-47	2.43397028707617e-14	7.41922335825583e-23	-18.3372141468367	4.17658772465433e-75	2.87009370457752e-74	NA
HSD11B2	1.21921215653803e-47	1.63786488853316e-76	3.47157555382904e-30	-25.5666729008996	3.58323746669896e-144	7.89830563634236e-143	NA
COX7C	1.22061469175212e-47	1.37484376049637e-08	5.15749125617877e-31	-18.203686441901	4.82488096796209e-74	3.26385315934184e-73	NA
SLC3A2	1.4923965876647e-47	1.0755539101455e-67	7.33165577000588e-25	-24.255787052221	5.74494431981074e-130	9.83065801041298e-129	NA
ITGAX	1.71300842627065e-47	2.25932669959308e-10	2.71913947436761e-33	-18.8378744430045	3.6950955016576e-79	2.71495576265859e-78	NA
ATP6V1H	1.74337193114221e-47	6.89265879825705e-86	6.29068375309604e-45	-27.7407077121965	2.25570142632458e-169	7.98242096580984e-168	NA
LHPP	1.8535034228322e-47	1.2474401326415e-45	3.87865986838861e-37	-23.8049517030145	2.96783255522666e-125	4.77977243104925e-124	NA
CYP4A11	1.85432688061014e-47	1.31676247769505e-57	2.3278753586822e-76	-28.1943429006302	6.86021454478779e-175	2.78803406734266e-173	NA
OGDHL	1.89719083234315e-47	5.60616147039444e-105	3.50199895099209e-32	-27.655011832232	2.42918131569579e-168	8.53824405692532e-167	NA
NUDT9	1.96413937565096e-47	0.733149459780042	8.35353012848223e-19	-13.033229468487	7.91838346714502e-39	2.76638218912615e-38	NA
UQCRC1	2.06012290603248e-47	1.3749134989352e-118	7.30131249923071e-54	-30.5681630950545	3.24407034222205e-205	2.67867522543478e-203	NA
DLST	2.07047278168087e-47	5.24455932873746e-27	8.73079909713072e-17	-19.2551730673933	1.27747105927724e-82	1.00993988607298e-81	NA
AIFM1	2.13980285399829e-47	8.76193432768814e-96	1.25094057336011e-12	-24.3348090006299	8.39639031784508e-131	1.45109709081163e-129	NA
FMO4	2.38315400497658e-47	7.4584038061035e-47	2.48917005239582e-24	-22.4257352509606	2.2081727814786e-111	2.74150711437987e-110	NA
MRPL13	2.41907603395105e-47	0.207264366252778	0.000122759936719978	-10.9046921545729	1.09463154070934e-27	2.90524146671937e-27	NA
NUBPL	2.62685835516857e-47	5.15984073548103e-71	5.07387905300782e-05	-20.821999984373	2.73527621409113e-96	2.62042483714586e-95	NA
NCKAP1L	2.67838042335944e-47	3.13219969578735e-07	1.29668611209055e-25	-17.1912981437175	3.08545781103635e-66	1.81157466512541e-65	NA
