ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
RYR1	0.511289017706271	NA	NA	NA	NA	NA	NA
LAMA5	0.315887811821315	7.1883022468472e-09	0.0295088250317489	0.0295088250317489	0.00256092142057349	0.00303529579171184	NA
GC	0.315915085077951	0.000257090223566416	0.00110843923813797	0.00110843923813797	3.68318889380378e-06	5.24068616673066e-06	NA
RAB36	0.565574699014716	6.79312341332538e-06	NA	NA	NA	NA	NA
DDX5	0.316090537541453	4.86096955811666e-11	5.16675787675712e-08	5.16675787675712e-08	8.00861581125229e-15	1.74605278500144e-14	NA
GRIN2D	0.647859984665298	NA	NA	NA	NA	NA	NA
SUPT3H	0.44447524242145	0.643749350036605	NA	NA	NA	NA	NA
ZNF331	0.609327252737524	0.947693653035238	NA	NA	NA	NA	NA
C8B	0.317286631891942	4.51332433517954e-21	2.03719058933882e-09	2.03719058933882e-09	1.24504364749627e-17	3.0536148299272e-17	NA
ZNF106	0.685892771904145	NA	NA	NA	NA	NA	NA
INPP5F	0.318082784019758	0.0279761986022489	NA	NA	NA	NA	NA
INPP5E	0.811382237705553	NA	NA	NA	NA	NA	NA
ZSCAN31	0.710170120006915	NA	NA	NA	NA	NA	NA
KLHL2	0.780351698085686	NA	NA	NA	NA	NA	NA
CFAP410	0.319393498905883	NA	NA	NA	NA	NA	NA
MAN2A2	0.32121115753486	1.11370875686882e-32	NA	NA	NA	NA	NA
DKK3	0.699620343696394	0.310773665301655	NA	NA	NA	NA	NA
MUC5B	0.362936144494656	NA	NA	NA	NA	NA	NA
ZDHHC6	0.863766709930761	0.00603906979058614	NA	NA	NA	NA	NA
TBX2	0.32361302378765	0.0890082471149899	NA	NA	NA	NA	NA
GATA2	0.622978957138972	NA	NA	NA	NA	NA	NA
RING1	0.324586026761398	0.0299769865160182	8.87847019583357e-06	0.0299769865160182	0.00264198333925081	0.00312923436493231	NA
MPV17L2	0.947214114211789	0.0374951214036312	NA	NA	NA	NA	NA
POLB	0.324911191473968	2.42558709186156e-06	NA	NA	NA	NA	NA
DMWD	0.585755272283743	NA	NA	NA	NA	NA	NA
ABCF1	0.325963478951595	2.96926489637132e-10	7.12426997731707e-07	7.12426997731707e-07	1.52265595810322e-12	2.97664648404846e-12	NA
SLC5A3	0.377199002734695	2.57159966355778e-08	0.19119575551008	0.19119575551008	0.0956888167046569	0.102845707540832	NA
KLF3	0.401918230682087	NA	NA	NA	NA	NA	NA
TCN2	0.35131865271062	5.80533335020012e-13	4.27047841237915e-13	5.80533335020012e-13	1.01105685920798e-24	3.16076789759611e-24	NA
CFAP298	0.326801948916	NA	NA	NA	NA	NA	NA
SMIM19	0.853406859817106	NA	NA	NA	NA	NA	NA
GRIP1	0.530627659757809	NA	NA	NA	NA	NA	NA
MAN2A1	0.327445461548413	0.70119228976589	1.68566563948324e-23	0.327445461548413	0.251443838810292	0.26186403393216	NA
CPXM2	0.327667473540589	3.2361194854986e-21	NA	NA	NA	NA	NA
CCNC	0.622912978822384	NA	NA	NA	NA	NA	NA
PCSK9	0.398974976389857	0.00774094755979404	1.21154222348241e-07	0.00774094755979404	0.000178839097084546	0.000229538855917545	NA
DHRS3	0.328998003733887	0.0123932304247888	4.1083968516685e-15	0.0123932304247888	0.000456969475016119	0.000572394704799868	NA
TNKS	0.529894340409445	NA	NA	NA	NA	NA	NA
TBKBP1	0.875693542222431	NA	NA	NA	NA	NA	NA
RNF141	0.537404228194195	NA	NA	NA	NA	NA	NA
MLX	0.329703550952709	NA	NA	NA	NA	NA	NA
TTC37	0.330089230070182	0.312796599822976	0.0103677445683236	0.312796599822976	0.232316028375007	0.242916176805384	NA
RUNDC1	0.645440712808089	NA	NA	NA	NA	NA	NA
FGA	0.330766340926159	4.44070035099286e-33	4.22422959185543e-21	4.22422959185543e-21	5.35323469341216e-41	2.54547777652012e-40	NA
ZNF32	0.667067719360176	NA	NA	NA	NA	NA	NA
SEMA3G	0.746181743689999	0.000118427013129099	0.366779889249229	0.366779889249229	0.304898507791691	0.315638216424353	NA
SULT1A3	0.332118304517372	0.996339266366124	0.000359645881829488	0.332118304517372	0.257640700720483	0.26821031121632	NA
ZBTB44	0.914138633042019	NA	NA	NA	NA	NA	NA
BCL2L15	0.91114303962389	0.239591108770804	NA	NA	NA	NA	NA
NSMCE1	0.332694950108728	1.09034025662554e-09	NA	NA	NA	NA	NA
MBTD1	0.578086591015872	NA	NA	NA	NA	NA	NA
ARMC5	0.937069579014025	0.157349153821618	0.00272436939929295	0.157349153821618	0.0664847299470092	0.0722484990984629	NA
CEP85	0.93939562487656	NA	NA	NA	NA	NA	NA
TUBE1	0.865156152847132	NA	NA	NA	NA	NA	NA
RBM25	0.334648905635222	9.2245805185554e-49	3.60152562103423e-18	3.60152562103423e-18	3.89129603968978e-35	1.61423620402442e-34	NA
ZC3H8	0.946313175464307	NA	NA	NA	NA	NA	NA
DYNC2H1	0.334815965694041	0.0143671501168959	NA	NA	NA	NA	NA
PABPC4	0.334834585396591	1.84061964974223e-09	2.32770603101493e-08	2.32770603101493e-08	1.62546458482296e-15	3.61972036397647e-15	NA
AGPAT4	0.606066541890036	0.441455075317559	NA	NA	NA	NA	NA
SPEG	0.542509515041676	NA	NA	NA	NA	NA	NA
WRNIP1	0.335727355692137	3.99666151777547e-22	7.82021695674491e-11	7.82021695674491e-11	1.83467379742117e-20	4.97600265598798e-20	NA
MYL9	0.336248556737678	0.255188199692025	0.015501745356171	0.255188199692025	0.162126821471735	0.171245426456034	NA
PCOLCE2	0.515067352001975	1.64079484376692e-30	NA	NA	NA	NA	NA
TBCEL	0.336976294707986	0.00619000933433166	NA	NA	NA	NA	NA
ZSCAN26	0.489371246287829	NA	NA	NA	NA	NA	NA
MON1A	0.649878020761329	0.447426031011244	NA	NA	NA	NA	NA
C19orf54	0.429598525136361	NA	NA	NA	NA	NA	NA
CPA3	0.337366469075488	3.77449881262253e-06	0.0842576165748413	0.0842576165748413	0.0201016899144973	0.0225753434661518	NA
ABTB1	0.77262569620826	NA	NA	NA	NA	NA	NA
POTEI	0.339925345333403	0.094682245274386	0.222396552376565	0.222396552376565	0.126381111816223	0.134554757197707	NA
TPM3	0.340940365510859	0.15132547098189	0.186207131544701	0.186207131544701	0.0911065320787405	0.0981640803383612	NA
SRSF9	0.341154921894927	7.78641540617279e-11	9.86031189090025e-08	9.86031189090025e-08	2.91677232583962e-14	6.18803003222583e-14	NA
MGAT5	0.67924220251155	NA	NA	NA	NA	NA	NA
HLCS	0.341469212334623	0.671842333548344	NA	NA	NA	NA	NA
SPRY1	0.462368818209484	NA	NA	NA	NA	NA	NA
USP17L1	0.878988834243347	NA	NA	NA	NA	NA	NA
GON4L	0.784755516692724	NA	NA	NA	NA	NA	NA
MOG	0.997570928741381	NA	NA	NA	NA	NA	NA
PDRG1	0.3432679914117	4.3425258059797e-09	NA	NA	NA	NA	NA
GDF15	0.420889083389606	2.44818412967585e-41	0.000995404504850085	0.000995404504850085	2.97051783128107e-06	4.24522905448466e-06	NA
POC5	0.496980144610624	0.00257414591116698	NA	NA	NA	NA	NA
CASC3	0.345189993755658	NA	NA	NA	NA	NA	NA
NAAA	0.34538437695324	0.480692525615614	1.12653079976893e-13	0.34538437695324	0.275469044781918	0.286197317945983	NA
URI1	0.346345377377708	3.00215067892739e-10	NA	NA	NA	NA	NA
TCHP	0.371492373348278	NA	NA	NA	NA	NA	NA
PRSS8	0.403575310669165	NA	NA	NA	NA	NA	NA
USP10	0.348153203241416	3.49881365868194e-07	0.114421993613901	0.114421993613901	0.0362810625376358	0.0401305735319544	NA
PRKCE	0.348242760731157	6.55358701148376e-15	NA	NA	NA	NA	NA
UBE2Q2	0.348246761036608	1.81971479051412e-10	0.819651803832876	0.348246761036608	0.279359606055523	0.290123511818892	NA
RBM18	0.533128046104664	NA	NA	NA	NA	NA	NA
KNG1	0.348788615291278	0.0286022157444671	0.00792220839751863	0.0286022157444671	0.00240746204929456	0.00285862076704641	NA
HACD2	0.349318141073962	NA	NA	NA	NA	NA	NA
FIZ1	0.406978547807275	NA	NA	NA	NA	NA	NA
DDA1	0.350243502354688	7.46343940259554e-23	NA	NA	NA	NA	NA
NELFA	0.35064257273168	0.000748771127424811	NA	NA	NA	NA	NA
SRPX	0.44873001044264	4.85804358645443e-19	4.50289896623023e-06	4.50289896623023e-06	6.08281146977804e-11	1.10138479866987e-10	NA
CEP152	0.351462088811047	NA	NA	NA	NA	NA	NA
PDE5A	0.35237222968206	0.596895059067812	NA	NA	NA	NA	NA
USP31	0.928263533283928	NA	NA	NA	NA	NA	NA
PUDP	0.352841197051487	NA	NA	NA	NA	NA	NA
RACGAP1	0.654716351474543	NA	NA	NA	NA	NA	NA
RAB7A	0.354675061150802	0.00159886260978315	0.679047489941046	0.354675061150802	0.288150924689819	0.298895535440965	NA
SYNGR1	0.355419026976762	2.95499157148698e-05	NA	NA	NA	NA	NA
GSTA4	0.355429212155015	0.90845661027192	NA	NA	NA	NA	NA
ALKBH2	0.562596857310844	NA	NA	NA	NA	NA	NA
LCMT1	0.356735782292772	1.98309493657203e-08	0.618391525829339	0.356735782292772	0.290984565301254	0.301594283462269	NA
RBL2	0.358085522581578	0.523429543380876	NA	NA	NA	NA	NA
PEX10	0.959868615437759	NA	NA	NA	NA	NA	NA
AP1AR	0.358644389610849	0.115202393744009	NA	NA	NA	NA	NA
SF3B5	0.358834170252158	4.09716980321943e-10	2.18819409754298e-07	2.18819409754298e-07	1.43645781300665e-13	2.95353894990537e-13	NA
WDR34	0.547630800882056	6.28737587663209e-06	NA	NA	NA	NA	NA
STT3B	0.359612050076406	5.5129194667128e-15	0.000880257397186174	0.000880257397186174	2.3231951155828e-06	3.3393923711693e-06	NA
XYLT1	0.968435154876261	NA	NA	NA	NA	NA	NA
TNN	0.516836665086714	2.28212414381657e-06	NA	NA	NA	NA	NA
SF3B2	0.360454263385247	0.150384712813558	0.00375907803709139	0.150384712813558	0.0610446159967866	0.0665034748513683	NA
