Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P52062	-0.0183417297710555	-0.121180526934787	0.0844970673926759	21.5694041489956	-0.370714739750757	0.71453168532056	0.771878219721824	-7.70969454136172	P52062	6	-0.35157259645639	0.728429927333893	0.784534928155502
P0AB98	-0.0477902346773895	-0.30956730683305	0.213986837478271	20.0915367684817	-0.379458345564958	0.708125221285684	0.767212765680016	-7.70628862774535	P0AB98	2	-0.349512505723685	0.7299547146557	0.785319681333114
P09373;P42632;P68066	-0.118384556036094	-0.832020374666511	0.595251262594323	18.5433783970783	-0.344806116876693	0.733640411266491	0.788123309926486	-7.71932627233159	P09373;P42632;P68066	2	-0.349500284643143	0.729963763564647	0.785319681333114
P37641	0.0705232202075123	-0.341512424319641	0.482558864734665	22.1435521940685	0.35575736411071	0.725540935793765	0.781423421220756	-7.71533914867716	P37641	2	0.349323617356239	0.73009457859336	0.785319681333114
P08506;P0AEB2	-0.079278050553075	-0.551400838999844	0.392844737893694	23.1311336801834	-0.349023404574386	0.73051750493895	0.785774598261255	-7.71780543387175	P08506;P0AEB2	2	-0.346546801329778	0.732151798820717	0.787196103217319
P60293	0.0290302729849152	-0.153639955328022	0.211700501297852	24.5265199482185	0.330323825794213	0.744400284119193	0.798987205785758	-7.72440963942307	P60293	17	0.340987924405212	0.736276293428815	0.791292668898517
P0A7B5	0.0294831367299579	-0.158254629005427	0.217220902465343	25.4862397581386	0.326421377535285	0.747308957756497	0.800531485869018	-7.72574250685428	P0A7B5	24	0.337269417904619	0.739039842871217	0.793923723647825
P0AEQ6	-0.10686276822501	-0.785229123975078	0.571503587525057	22.9811917607215	-0.327430153260574	0.746556699070126	0.800531485869018	-7.7253994657925	P0AEQ6	4	-0.335918913086903	0.740044415838613	0.794663734925678
P0A6N4	0.0397621518851743	-0.213541174672389	0.293065478442737	27.2105091736508	0.3262763072379	0.747417160028682	0.800531485869018	-7.72579175281572	P0A6N4	9	0.334246293964211	0.741289250024761	0.79566099885387
P69428	0.0421579540031232	-0.223446521999177	0.307762430005423	27.2414982571981	0.329913956324118	0.744705595857524	0.798987205785758	-7.72455036577028	P69428	4	0.330208491153631	0.74429732963549	0.798549181028358
P39353	-0.0703722551908754	-0.509477126325834	0.368732615944083	20.5053827528016	-0.333111607117038	0.742324810951343	0.797112435650396	-7.72344788281723	P39353	2	-0.328907311933246	0.745267572165458	0.798993024866666
P0AF36	0.0270970887755198	-0.148425334806632	0.202619512357671	27.5547244992479	0.320882903708938	0.751443658656303	0.802825061272237	-7.72760722974457	P0AF36	11	0.328515013445659	0.745560179801438	0.798993024866666
P69741	-0.0599628590315398	-0.441383777166493	0.321458059103413	22.9512508037993	-0.326764129888953	0.747053333366255	0.800531485869018	-7.72562606911142	P69741	3	-0.328326508422351	0.745700795893855	0.798993024866666
P0A9R7	-0.0253968997063296	-0.189533886878311	0.138740087465652	24.0801064551351	-0.321610928756899	0.750899717631412	0.802825061272237	-7.72736391812164	P0A9R7	10	-0.327951215502563	0.745980774110713	0.798993024866666
P0A752	0.0366903117322686	-0.200307823982028	0.273688447446565	22.6805348593619	0.321782946161053	0.750771214883218	0.802825061272237	-7.72730634881866	P0A752	7	0.327503748002206	0.746314643244569	0.799010615502586
P0A998	0.0533325820830122	-0.29463745632695	0.401302620492975	27.0154074974883	0.31857178657921	0.753171276930202	0.804298728906796	-7.7283760046326	P0A998	8	0.326926728604402	0.746745250071735	0.799131715319115
P09163	-0.0481446879171976	-0.337034158779793	0.240744782945397	19.0494738600586	-0.3463962758234	0.73246233825622	0.787529989487785	-7.7187549759034	P09163	2	-0.324965466658708	0.748209493083012	0.800358391028449
P0ACQ0	-0.0340693169040911	-0.216982221667454	0.148843587859272	19.2262236945173	-0.387146761804787	0.702510119436176	0.76249157853422	-7.7032290383336	P0ACQ0	2	-0.324037170491697	0.748902881051647	0.800470719448101
P13445	0.0278587614238148	-0.154922209897582	0.210639732745211	23.0471865867995	0.316801606338231	0.754495428601953	0.80537107455094	-7.72896111873761	P13445	10	0.323709900207362	0.749147386317725	0.800470719448101
P0AD42	-0.0791798827762413	-0.587012448373793	0.428652682821311	21.6549465842521	-0.324078976735983	0.74905671446273	0.801605336013049	-7.72653501437959	P0AD42	2	-0.323361215631335	0.749407919938851	0.800470719448101
P04335	0.0251923779119956	-0.142365798521057	0.192750554345049	25.5074904066415	0.312507244158955	0.757710959084923	0.807775723852923	-7.73036715228459	P04335	22	0.323122096010072	0.749586605379092	0.800470719448101
P04805	-0.0158558017512682	-0.12009246249962	0.0883808589970832	25.8087560922825	-0.316172627697789	0.754966111438762	0.805531878970481	-7.72916824327375	P04805	45	-0.321575606736405	0.750742587045761	0.801308371547541
P02918	0.0324219951825953	-0.184194134450674	0.249038124815864	23.0834942567021	0.311103929614177	0.758762710798074	0.808519928156749	-7.73082249527853	P02918	25	0.321221011648567	0.751007726849681	0.801308371547541
P04128	-0.123069269443079	-0.946332518063442	0.700193979177285	23.0457631153739	-0.310718739091021	0.759051485989034	0.808519928156749	-7.73094712547584	P04128	2	-0.316241073475727	0.754734656840868	0.804752199846997
P0A8W0	-0.0222919109406732	-0.173099624709713	0.128515802828367	22.8137839603533	-0.307241795846072	0.761659756711447	0.809830847511145	-7.73206518234777	P0A8W0	13	-0.315589126403789	0.755223020726424	0.804752199846997
P76187	0.0570985713330323	-0.328974576852602	0.443171719518666	24.6146225403389	0.307405898581677	0.761536587490404	0.809830847511145	-7.73201269331548	P76187	7	0.315321494540441	0.755423530050807	0.804752199846997
P00803	0.0364618617107588	-0.210800198738904	0.283723922160421	24.3974846708845	0.306505242678433	0.762212664979699	0.809830847511145	-7.7323004301921	P00803	12	0.315200369937221	0.75551428217658	0.804752199846997
P23882	-0.0232300288317013	-0.183818710528045	0.137358652864642	25.1796525453786	-0.300670879284584	0.766596921712339	0.813116077517892	-7.734144091512	P23882	14	-0.309529422728865	0.759767228911466	0.808939981036447
P0A738	0.0374708850496752	-0.221093468393702	0.296035238493053	23.7802365357195	0.301218645633161	0.766184956794151	0.813021726918583	-7.73397249124116	P0A738	9	0.308651534303928	0.760426302226929	0.809299366894368
P39298	0.0278167799917028	-0.159113125896073	0.214746685879479	24.1785841751569	0.309303347320775	0.760112906470763	0.809298187555174	-7.73140376803462	P39298	5	0.307192446122205	0.761522121031492	0.810123067893603
P0AAC4	-0.0425763856806434	-0.333899184437259	0.248746413075973	23.3999028225572	-0.303774188554668	0.764263918818598	0.811667630238992	-7.73316781706301	P0AAC4	4	-0.305516697924117	0.762781288267382	0.811119772948458
P0AG90	0.0311383451481611	-0.188348619783997	0.250625310080319	25.5473254658561	0.294878661686268	0.77095744852372	0.817052588603876	-7.73593968179666	P0AG90	25	0.304453821356875	0.763580287910503	0.811626513796764
P13738	0.0579851197040213	-0.329919341998153	0.445889581406196	21.5556897564748	0.313827932469704	0.757223927868399	0.807598570527441	-7.63269843514981	P13738	2	0.300702361277235	0.766824073650953	0.81473034756414
P0ACM5	0.0208125299352417	-0.114017544644577	0.155642604515061	21.3562880224539	0.320844539596213	0.751472325926655	0.802825061272237	-7.72762003618322	P0ACM5	4	0.29765001136104	0.768701274045575	0.816039071930289
P77269	-0.0626576622448951	-0.490908953242148	0.365593628752358	20.561473053634	-0.307167539557158	0.762206371365821	0.809830847511145	-7.6348641848634	P77269	2	-0.29820056789421	0.768704266804416	0.816039071930289
P03004	0.034406809953655	-0.214727555065642	0.283541174972952	24.3963409399674	0.287056458892707	0.776858512474023	0.822959964603163	-7.73830958146872	P03004	15	0.295889410931057	0.770028183419216	0.817099889403949
P68739	-0.0403441747849769	-0.333782240997775	0.253093891427821	23.2712599282103	-0.285772830531377	0.777828211606965	0.823640558946037	-7.73869244581492	P68739	8	-0.292757338878215	0.772390503673671	0.819261229560316
P76507	0.0358659787815725	-0.192979220895852	0.264711178458997	22.7723404089685	0.325759756715925	0.747802478217128	0.800603503901536	-7.72596692650563	P76507	2	0.291145589849246	0.773607022271342	0.820205928836128
P52697	-0.0235934014212482	-0.198327049746907	0.15114024690441	27.1460613745348	-0.28065356541199	0.781699165636903	0.826002015074762	-7.74020241713301	P52697	21	-0.290094375994892	0.774400779511005	0.820388738033129
P26281	0.0375667877098351	-0.225857338728325	0.300990914147995	22.1995209995314	0.296418335260644	0.769797579320554	0.816167020703385	-7.73546576207683	P26281	3	0.290053931512032	0.774431323626029	0.820388738033129
P0A6X3	-0.0785821222491023	-0.657502082101662	0.500337837603458	24.2013093969889	-0.282138128968526	0.780576004527739	0.82516161419417	-7.73976732103809	P0A6X3	4	-0.288958841469713	0.775258489147577	0.820873232063396
P77667	0.0490313240793085	-0.309046363005372	0.407109011163989	23.3568819836727	0.284611807575486	0.778705609901968	0.824174436865948	-7.73903727445463	P77667	4	0.288584985581394	0.775540939947063	0.820873232063396
P0AB74	-0.0672298055375578	-0.530519946274767	0.396060335199652	19.8619444005679	-0.310865562579541	0.760425194107265	0.809298187555174	-7.34433906757709	P0AB74	2	-0.286108841648444	0.778583283548585	0.823747004914581
P77454	0.0396249053413165	-0.26144853627256	0.340698346955193	22.8304251341167	0.273559840857343	0.787072693306997	0.831227503251825	-7.7422499874935	P77454	9	0.2807372020884	0.781477258876476	0.826183097344745
P0A6N8	0.0320174732548466	-0.211526630652554	0.275561577162247	24.4438333427559	0.27325365970146	0.787304873958026	0.831227503251825	-7.74233719364375	P0A6N8	11	0.280651326062289	0.781542294309828	0.826183097344745
P0AE45	0.0388394658761761	-0.245178540330747	0.322857472083099	23.49847132482	0.284239169917512	0.778987280613465	0.824174436865948	-7.73914765407487	P0AE45	3	0.280072818306194	0.781980450954668	0.826299242255625
P76361	0.0560135488609106	-0.355948386920171	0.467975484641992	21.6744030450845	0.283460665630165	0.779711211961214	0.824593748111923	-7.71230591806405	P76361	2	0.27720809939544	0.784268165769075	0.828368851548788
P32689	0.0379269498379955	-0.223277760386534	0.299131660062525	23.062601853212	0.302707873141533	0.765210530442143	0.812330200389235	-7.70642113776166	P32689	2	0.275791791700507	0.785341430337008	0.829154521878461
P18392	0.0311018949417665	-0.207396939006748	0.269600728890281	21.737834458399	0.271054824523068	0.788972869951668	0.832579353303156	-7.74296061427377	P18392	5	0.272991133205123	0.787350003048126	0.830926606990412
P0A8X0	-0.0240530153569374	-0.21250734102965	0.164401310315776	25.2460073542117	-0.265289444194367	0.793351289722081	0.835858181762444	-7.74457147833152	P0A8X0	11	-0.271838975380162	0.78822463453867	0.831501008019209
P0ABP8	-0.0149238606717113	-0.134829692709991	0.104981971366568	26.6690305648786	-0.258700596763861	0.798363634691379	0.840084142357107	-7.74637029439846	P0ABP8	25	-0.268211356909938	0.790980306977338	0.834058413348119
P27305	0.032277728349495	-0.219933107804513	0.284488564503503	21.0477904554275	0.266008657888878	0.792804710395346	0.835632100529768	-7.74437240584761	P27305	4	0.265423625894656	0.793099869595869	0.835943204259967
P0AFM9	-0.0225416735921868	-0.204048519855079	0.158965172670706	25.7411567852668	-0.258136666681518	0.798793051857522	0.840184751995563	-7.74652216428882	P0AFM9	6	-0.258640134678259	0.798264273542661	0.841034397868095
P0A8S1	0.0153409639928945	-0.111746665051214	0.142428593037003	24.1965646658511	0.250903040822651	0.804306999320832	0.845631043145587	-7.74844101410045	P0A8S1	14	0.258116262013182	0.798663503767905	0.841102945181514
P22729	0.0436355205444237	-0.29574081402701	0.383011855115857	21.4349163465534	0.267248427304341	0.791862781777788	0.834988949197609	-7.74402799097444	P22729	2	0.256853129869141	0.799626336106451	0.841764737758234
P69910	0.0831763037259883	-0.607179218904188	0.773531826356165	25.2589212457108	0.250428276808631	0.804669264608359	0.845658680175048	-7.74856505818144	P69910	3	0.256075571478355	0.800219197945754	0.842036672754792
P0A6J3	0.0253079827365852	-0.169020211616464	0.219636177089635	22.534917368415	0.270693773311767	0.789246856170572	0.832579353303156	-7.74306250255631	P0A6J3	3	0.254577827435401	0.801361523059609	0.842886315729642
P27859	-0.021669843314335	-0.194374331788018	0.151034645159348	22.0465307555758	-0.260800667212906	0.796765065361451	0.838752684866069	-7.74580183569635	P27859	4	-0.25144481593046	0.80375252625841	0.845048082118805
P0C093	-0.0429859087595119	-0.409559244813827	0.323587427294803	22.6522639879266	-0.243737185758027	0.809779600488993	0.849256356012831	-7.7502884302158	P0C093	7	-0.249883604372446	0.804944721591605	0.845948168787503
P37744;P61887	0.0432278767883041	-0.318605669972095	0.405061423548703	24.5921214313155	0.248319958748833	0.80627854385515	0.846289864421774	-7.7491130879158	P37744;P61887	3	0.248822165150561	0.80575555028748	0.84644687816093
P76115	-0.0264313470412851	-0.253094226441459	0.200231532358889	22.5503745952659	-0.242379255538101	0.81081779327735	0.849990997783878	-7.75063251708107	P76115	7	-0.246403054983057	0.807604329944957	0.848035084885881
