Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P39366	-1.49378934164043	-1.85258769782488	-1.13499098545599	14.5899789871915	-8.60509491484537	1.8049977324006e-08	1.17170201495716e-07	9.34401900078123	P39366	2	-8.02749914313642	1.8049977324006e-08	1.17170201495716e-07
P0ADK6	-0.771619215565941	-0.967087960194207	-0.576150470937676	13.123016384201	-8.15910390473446	1.80805383648941e-08	1.17170201495716e-07	8.37548055531296	P0ADK6	6	-8.02677024780865	1.80805383648941e-08	1.17170201495716e-07
P0AD59	-0.903396161372935	-1.14538519182204	-0.661407130923834	19.3736229190504	-7.71612606802837	1.88148213200984e-08	1.21649039682012e-07	7.38766881103188	P0AD59	15	-8.00962675261163	1.88148213200984e-08	1.21649039682012e-07
P69054	-2.00388059549845	-2.4428144118549	-1.56494677914199	11.6069889253274	-9.57789334550144	1.97428308623989e-08	1.27357071398404e-07	9.43826303119539	P69054	2	-8.79318889286731	1.97428308623989e-08	1.27357071398404e-07
P62399	0.381807913976505	0.274108735563459	0.489507092389552	21.6476081144113	7.32738968972236	2.1383420152481e-08	1.37625254360374e-07	6.49990889291688	P62399	57	7.95462932785682	2.1383420152481e-08	1.37625254360374e-07
P00562	0.545980608616102	0.395624968277533	0.69633624895467	18.0607620665901	7.50540698418373	2.17871613419259e-08	1.39715430744062e-07	6.90884248492402	P00562	40	7.94660490060906	2.17871613419259e-08	1.39715430744062e-07
P00963	0.536617337272389	0.391246373382082	0.681988301162696	18.9351770664755	7.6296353737779	2.1807303840861e-08	1.39715430744062e-07	7.19182304258537	P00963	24	7.94620856335237	2.1807303840861e-08	1.39715430744062e-07
P0A8W2	-0.624482659254568	-0.786682945338246	-0.46228237317089	17.7599345746398	-7.95766258821658	2.31487408115281e-08	1.47973470176186e-07	7.92945631550349	P0A8W2	9	-7.92062415342845	2.31487408115281e-08	1.47973470176186e-07
P43329	0.36903011435275	0.263272997585558	0.474787231119942	17.1429505848078	7.21221988352829	2.4222973133102e-08	1.5448995760682e-07	6.2332217289341	P43329	70	7.90120783495134	2.4222973133102e-08	1.5448995760682e-07
P37194	-0.538267280908052	-0.671349766877852	-0.405184794938251	17.097663024714	-8.35976039608444	2.5490194391882e-08	1.62205097044504e-07	8.81447244459297	P37194	7	-7.87940641495381	2.5490194391882e-08	1.62205097044504e-07
