Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0A9P4	-0.0254879851387528	-0.142302155062857	0.0913261847853513	19.2951358754802	-0.456234489453236	0.653319055523027	0.727513017664443	-7.8452857971469	P0A9P4	27	-0.481104947932028	0.635324467640988	0.710556949155703
P0AG03	-0.0517713984038188	-0.275532160556816	0.171989363749178	15.2326085438926	-0.483786893359915	0.633986528685437	0.709341504361202	-7.831835092732	P0AG03	6	-0.47829322779432	0.637291523012464	0.712474766819951
Q46919	0.0585168544740835	-0.194359492638854	0.311393201587021	15.7984964994115	0.483861311964651	0.633934666960503	0.709341504361202	-7.83179771978963	Q46919	5	0.477193081650815	0.63806192272106	0.713053767219737
P25742	0.0457625434659246	-0.156452295626101	0.24797738255795	15.2113956277263	0.473200578938419	0.641383712241839	0.715633189794924	-7.83709433304387	P25742	8	0.473905034217816	0.64036693947892	0.715346612772337
P0AFR4	-0.0341570922263656	-0.185272229942659	0.116958045489927	17.1582162394584	-0.472629751132168	0.641783681399238	0.715796649396307	-7.83737468865915	P0AFR4	11	-0.472752282194875	0.641175934665163	0.715967117237809
P08401	-0.0474436278657269	-0.247815881216565	0.152928625485111	13.2979530810838	-0.495094889705233	0.626128459193813	0.703050250509728	-7.8260919226055	P08401	5	-0.471293667561581	0.642200237221839	0.716651589622796
P0ABS8	0.102289585697152	-0.353072888198235	0.557652059592538	15.481705829449	0.469701899850877	0.643836937840486	0.717803202708857	-7.8388074718268	P0ABS8	3	0.471156713974267	0.642296449481337	0.716651589622796
P08245	0.0657612195962543	-0.222535210728641	0.354057649921149	17.0330341143715	0.476956453070376	0.638754841806807	0.713263611412583	-7.83524143500429	P08245	4	0.467274631052287	0.645026349570269	0.719413274560206
P0AFH2	0.129609547505821	-0.485376259584686	0.744595354596327	14.9630833538247	0.440676647099199	0.664348628362059	0.73772284204281	-7.85254002336023	P0AFH2	6	0.460165197370376	0.650039030910781	0.724717814169777
P04816;P0AD96	-0.381946898861813	-2.2001268658105	1.43623306808688	16.603601035502	-0.439252513168378	0.665362234453389	0.738303713200931	-7.85319174266773	P04816;P0AD96	2	-0.459550095534267	0.650473526736132	0.724851609033413
P0ADE4	-0.0355364312859372	-0.205375797144143	0.134302934572268	15.4794546514774	-0.437505570996253	0.666606496448413	0.739393851520156	-7.85398836310474	P0ADE4	24	-0.459268631526249	0.650672389837005	0.724851609033413
P0AFZ1	0.0387702374392056	-0.136157457385753	0.213697932264164	17.4349154652093	0.463434138653034	0.648242282375485	0.722144459735057	-7.84184542488375	P0AFZ1	8	0.45677853593698	0.652432879299674	0.726526203131813
P51020	-0.090919643301941	-0.47300949600735	0.291170209403468	10.8711092609468	-0.497554151392232	0.624425493138811	0.701702185684044	-7.82482577080396	P51020	2	-0.456402699695066	0.65269877490897	0.726535806205334
P41039	0.0692688160523449	-0.232147339065672	0.370684971170361	13.7691589004422	0.480528747282869	0.636259003574401	0.711151231035127	-7.83346582943225	P41039	3	0.455485068443465	0.65334817679274	0.726972124216981
P23305	0.0453086698443936	-0.164442179226635	0.255059518915423	15.5115654961147	0.451674653491567	0.656543390455468	0.730815346726938	-7.84743746082315	P23305	8	0.453893520035816	0.654475172760013	0.727939302037919
P0A6S5	0.102556481203059	-0.383780873998367	0.588893836404486	13.9895443945093	0.440934030133904	0.664165510433398	0.73772284204281	-7.85242201785256	P0A6S5	4	0.452282480370931	0.655616830671481	0.728922019612702
P0AC84	-0.0382299301684661	-0.219348511627992	0.14288865129106	16.1671600006326	-0.441355590204365	0.663865633739401	0.73772284204281	-7.85222859424819	P0AC84	12	-0.450691165903368	0.656745357431967	0.729776203296293
