Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0A752	-0.042270428929811	-0.133670367982073	0.0491295101224511	20.3120169238173	-0.954553364598535	0.353710046999229	0.386128417845226	-7.98798341155223	P0A752	6	-0.945058446758745	0.353710046999229	0.386128417845226
P0A986	-0.0818431063330323	-0.251393565413193	0.0877073527471288	20.1067799120875	-0.998607423261993	0.353719224272482	0.386128417845226	-7.92225586335022	P0A986	2	-0.945792327393613	0.353719224272482	0.386128417845226
P0A6G7	0.0232689417164273	-0.028037028810238	0.0745749122430927	24.5608698065927	0.93609125618611	0.355085007319816	0.387466973396151	-8.00550254057283	P0A6G7	14	0.942314716762794	0.355085007319816	0.387466973396151
P08245	0.0447334063862286	-0.0524049906945855	0.141871803467043	21.6079916972432	0.950496455705754	0.358432152058164	0.3909656794159	-7.99186031976655	P08245	5	0.935665091604435	0.358432152058164	0.3909656794159
P77308	-0.0523620308230086	-0.150835328048572	0.0461112664025543	21.2633301999841	-1.09750742308216	0.358713463909377	0.391118843602683	-7.84171346219211	P77308	2	-0.935108114758329	0.358713463909377	0.391118843602683
P0A749	0.0183921585987541	-0.0239656826911593	0.0607499998886675	23.1961357610976	0.896207034925311	0.358926654793243	0.391197641816271	-8.04226149012997	P0A749	38	0.934686206526244	0.358926654793243	0.391197641816271
P0A780	-0.036553501133394	-0.118373864010362	0.0452668617435745	22.2279716610767	-0.922097922061824	0.360471142961563	0.392726802535831	-8.01856920526191	P0A780	12	-0.931634617982369	0.360471142961563	0.392726802535831
P21829	0.0282677339878958	-0.0332141378660273	0.0897496058418189	21.7153946876754	0.948971956342208	0.360625878679591	0.392741247239915	-7.99331322071397	P21829	8	0.931329372734197	0.360625878679591	0.392741247239915
P0AD33	0.05441109604266	-0.0658124150989263	0.174634607184246	23.5726682059667	0.934130454178686	0.361090237346812	0.393092744656765	-8.0073445214943	P0AD33	5	0.930413861282658	0.361090237346812	0.393092744656765
P77704	-0.0640444401145501	-0.203558726076906	0.0754698458478061	18.8369394762825	-0.947484724183982	0.364235955527688	0.396361823812176	-7.99472852002125	P77704	3	-0.924232406976885	0.364235955527688	0.396361823812176
P0ADN0	0.0430059698551659	-0.0457200739563844	0.131732013666716	18.6514596311673	1.00043089045058	0.366002478706192	0.398128088122409	-7.94308013670987	P0ADN0	3	0.92077664568048	0.366002478706192	0.398128088122409
P0AET5	-0.145597635182604	-0.472166998488327	0.180971728123119	18.1848053510521	-0.920212960740254	0.366447116445488	0.398455618978721	-8.02031533611208	P0AET5	2	-0.919908564192832	0.366447116445488	0.398455618978721
P0A6M4	0.0426511941242573	-0.0519111669395479	0.137213555188063	22.0375432797236	0.9309414158381	0.369107906978573	0.401172298341596	-8.01033263892838	P0A6M4	5	0.914728312889374	0.369107906978573	0.401172298341596
P13029	0.086507419888072	-0.112660893009391	0.285675732785535	24.0989238964462	0.896484074116184	0.369234590152297	0.401172298341596	-8.04201131277457	P13029	66	0.914482291421952	0.369234590152297	0.401172298341596
P0A8K1	-0.0189998496628228	-0.0630761906736257	0.0250764913479802	23.3096239126696	-0.889721518265219	0.372053543536049	0.403944207577991	-8.04809749838155	P0A8K1	19	-0.909022158489306	0.372053543536049	0.403944207577991
P32153	0.193393429963848	-0.249416643871538	0.636203503799234	18.4854756377084	0.901433487483266	0.372076851144424	0.403944207577991	-8.03752961596951	P32153	2	0.908977126882172	0.372076851144424	0.403944207577991
P25534	0.0228822430333864	-0.0309948577364255	0.0767593438031982	20.8728465113957	0.87660479246342	0.377980358114141	0.410192914044118	-8.05977926342347	P25534	21	0.897630338758775	0.377980358114141	0.410192914044118
P0AAX8;P39176	-0.0598009766338343	-0.193851362084319	0.0742494088166507	21.9103284262958	-0.920766846959105	0.379326501003156	0.411492913944807	-8.01980258988362	P0AAX8;P39176	3	-0.895059267155458	0.379326501003156	0.411492913944807
P37024	0.0222371379056092	-0.0304794226097283	0.0749536984209467	20.1449037252821	0.870645353337322	0.38177303920097	0.413985139383552	-8.06503298803973	P37024	20	0.890401690683869	0.38177303920097	0.413985139383552
P30140	-0.111489793578517	-0.376040981693451	0.153061394536417	20.9936463504345	-0.869830955408674	0.383700652178361	0.41591292871813	-8.06574833294956	P30140	26	-0.886745683756194	0.383700652178361	0.41591292871813
P0A7D1	-0.0231582531942571	-0.0781593399429471	0.0318428335544329	21.7624519589379	-0.869048454063411	0.38440919584558	0.416518316810043	-8.06643506872578	P0A7D1	18	-0.885404825123301	0.38440919584558	0.416518316810043
P0AAU2	0.0724368369791684	-0.0971367866789188	0.242010460637256	19.1651125687493	0.881679293820716	0.385649751911149	0.417699458176102	-8.05527919098762	P0AAU2	4	0.883061035717861	0.385649751911149	0.417699458176102
P76076	0.044740749198926	-0.0540070199852727	0.143488518383125	19.1980409511262	0.935158925194755	0.389189484091578	0.421368957815219	-8.0063788217053	P76076	3	0.876400131126119	0.389189484091578	0.421368957815219
P77182	-0.0302090531286581	-0.101126095774917	0.0407079895176012	18.5660927011727	-0.879216764852475	0.389511789617168	0.421553500186066	-8.05746600525895	P77182	9	-0.875795580047534	0.389511789617168	0.421553500186066
P33920	-0.0162386020594418	-0.0555247662593309	0.0230475621404472	21.7022172318844	-0.853136407575085	0.391415842933895	0.423449095863014	-8.08027371745674	P33920	19	-0.872230700150273	0.391415842933895	0.423449095863014
P76473	-0.102761861181646	-0.339044593097182	0.133520870733889	15.6365443410445	-0.913793496593151	0.391680990646076	0.423570872626999	-7.87305009581443	P76473	2	-0.8766547150895	0.391680990646076	0.423570872626999
