rowname	Sample	Dataset	Normal	Tumor
CPT0092160003	CPT0092160003	PDC000127	0	1
CPT0006630003	CPT0006630003	PDC000127	0	1
CPT0001260009	CPT0001260009	PDC000127	0	1
CPT0065750003	CPT0065750003	PDC000127	0	1
CPT0065930003	CPT0065930003	PDC000127	0	1
CPT0012770003	CPT0012770003	PDC000127	1	0
CPT0012180003	CPT0012180003	PDC000127	0	1
CPT0017410003	CPT0017410003	PDC000127	0	1
CPT0023350003	CPT0023350003	PDC000127	0	1
CPT0075570001	CPT0075570001	PDC000127	1	0
CPT0014130001	CPT0014130001	PDC000127	1	0
CPT0078510003	CPT0078510003	PDC000127	0	1
CPT0066470004	CPT0066470004	PDC000127	0	1
CPT0065450001	CPT0065450001	PDC000127	1	0
CPT0079000001	CPT0079000001	PDC000127	1	0
CPT0092800003	CPT0092800003	PDC000127	1	0
CPT0006900003	CPT0006900003	PDC000127	0	1
CPT0015910003	CPT0015910003	PDC000127	0	1
CPT0020130001	CPT0020130001	PDC000127	1	0
CPT0089480003	CPT0089480003	PDC000127	1	0
CPT0007470001	CPT0007470001	PDC000127	1	0
CPT0064400001	CPT0064400001	PDC000127	1	0
CPT0088920001	CPT0088920001	PDC000127	1	0
CPT0092730003	CPT0092730003	PDC000127	0	1
CPT0077110003	CPT0077110003	PDC000127	0	1
CPT0086030003	CPT0086030003	PDC000127	0	1
CPT0025290003	CPT0025290003	PDC000127	0	1
CPT0012550003	CPT0012550003	PDC000127	0	1
CPT0018250001	CPT0018250001	PDC000127	1	0
CPT0017450001	CPT0017450001	PDC000127	1	0
CPT0077320001	CPT0077320001	PDC000127	1	0
CPT0077500001	CPT0077500001	PDC000127	1	0
CPT0092310003	CPT0092310003	PDC000127	1	0
CPT0079480003	CPT0079480003	PDC000127	0	1
CPT0006530001	CPT0006530001	PDC000127	1	0
CPT0065430003	CPT0065430003	PDC000127	0	1
CPT0019160001	CPT0019160001	PDC000127	1	0
CPT0081620001	CPT0081620001	PDC000127	1	0
CPT0063320003	CPT0063320003	PDC000127	0	1
CPT0078670001	CPT0078670001	PDC000127	1	0
CPT0089460004	CPT0089460004	PDC000127	0	1
CPT0007320003	CPT0007320003	PDC000127	0	1
CPT0088690003	CPT0088690003	PDC000127	0	1
CPT0010160003	CPT0010160003	PDC000127	0	1
CPT0014450004	CPT0014450004	PDC000127	0	1
CPT0025920001	CPT0025920001	PDC000127	1	0
CPT0076350001	CPT0076350001	PDC000127	1	0
CPT0015730003	CPT0015730003	PDC000127	0	1
CPT0025350003	CPT0025350003	PDC000127	0	1
CPT0012370003	CPT0012370003	PDC000127	0	1
CPT0012280003	CPT0012280003	PDC000127	0	1
CPT0009080003	CPT0009080003	PDC000127	1	0
CPT0079410003	CPT0079410003	PDC000127	0	1
CPT0075560003	CPT0075560003	PDC000127	0	1
CPT0001230001	CPT0001230001	PDC000127	1	0
CPT0079510001	CPT0079510001	PDC000127	1	0
CPT0066430001	CPT0066430001	PDC000127	1	0
CPT0001540009	CPT0001540009	PDC000127	0	1
CPT0078990003	CPT0078990003	PDC000127	0	1
CPT0065810003	CPT0065810003	PDC000127	0	1
CPT0010120001	CPT0010120001	PDC000127	1	0
CPT0086870003	CPT0086870003	PDC000127	0	1
CPT0075170001	CPT0075170001	PDC000127	1	0
CPT0000640003	CPT0000640003	PDC000127	0	1
CPT0065870003	CPT0065870003	PDC000127	0	1
CPT0088780001	CPT0088780001	PDC000127	1	0
CPT0086970003	CPT0086970003	PDC000127	1	0
CPT0079300001	CPT0079300001	PDC000127	1	0
CPT0092740003	CPT0092740003	PDC000127	1	0
CPT0085670003	CPT0085670003	PDC000127	0	1
CPT0081880003	CPT0081880003	PDC000127	0	1
CPT0013790003	CPT0013790003	PDC000127	1	0
CPT0012290003	CPT0012290003	PDC000127	1	0
CPT0087050003	CPT0087050003	PDC000127	1	0
CPT0009060003	CPT0009060003	PDC000127	0	1
CPT0023690003	CPT0023690003	PDC000127	0	1
CPT0001220008	CPT0001220008	PDC000127	0	1
CPT0088480003	CPT0088480003	PDC000127	0	1
CPT0026420001	CPT0026420001	PDC000127	1	0
CPT0079430001	CPT0079430001	PDC000127	1	0
CPT0000890001	CPT0000890001	PDC000127	1	0
CPT0086370003	CPT0086370003	PDC000127	1	0
CPT0025580004	CPT0025580004	PDC000127	0	1
CPT0081990003	CPT0081990003	PDC000127	0	1
CPT0025060001	CPT0025060001	PDC000127	1	0
CPT0075130003	CPT0075130003	PDC000127	0	1
CPT0000660001	CPT0000660001	PDC000127	1	0
CPT0086820003	CPT0086820003	PDC000127	0	1
