ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P0A6J1	2.87969364381168e-06	0.00220123802493863	8.54371329382949e-07	3.74977333489052e-10	6.4321676423235e-13	-11.3676708264148	6.05826697337273e-30	2.79724390914845e-29	NA
P0A6I6	2.88611232763635e-06	0.000468071769988793	0.000474531110883577	3.55147135276153e-11	6.52601087665386e-14	-11.2129530560719	3.52241675392718e-29	1.56370870925785e-28	NA
P04079	2.94973493150493e-06	4.29565297636366e-11	3.4339759466686e-11	9.99012190211769e-13	2.90580158497914e-13	-14.2136963153039	7.53414571155414e-46	7.22089749231531e-45	NA
P0AA91	2.97171962005773e-06	0.000931099712279173	2.82796921712336e-05	1.4575282391331e-11	1.41761647881028e-11	-11.1678944488893	5.85523946637602e-29	2.56961366295816e-28	NA
P0A7W1	2.99406843070042e-06	0.000940974759281217	3.59569419468491e-06	1.67178213941569e-10	4.52372217752692e-09	-10.8013885894094	3.39036940410901e-27	1.3561477616436e-26	NA
P24202	3.01119487280514e-06	0.000824465980065777	3.85154529555035e-05	1.21604369745142e-05	5.39632576546934e-09	-9.64414075055698	5.20452204916722e-22	1.65396121396983e-21	NA
P0AEZ9	3.05098750528828e-06	0.00174835137632958	0.00175120293838571	4.27758885196e-09	3.08880745684252e-09	-9.80827776586352	1.03723662364906e-22	3.42377246545478e-22	NA
P0A722	3.05982180449143e-06	0.00104704846256678	0.000138960553839344	2.47981383367758e-09	8.88387064152873e-12	-10.6461980033814	1.81632641862283e-26	7.08090705331132e-26	NA
P09373	3.07925378566247e-06	9.96311191973412e-06	0.00115116590062917	8.55148131020718e-08	9.1239978097139e-08	-9.9636821840315	2.19768956805786e-23	7.4462893600078e-23	NA
P31433	3.15805209351382e-06	5.9465392242427e-05	0.00775789311753709	3.01116477555145e-13	1.88179344923348e-10	-10.8437928001379	2.13434873308752e-27	8.59709699481406e-27	NA
P0AGL7	3.18128943665278e-06	0.163585524429476	3.48829341778217e-10	1.35363145918495e-11	1.19026466023219e-09	-10.8635067124038	1.72014213260647e-27	6.96521524345396e-27	NA
P0A9B6	3.25078773837142e-06	1.14210281959888e-05	9.99846437507687e-13	3.6333490142557e-13	1.30578938004244e-15	-13.801695982416	2.48926538184633e-43	2.11633484862507e-42	NA
P33018	3.25474902934136e-06	4.1523298048099e-12	0.000570196307598942	3.37220290388427e-11	3.56127467379192e-17	-13.1780053446296	1.17455331158581e-39	8.5368164980874e-39	NA
P75767	3.29395827514454e-06	0.155476130130618	0.143121631505673	4.66921722208812e-09	6.14008170618014e-06	-7.46895494137417	8.08342103414534e-14	1.76700209323253e-13	NA
P39160	3.3072253656297e-06	3.98577733592233e-08	3.04762892364535e-09	1.5093975188379e-14	2.03317105178592e-10	-13.2091679515342	7.76783035025093e-40	5.71791729296426e-39	NA
P0AF03	3.42760264359779e-06	2.75966295391712e-06	1.36057613959555e-09	3.38975044669195e-16	6.42276281419773e-16	-13.8905591458876	7.22689423811028e-44	6.28330729230418e-43	NA
Q46798	3.49539616810265e-06	0.000426785716155581	0.000111607754165889	2.95738751474962e-09	0.000326608280131619	-9.27861256567231	1.7169971696644e-20	5.11106134225682e-20	NA
P0ADU5	3.65664433690751e-06	0.00655026810249617	4.12743502701508e-07	1.51066463278463e-05	7.81230526432026e-09	-9.71394488812127	2.62958242315638e-22	8.48537521421891e-22	NA
P09147	3.66697898319011e-06	0.00639225536394925	0.172979812088297	1.13934724689615e-07	2.29019413889641e-08	-8.29931802146162	1.04710726297051e-16	2.62232079770007e-16	NA
P02413	3.78812261256495e-06	0.644690072956395	8.49830546820203e-08	2.90960941791925e-13	1.14886315303096e-13	-10.675066782784	1.33161736619165e-26	5.21776600630197e-26	NA
P37765	3.81017199536756e-06	0.0415443652514674	2.58694042856194e-07	2.50747545851134e-14	9.2692138467333e-09	-10.9053103281708	1.08721660696453e-27	4.45720117873003e-27	NA
P0A7S3	3.90774543391891e-06	0.00416275950302614	0.00115859956215636	3.90192527555945e-11	1.77899448360004e-09	-10.0904188692898	6.09090512646189e-24	2.12950613222583e-23	NA
P43672	3.91964296310207e-06	4.64367189762485e-06	9.57247744610247e-09	3.77203461528816e-10	5.39540408418875e-15	-12.7035597835369	5.6500019614214e-37	3.61600125530969e-36	NA
P12996	3.92750964914865e-06	0.0534865584281091	5.66259471091419e-05	0.000898411398558804	2.40354071671919e-07	-8.09327106133364	5.80834111474808e-16	1.4013003066366e-15	NA
P39353	4.03745178559996e-06	6.39362979379752e-08	1.19834942669731e-05	1.03067915494345e-09	5.11448793837432e-06	-10.9006272340579	1.14465476038408e-27	4.68434203894302e-27	NA
P0A809	4.05612209380919e-06	0.00035904520298713	5.19583091155562e-07	1.59403609540058e-08	2.47947515651612e-10	-10.9478022172467	6.80794042559816e-28	2.8337672506403e-27	NA
P76104	4.18341285843952e-06	2.5542387138164e-07	3.93624233439633e-08	5.35059160696311e-10	3.23882446873995e-11	-12.2888300160835	1.04000327612856e-34	5.83009135815134e-34	NA
P32144	4.20175643363066e-06	0.000762263749139304	2.59844369659024e-07	4.41795327630586e-10	2.61601879416163e-10	-11.1734634979834	5.49938343003684e-29	2.42731406567143e-28	NA
P77150	4.22381049665379e-06	4.80481427665138e-06	2.58566575113122e-05	7.71717664856551e-06	1.5167555083075e-07	-10.004519119753	1.45597322693171e-23	4.99190820662302e-23	NA
