Symbol	metap	metafc	idx	ID
P15038	0.00217001113696093	0.0663107341386957	0.17662116265663	P15038
P76129	0.00220842760104225	-0.58366602380179	-1.55016841785239	P76129
P39298	0.00221792795162614	0.0796286603869756	0.211338650412471	P39298
P76034	0.00224937355579297	-0.130856747795321	-0.346500609328398	P76034
P77187	0.00229302205666248	-0.0270986367504462	-0.0715293384838764	P77187
P0AA95	0.00234205112365847	0.0997967658166138	0.262505774979141	P0AA95
P0ACZ8	0.00236357868426999	-0.0366911911493798	-0.0963668427973508	P0ACZ8
P0ACR9	0.00237167187823959	0.0331986647661283	0.0871446822301476	P0ACR9
P0AE72	0.00237556764769669	-0.268358846043486	-0.704236031724904	P0AE72
P22729	0.00240437063136489	-0.258115413400246	-0.676003902576089	P22729
Q46855	0.0024466700297139	0.0852802344487127	0.222702901949595	Q46855
P26648	0.00247130787148827	0.0527037383993729	0.137402501155561	P26648
P07012	0.00249728911897327	0.048251558968339	0.125576186462625	P07012
P33014	0.00251775900470641	0.194830928356585	0.506362824404577	P33014
P0ADE4	0.00254517694807132	-0.00966359007810424	-0.0250700779773339	P0ADE4
P0AD44	0.00257719646673302	-0.0960649415396713	-0.248697961447768	P0AD44
P76112	0.00263546938130241	0.375592773934755	0.968707107549866	P76112
P31063	0.00268389558369933	-0.0692116179465743	-0.177959291856913	P31063
P0A8Z3	0.00269895966443317	-0.27117724591152	-0.696601087125783	P0A8Z3
P77774	0.00271808762380359	0.0151078099265583	0.0387626600721403	P77774
P14900	0.00273550561992123	0.0225463498706291	0.0577854467198874	P14900
P0AEK0	0.00274271338490543	-0.0120217396897789	-0.0307975280513185	P0AEK0
P0AAC8	0.00281159474704832	0.175135406422193	0.446778701616652	P0AAC8
P0AC92;P77695	0.00283472049013996	-0.536123286906887	-1.36576858192707	P0AC92;P77695
P32166	0.00287988613983413	0.00532913238976401	0.0135393252847689	P32166
P76398	0.00294798066961102	0.1631195596762	0.412770027888242	P76398
P0AB24	0.00297053652238868	0.133944226902072	0.338499176063115	P0AB24
P07018	0.00299224296706936	-1.36478075553368	-3.44471091934978	P07018
P37348	0.00301722258646176	0.0473728948159692	0.11939829589783	P37348
P64602	0.00302868492587508	0.0618221555343576	0.155714301027182	P64602
P0ABV6	0.00304821027096088	0.097614554233559	0.245593833400286	P0ABV6
P15031	0.00305351893906937	0.924260730587394	2.32470001838264	P15031
P76194	0.00306064957228534	-0.147397644287549	-0.370585151467388	P76194
P27832	0.00310260681939402	0.285239645085287	0.715458973684313	P27832
P0C7L2	0.00311515866948372	-0.245020576568855	-0.614148933390925	P0C7L2
P25534	0.00316443596935148	0.130978937969824	0.327408534242966	P25534
P13482;P62601	0.00317885142910176	0.225960345579918	0.564387881849307	P13482;P62601
P30140	0.00319607641080033	-0.17886154484723	-0.446328030866731	P30140
P31466	0.00320854811319877	0.254453581856276	0.634528719954924	P31466
Q47156	0.00325399059963062	-0.0933401198117906	-0.232191361161714	Q47156
P0ADM0	0.00329917292716142	-0.387840295736625	-0.962462507740927	P0ADM0
P0A8C4	0.00330672246518469	-0.160070356526251	-0.397070887214022	P0A8C4
P0ABW0	0.00346402323934469	-0.733758887881417	-1.80535445816081	P0ABW0
P0ACG8	0.00346924368728804	-0.342623188769451	-0.842772594148867	P0ACG8
P0A935	0.00348738017449349	0.0810325842253251	0.199137632919344	P0A935
P77338	0.00354341287740445	0.0218454076296553	0.0535338805998586	P77338
P69380	0.00356951836358364	0.090841027907102	0.222323457758989	P69380
P76016	0.00358746178606397	0.11640221198965	0.284628168971108	P76016
P0A9N8	0.00361638683885825	0.257824519835088	0.629536606622109	P0A9N8
P23909	0.00373541939840019	-0.0220149262769028	-0.0534447697994401	P23909
P0A8E7	0.00381624370871251	-0.0806669372069619	-0.195082008756065	P0A8E7
P0ACE7	0.00393331940236913	-0.0125633341731758	-0.0302178437562898	P0ACE7
Q46810	0.00395397624461576	-0.253482768114426	-0.60911045923172	Q46810
P77567	0.00400152676650118	0.622965931615725	1.49373168424042	P77567
P0A8X0	0.00400521309969243	-0.0469650730599552	-0.112592862536544	P0A8X0
P0AEG4	0.00403892293404964	-0.0578638653461866	-0.138510726931368	P0AEG4
P0A6N4	0.00414113410945169	-0.0452387762897232	-0.107798607128028	P0A6N4
P0A927	0.0041689758837779	-0.0313212527427785	-0.0745436612193348	P0A927
