ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
P75757	0.0178121732938625	0.997686332998825	0.0178121732938625	0.997686332998825	NA
P37908	0.951034551670814	0.239750846745286	0.951034551670814	0.239750846745286	0.165102176289948
P76235	0.603693166414985	0.756379530547361	0.603693166414985	0.756379530547361	-0.161646299485989
P0AAC8	0.965369497277881	0.228870911295873	0.965369497277881	0.228870911295873	0.175135406422193
P0AFX0	0.118996548195681	0.972773038245405	0.118996548195681	0.972773038245405	-0.643885015994168
P0ADF8	0.430806461315517	0.91238217859528	0.430806461315517	0.91238217859528	-0.290368859348305
P77307	0.755139368142458	0.483288320897053	0.755139368142458	0.483288320897053	-0.0154897029783266
P0ABG1	0.0280407995505289	0.999087242300147	0.0280407995505289	0.999087242300147	NA
P71298	0.993180942961666	0.0881368692655109	0.993180942961666	0.0881368692655109	0.319200152256467
P0ACY9	0.965484493833799	0.220554199653194	0.965484493833799	0.220554199653194	0.174192323331622
P0AER3	0.0713252989467715	0.994157860027779	0.0713252989467715	0.994157860027779	NA
P0ACQ4	0.94258198560754	0.335307730251994	0.94258198560754	0.335307730251994	0.121039535178834
Q2MB16	0.772031271328774	0.435124356506721	0.772031271328774	0.435124356506721	-0.000285829414373781
P0A921	0.682656922393062	0.707587850551493	0.682656922393062	0.707587850551493	-0.108750555794034
P0AG86	0.573655128135622	0.845962284966315	0.573655128135622	0.845962284966315	-0.192725325718039
P0A8W0	0.58381387254991	0.840054450534202	0.58381387254991	0.840054450534202	-0.196252758748207
P23893	0.938023964866349	0.346332713758564	0.938023964866349	0.346332713758564	0.11147022070687
P0AFW0	0.470809614371622	0.899776746662455	0.470809614371622	0.899776746662455	-0.259710912431575
P52061	0.447659728212888	0.911590834324263	0.447659728212888	0.911590834324263	-0.279428368782899
P0AC55	0.999703500042633	0.000497366413691498	0.999703500042633	0.000497366413691498	0.963911612816812
P0AFZ3	0.429048396049354	0.913769221697451	0.429048396049354	0.913769221697451	-0.294181802015091
P0ACL0	0.962582074792223	0.264694653863645	0.962582074792223	0.264694653863645	0.161441068084466
P0AEG1	0.224907685790991	0.937737872009883	0.224907685790991	0.937737872009883	-0.453001608419232
P0A8Y1	0.992364003447477	0.0308913920924782	0.992364003447477	0.0308913920924782	0.440217840244056
P23305	0.944201311483906	0.334330007736407	0.944201311483906	0.334330007736407	0.120083527462226
P0AEJ2	0.999915588261503	0.0039997134398934	0.999915588261503	0.0039997134398934	0.677591960340521
P05100	0.0362196565365048	0.997172608308384	0.0362196565365048	0.997172608308384	NA
P0AFH6	0.880780169352185	0.454691111278085	0.880780169352185	0.454691111278085	0.0390628677533744
P36566	0.942595351303779	0.288062601732144	0.942595351303779	0.288062601732144	0.133060970047537
P76397	0.984736815758841	0.167112342541063	0.984736815758841	0.167112342541063	0.237317526453916
P77541	8.33195543503645e-05	0.999988561644336	8.33195543503645e-05	0.999988561644336	-2.14757522417093
P0ABR1	0.988606678730191	0.137382739286676	0.988606678730191	0.137382739286676	0.256968431355262
P30871	0.980701401623609	0.19820261644667	0.980701401623609	0.19820261644667	0.210788653861006
P45523	0.461098702285919	0.893133622102563	0.461098702285919	0.893133622102563	-0.273444666138121
P31666	0.499834343277133	0.859008445306894	0.499834343277133	0.859008445306894	NA
P76339	0.994794547289803	0.0737018300995182	0.994794547289803	0.0737018300995182	0.333035798183037
P76027	0.93547261391225	0.337905097202898	0.93547261391225	0.337905097202898	0.105896041217122
P67662	0.981850881355969	0.145743772951224	0.981850881355969	0.145743772951224	0.24552737815193
Q46855	0.918299548940636	0.391883570677272	0.918299548940636	0.391883570677272	0.0852802344487127
P76561	0.541670104763483	0.81647706693416	0.541670104763483	0.81647706693416	-0.209724226896338
P0A6U8	0.609300275333591	0.824662457352311	0.609300275333591	0.824662457352311	-0.173028925797948
P0A7A9	0.713216868422203	0.675994721020758	0.713216868422203	0.675994721020758	-0.103698039584988
P0AEC8	0.154077544180589	0.976596629526472	0.154077544180589	0.976596629526472	-0.544609245568818
P33667	0.919945722559115	0.198519880186729	0.919945722559115	0.198519880186729	0.149266715637567
P39389	0.240163509693425	0.966005400376532	0.240163509693425	0.966005400376532	NA
P29217	0.480283959502844	0.890840022476365	0.480283959502844	0.890840022476365	-0.263526199362844
P12295	0.978207557334853	0.189797101717647	0.978207557334853	0.189797101717647	0.209348399184633
P0AE48	0.459107092483197	0.886955001967574	0.459107092483197	0.886955001967574	-0.279111836083934
P33368	0.434357730564293	0.912031227887613	0.434357730564293	0.912031227887613	-0.281139580694997
P39161	0.55087696931644	0.850828992856346	0.55087696931644	0.850828992856346	-0.220255907375335
P0A6L0	0.94661412948425	0.322540360927359	0.94661412948425	0.322540360927359	0.119440012301602
P45753	0.0129101981379215	0.999606615627148	0.0129101981379215	0.999606615627148	NA
P33136	0.930385085927003	0.39312083175032	0.930385085927003	0.39312083175032	0.090758554354486
P23873	0.452568699378607	0.881853405118379	0.452568699378607	0.881853405118379	NA
P0ACD8	0.999232202463814	0.0130675986543192	0.999232202463814	0.0130675986543192	0.555973896482906
P0AGF6	0.0546811324422406	0.997575813006638	0.0546811324422406	0.997575813006638	NA
P0AFX7	0.620652262712112	0.80161029570952	0.620652262712112	0.80161029570952	-0.164843546027178
P77398	0.597591278889281	0.736111080828506	0.597591278889281	0.736111080828506	-0.153561317223535
