Symbol	signcon	randomSummary	randomCi.lb	randomCi.ub	randomP	het_QE	het_QEp	het_QM	het_QMp	error	rank	ID
P00562	5	0.511938654873136	0.418020023755377	0.605857285990895	1.21576085704727e-26	5.91021314558229	0.205954702409043	114.137543152122	1.21576085704726e-26	FALSE	772	P00562
P77718	5	0.710208632177537	0.579741167940387	0.840676096414686	1.41843827460373e-26	30.0491079643318	4.78305156529136e-06	113.831807564251	1.41843827460373e-26	FALSE	528	P77718
P0AC44	-3	-2.63777053604072	-3.12270697670152	-2.15283409537992	1.54826949724306e-26	32.7944456245413	7.56443706724489e-08	113.658145804353	1.54826949724308e-26	FALSE	68	P0AC44
P0A7I4	5	0.47672785283449	0.389015952805331	0.564439752863649	1.69361820922786e-26	14.6203968802323	0.00555689960162924	113.48022728914	1.69361820922785e-26	FALSE	845	P0A7I4
P39176	-5	-0.474338312552242	-0.561626493860028	-0.387050131244456	1.72935785039495e-26	8.50086818112218	0.0748609165200767	113.438820148607	1.72935785039499e-26	FALSE	848	P39176
P0A7V3	5	0.514240542927373	0.419600020725445	0.608881065129301	1.74932364664065e-26	11.5503883822888	0.0210274582023726	113.416059280077	1.74932364664068e-26	FALSE	768	P0A7V3
P37147	-2	-0.575566878343565	-0.681718449016402	-0.469415307670728	2.22779742947711e-26	4.837117077549	0.184120227349707	112.936655098504	2.22779742947713e-26	FALSE	675	P37147
P38051	-5	-0.229914494875152	-0.27251397897291	-0.187315010777394	3.7627761542286e-26	1.17030615256417	0.882962899642979	111.897454471732	3.76277615422863e-26	FALSE	1403	P38051
P0AAJ5	-4	-0.809714573327999	-0.960129675239958	-0.659299471416041	5.03245612994646e-26	1.56797747678552	0.666672308222035	111.321028233246	5.03245612994643e-26	FALSE	464	P0AAJ5
P0AB87	-4	-2.12259593740102	-2.51742041723294	-1.7277714575691	5.84147851235355e-26	4.47769974908052	0.214288064901062	111.025489246606	5.84147851235358e-26	FALSE	119	P0AB87
P0ABU5	-5	-0.521144273362389	-0.618084470268223	-0.424204076456554	5.85533164541262e-26	23.9268591824855	8.2616816681569e-05	111.020793405269	5.85533164541266e-26	FALSE	760	P0ABU5
Q47690	-5	-0.528085878767073	-0.626482437645365	-0.429689319888781	7.06503283060778e-26	6.86915451990156	0.142966496297815	110.648484449087	7.06503283060773e-26	FALSE	747	Q47690
P16676	5	0.50823696864394	0.413359930436024	0.603114006851855	8.7181874647881e-26	15.3386688231127	0.00404795933458808	110.231685606151	8.71818746478807e-26	FALSE	780	P16676
P32134	-5	-0.430253805351002	-0.510626757240926	-0.349880853461079	9.390612406009e-26	5.53026188589388	0.237082214044937	110.084401087828	9.39061240600905e-26	FALSE	922	P32134
P0AB49	-2	-1.70902883594387	-2.02862066786866	-1.38943700401909	1.05645502512439e-25	0.0230320882215421	0.879373657733211	109.85090033543	1.05645502512438e-25	FALSE	162	P0AB49
P76573	-5	-0.91650334021694	-1.08805360485668	-0.744953075577195	1.17318758065491e-25	2.41032223555	0.660762675445975	109.643149341962	1.17318758065489e-25	FALSE	400	P76573
P23522	-5	-1.77261812288369	-2.10456962499214	-1.44066662077523	1.23513951427454e-25	7.94926648125055	0.0934544064462329	109.541144929649	1.23513951427454e-25	FALSE	153	P23522
P0A7A5	-5	-0.249383881874154	-0.296108998554421	-0.202658765193887	1.30707872198761e-25	1.61927211725777	0.805324235087795	109.428930472105	1.3070787219876e-25	FALSE	1339	P0A7A5
P0AAG3	-5	-0.509803194924158	-0.605348568863266	-0.41425782098505	1.34930471990685e-25	6.71315914479167	0.151845408554983	109.365906941158	1.34930471990684e-25	FALSE	779	P0AAG3
P0AFW4	-5	-1.39778603551751	-1.65989060079573	-1.1356814702393	1.42929380592779e-25	38.8151834275243	7.60644568767579e-08	109.251750911168	1.42929380592777e-25	FALSE	228	P0AFW4
P45758	1	0.842445422496873	0.684261729547587	1.00062911544616	1.658202865444e-25	0	1	108.957294563141	1.65820286544399e-25	FALSE	446	P45758
P33228	-3	-0.488185215074942	-0.579881707965169	-0.396488722184715	1.72155800455866e-25	1.24813341782604	0.535761216426955	108.882974324858	1.72155800455865e-25	FALSE	826	P33228
P64451	-5	-0.409430339629378	-0.486349969062907	-0.33251071019585	1.76077607963766e-25	3.37729717366297	0.496779057753185	108.838327306781	1.76077607963767e-25	FALSE	957	P64451
P0A6W0	5	0.498731180921224	0.404798440214666	0.592663921627782	2.31992129684066e-25	5.09148146195028	0.278039068245417	108.29171624989	2.31992129684065e-25	FALSE	804	P0A6W0
P07395	5	0.31919713445159	0.259030709515976	0.379363559387204	2.52997286423368e-25	8.46202672995395	0.0760466473823857	108.119925177105	2.52997286423365e-25	FALSE	1158	P07395
P18956	-5	-0.447180384799638	-0.531574920162416	-0.36278584943686	2.89442424531978e-25	2.1647392481721	0.705489679472176	107.853196166192	2.89442424531975e-25	FALSE	894	P18956
P07024	-5	-0.432466032622614	-0.514135543563194	-0.350796521682035	3.10186043431614e-25	14.8650972178964	0.00498935040757876	107.716014595787	3.10186043431613e-25	FALSE	918	P07024
P09546	-5	-0.474659799869255	-0.564473581965954	-0.384846017772557	3.83809914760123e-25	4.06931455716313	0.396706413888757	107.29392069497	3.83809914760126e-25	FALSE	854	P09546
P0A9K7	-5	-0.494272914817568	-0.587797945715473	-0.400747883919664	3.83859140837426e-25	9.6225649731994	0.0472888281696582	107.293666525305	3.83859140837428e-25	FALSE	813	P0A9K7
P39336	1	0.94113817397858	0.762904383753561	1.1193719642036	4.21508224152873e-25	0	1	107.108238142939	4.21508224152876e-25	FALSE	389	P39336
P0A6J8	-5	-0.42926883613859	-0.510581474790466	-0.347956197486713	4.31273360083627e-25	6.6517137010999	0.155478687590117	107.062848741316	4.31273360083629e-25	FALSE	929	P0A6J8
P00894	5	0.487541496871215	0.395071938299116	0.580011055443313	4.95472321688329e-25	10.0023534431929	0.0403880572099931	106.78783603218	4.95472321688331e-25	FALSE	831	P00894
P06983	-5	-0.335628728780893	-0.399386989240731	-0.271870468321055	5.87865573877758e-25	6.33822976543173	0.175272893577416	106.448983587761	5.87865573877755e-25	FALSE	1117	P06983
P0ACU7	-5	-0.496984178139051	-0.591928851516646	-0.402039504761457	1.07422071218864e-24	10.1733584717022	0.0376065671979051	105.254360801616	1.07422071218865e-24	FALSE	811	P0ACU7
P03813	-5	-0.281386071792125	-0.335190048624057	-0.227582094960193	1.17984446470708e-24	6.33732611646618	0.175333100411484	105.068521587227	1.17984446470706e-24	FALSE	1253	P03813
Q6BEX0	-3	-1.02245505433842	-1.21819914413103	-0.826710964545812	1.34351970691258e-24	2.2819297637337	0.319510583068886	104.81110947773	1.34351970691258e-24	FALSE	358	Q6BEX0
Q46939	-5	-2.63380500682789	-3.13874691924344	-2.12886309441233	1.55970859384132e-24	43.1772468984076	9.50757434186048e-09	104.515470209181	1.55970859384131e-24	FALSE	74	Q46939
P15977	5	0.581606595008053	0.469945016674065	0.693268173342041	1.81136355480243e-24	19.2883860309169	0.000689751942402785	104.21909614875	1.81136355480244e-24	FALSE	676	P15977
P76141	-5	-0.408587489964185	-0.487071568013455	-0.330103411914914	1.91141167226332e-24	3.35442285518158	0.500355873431048	104.112575685026	1.91141167226331e-24	FALSE	968	P76141
P0A7D7	-5	-0.216523243135541	-0.25814430449744	-0.174902181773642	2.06126642389574e-24	4.22952199891047	0.37583367925706	103.963029716894	2.06126642389575e-24	FALSE	1456	P0A7D7
P0AES2	-5	-0.57195395885619	-0.681943137919006	-0.461964779793375	2.15299972457385e-24	9.4247160139962	0.0513173638416764	103.876761544599	2.15299972457383e-24	FALSE	693	P0AES2
P45463	3	0.858165575532875	0.693066523593597	1.02326462747215	2.25108903879301e-24	0.268240094254809	0.874485078880165	103.788491969168	2.25108903879297e-24	FALSE	439	P45463
P11071	-5	-0.798680959789196	-0.952343937542639	-0.645017982035753	2.26329870707009e-24	16.7598543044864	0.00215200533942424	103.777774857974	2.2632987070701e-24	FALSE	473	P11071
P00959	5	0.355683470748443	0.287175348294468	0.424191593202418	2.54231504909777e-24	7.96492353950538	0.0928715735666031	103.547452275141	2.54231504909778e-24	FALSE	1074	P00959
P42604	-5	-0.462351353258041	-0.551503953326702	-0.37319875318938	2.8557044973354e-24	3.77503936733948	0.437306135175538	103.317150819449	2.85570449733538e-24	FALSE	876	P42604
