	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P39298	1.9447358857809323	17.37871730005074	-6.841134877991707	0.07887580247012238	-0.0016502381059725346	0.1594018430462173	0.067004196184786	0.054784168601904944	97.4	7.0	1.9466543796348579	0.05445716085911355	0.06665993603490153
P39300	0.20280483158419582	15.44009225641373	-8.658428218526574	0.024049877598825375	-0.2126258932909003	0.26072564848855107	0.8571711204392077	0.8398988881625981	70.4	2.0	0.20251625210423224	0.8400972841078775	0.8573870348166116
P39304	-10.622790427179432	16.93320822501762	28.558922280623513	-0.8167482352901203	-0.9694432685529281	-0.6640532020273126	4.011912639216239e-17	1.0797087294065562e-17	95.4	2.0	-10.383245519556274	2.3993998427882967e-17	8.6948548758467e-17
P39310	-19.192773893517735	19.487105293615592	67.04971121643585	-0.5301955336102182	-0.5850423597463861	-0.47534870747405034	2.2603012534737676e-33	2.4085177291113916e-34	97.4	8.0	-19.011134122866597	1.5061962227938224e-34	1.3738761807913744e-33
P39315	0.012443317246111084	19.232602028551145	-8.714287199454294	0.0004790733271633485	-0.07596063146244902	0.07691877811677572	0.9911136808415769	0.9900981955128458	97.4	9.0	0.012506649102095792	0.9900469797120127	0.9910624125117173
P39321	1.2880620892218326	19.327566523424416	-7.883528617608568	0.04003420947437775	-0.021674667410631253	0.10174308635938675	0.22912308197360978	0.20087395882044273	97.4	24.0	1.3090427111033824	0.19359986539516852	0.22125698902304974
P39325	-30.85809679628664	20.833499874094684	105.88764849282292	-2.816446298218146	-2.9976577004240053	-2.635234896012287	9.112132758240948e-50	4.2635320624283126e-51	97.4	5.0	-31.19495309235806	1.691523967897795e-52	3.641751601474076e-51
P39332	-3.5484678877959763	16.814719715743664	-2.3637196943250807	-0.6197286554072576	-0.9671338455419873	-0.272323465272528	0.0009566821592859371	0.0006430158775528429	85.4	2.0	-3.544141254921257	0.0006416135759238466	0.0009541109955840643
P39334	-1.725019433147655	17.816898983190708	-7.23437038970738	-0.08768281253458099	-0.18860198089833022	0.01323635582916824	0.10479894238409485	0.08779774783749475	97.4	4.0	-1.7137544950460137	0.08975476218809735	0.10704763490295276
P39336	18.03989174443198	21.8034619662027	21.716922123403695	0.9411381739785831	0.8324383512337958	1.0498379967233704	1.6054094587409864e-13	5.37877964147851e-14	23.4	3.0	15.322302245474592	1.0767274469363907e-13	3.1214435293363876e-13
P39337	-3.4938920633265744	18.5974138120649	-2.9152692728939185	-0.19759509489687588	-0.30987960753650606	-0.0853105822572457	0.0010713516395816271	0.0007266749850440955	97.4	7.0	-3.5224560133742324	0.0006526426156490787	0.0009700190754418794
P39342	-23.930859980160147	19.85547506528351	84.46113146328337	-0.606058126382699	-0.656339734188049	-0.5557765185773489	1.027751040519721e-40	7.441366823435139e-42	97.4	19.0	-24.235475386682413	4.912435261688775e-43	6.849338307726065e-42
