Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P00864	1.2861961855725	1.22078633764179	1.35160603350321	24.9068360839915	39.0386619018511	3.42871996440928e-60	1.53802824462995e-58	127.001826141195	P00864	95	39.573882846807	1.27549583726963e-61	5.98646652803763e-60
P69811	1.54589990896683	1.46758165739274	1.62421816054091	20.8052367483652	39.1876511797873	2.44033511715103e-60	1.14535728531203e-58	127.343381909647	P69811	10	39.510980332462	1.47487798338882e-61	6.81060591361645e-60
P25888	1.72224369222479	1.63432099404292	1.81016639040666	20.2650335995594	38.8887909313288	4.8327261273432e-60	2.12862998501286e-58	126.657072491826	P25888	7	39.1433532116081	3.4608936282511e-61	1.57278388217189e-59
P0A853	-2.6340942369192	-2.76967312494129	-2.4985153488971	21.9861584928893	-38.5718159644413	1.00260700723877e-59	4.34918766927969e-58	125.924002741655	P0A853	11	-38.9781483621829	5.08925978488642e-61	2.27664855689529e-59
P0A9J6	-1.20317628794839	-1.26436601696619	-1.1419865589306	20.4069532220827	-39.037462482849	3.43813509103446e-60	1.53802824462995e-58	126.999071768079	P0A9J6	5	-38.8881904316548	6.28213532268841e-61	2.76703898905491e-59
P28904	1.89751482731937	1.80299571140469	1.99203394323406	18.9361096999606	39.8562443566578	5.38003171633531e-61	2.56717180064467e-59	128.861952948873	P28904	2	38.6548848299478	1.08682711970665e-60	4.71452430866689e-59
P76594	-1.87906981451652	-1.97683220662894	-1.78130742240409	20.2269651996826	-38.1594355375884	2.61166647768352e-59	1.09958840082469e-57	124.962220943432	P76594	5	-38.3623389512812	2.16995818617172e-60	9.27252281643227e-59
P46118	-1.24997240177026	-1.31488382052649	-1.18506098301404	20.3922531115658	-38.2305167446875	2.21293237195676e-59	9.45615728494358e-58	125.128658098634	P46118	7	-38.3297775255841	2.34422405448923e-60	9.86987274706274e-59
P0AFG3	-1.57399447097001	-1.65741968879779	-1.49056925314223	24.3538679922305	-37.4573197768696	1.36145526837767e-58	5.33951566214421e-57	123.303284223908	P0AFG3	68	-37.9481991977421	5.82116191686153e-60	2.41536037217023e-58
P05042	-1.25082899144317	-1.31702648613507	-1.18463149675126	21.3753611189563	-37.5134693409788	1.1918597845258e-58	4.73929800430188e-57	123.436960107026	P05042	14	-37.8853825435497	6.76660491460421e-60	2.76754141007312e-58
