ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P0AC41	2.56692306499481e-13	1.96170960131574e-18	3.16359716794095e-14	8.86612519734907e-19	3.87715359370731e-20	374.223149371856	2.85759452318336e-74	1.29994572672814e-72	NA
P0ADF6	3.05202197392444e-13	3.43901580256968e-13	5.29000721442141e-19	6.37631568353648e-22	9.43764719858278e-10	338.36989149593	1.16808818238392e-66	3.3592604969248e-65	NA
P36683	3.07767517048643e-13	2.36099055266926e-14	4.77592594568447e-12	7.33955086217436e-18	3.98483324141859e-17	326.937360284222	3.09508759485111e-64	7.82213046698734e-63	NA
P25516	3.84393939731872e-13	1.74025004999221e-16	1.13144938354893e-11	3.70632403745743e-16	9.29861773825275e-18	329.654729152788	8.22042302867383e-65	2.16499983344652e-63	NA
P25906	4.02504064049972e-13	7.26296017827685e-14	2.46295931201778e-14	2.17372509636695e-19	1.70219197136754e-20	357.24352440612	1.15574029800142e-70	4.13094603657079e-69	NA
P37661	4.16692063253522e-13	1.0093251286742e-10	8.1983735417414e-15	3.49104873703237e-21	3.24109049820064e-17	338.059920044717	1.35894690924122e-66	3.86373314422902e-65	NA
P0AE22	4.58840932622202e-13	4.80705461185712e-15	1.46136786610445e-16	8.42964791184309e-21	3.63280688973666e-21	382.255133083329	5.60494140851633e-76	2.92157570918914e-74	NA
P0AFW2	4.61891279161631e-13	1.11502681092741e-11	6.26450087746633e-13	2.78164339163736e-11	1.41708881126767e-17	289.644895582428	2.39673499532569e-56	4.0793407879625e-55	NA
P08660	4.86552520807665e-13	9.04278600307653e-14	3.30932514958805e-11	1.39470015370525e-16	1.09213106882917e-15	306.953349611643	5.26353567971348e-60	1.028856739894e-58	NA
P60716	5.84523693620271e-13	4.00541947291561e-14	2.38365913075855e-10	3.5970867744741e-13	8.06222027294639e-17	293.76795151088	3.22621491259224e-57	5.68449979669422e-56	NA
P25526	5.8842872387891e-13	8.81178670993389e-15	3.34223494118144e-14	1.52103521699819e-14	3.65505519667473e-15	313.226047342099	2.47794099949649e-61	5.25407489893239e-60	NA
P37330	8.71798558084823e-13	1.30894819252625e-12	5.32525114448183e-10	3.03355969959429e-15	7.29396698112139e-16	289.533519683807	2.53012248277339e-56	4.2772746296615e-55	NA
P0AEZ3	9.23851650796388e-13	1.43455904817349e-05	3.96588572936683e-10	6.47559853484751e-15	6.18765679575182e-16	256.399909839874	2.44603633497007e-49	3.1546303660284e-48	NA
P23721	1.02969307437023e-12	4.23118169928052e-13	6.80870545225788e-13	5.55947489696406e-19	5.92021686262787e-20	340.830462649936	3.51302439336967e-67	1.04637940859654e-65	NA
Q47155	1.54704450272549e-12	NA	NA	3.29829782495115e-15	NA	NA	NA	NA	NA
P0AES0	1.77760389607673e-12	1.21912010661196e-12	2.82848352434719e-10	4.10639397498415e-12	2.52401345570697e-11	254.191636685661	7.12978497958801e-49	8.9641819190599e-48	NA
P04036	1.86709439872846e-12	1.04288974672459e-13	4.64973820668026e-09	4.75322973760105e-17	3.34818736634427e-16	298.605535956322	3.06481855355993e-58	5.7225194186619e-57	NA
P0A9J6	2.02491539538969e-12	8.55706676492567e-12	5.57373861034939e-15	2.34649072735632e-21	6.17723645695156e-19	349.320158057691	5.55466161514782e-69	1.80490433261037e-67	NA
P0ACW6	2.2833876877677e-12	5.61581581440716e-15	1.75827114264004e-15	6.16538187752154e-14	7.16315237542393e-17	322.370466984641	2.87128565852508e-63	6.77731765814126e-62	NA
P75826	2.55663267247207e-12	NA	NA	NA	NA	NA	NA	NA	NA
P0A6L4	2.7868182031868e-12	5.15805618588192e-09	2.83974406167991e-12	4.76624335479764e-17	4.7776850447854e-17	294.877024836533	1.88088431049475e-57	3.41012503250569e-56	NA
P0AC33	2.8812405847845e-12	1.85865436128767e-15	1.81645946041053e-11	6.38928394220673e-17	1.65724007745805e-16	317.697605611157	2.80266131856407e-62	6.09761619047591e-61	NA
P39325	3.32499129753554e-12	3.22733765922409e-11	9.04141664410098e-15	1.12373664648612e-12	2.38367489937798e-15	288.215575556146	4.80241284779613e-56	7.90502430604337e-55	NA
P69831	3.44689535412437e-12	6.4480398694801e-06	1.18690811158149e-20	6.02662437986642e-19	7.20419486911076e-16	322.090518889129	3.29129349908441e-63	7.69609003243849e-62	NA
P20966	3.92826477670032e-12	3.60940846706502e-11	3.36255081303063e-14	6.96536233214075e-14	3.19115329128444e-15	290.009685147003	2.00714230477494e-56	3.4396370181828e-55	NA
P09551	4.06128399024057e-12	4.86111462568731e-11	2.44818848914527e-13	1.04113877215851e-14	1.62160542010697e-15	290.532368007922	1.55662952667559e-56	2.69477591490709e-55	NA
P77739	4.4150827304821e-12	2.51164444545697e-10	2.40558848186642e-11	4.98010036631003e-13	1.06803694411682e-11	252.584638181908	1.55275433800722e-48	1.91378884418427e-47	NA
P65807	4.88601102607756e-12	6.20232615399524e-12	2.13521948452278e-05	5.38164141105846e-13	0.00232233989633245	193.841780853837	3.09997146262835e-36	2.04108647355161e-35	NA
P23857	5.02021715194785e-12	3.05223124222519e-15	9.17855624597611e-15	5.23767654139524e-16	2.40184298295587e-21	348.851784027462	6.98307075872723e-69	2.23995423568404e-67	NA
Q46863	5.33098582460113e-12	1.52500936449046e-10	1.87502406348148e-10	1.00369837397269e-18	5.16328854842589e-07	253.755853668207	8.80539007310854e-49	1.10155429814588e-47	NA
P07623	5.73857481657104e-12	7.011984856911e-09	1.05486698066804e-08	5.28333124080287e-15	3.05907464278036e-13	249.432869295373	7.14272973066516e-48	8.59187970486742e-47	NA
P10371	6.53748629765425e-12	8.98328146530647e-12	1.73009158097133e-15	2.27684241619132e-18	1.30046315603389e-16	324.764218846757	8.93410556638209e-64	2.12886972638933e-62	NA
P77581	6.96564782809029e-12	2.29631766706054e-12	2.42945141350812e-12	3.67342476099487e-14	1.04078927514657e-16	293.939098946004	2.9684784217956e-57	5.26747022080326e-56	NA
P0AG80	7.06482374874333e-12	1.54697549145517e-12	1.29525323341669e-13	3.76518841545616e-16	1.93934342375045e-15	303.875005849172	2.35688283556767e-59	4.53609296506947e-58	NA
P23847	7.79923833588099e-12	2.7039545387703e-10	3.77409463668541e-07	1.08411977324144e-15	2.55630490129371e-17	270.122915036429	3.15083483926497e-52	4.4041278032631e-51	NA
