	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt2168	-0.5441246400821069	-0.8111087799914265	-6.622604862513943	-0.095535599950749	-0.44057375585916464	0.24950255595766663	0.9622740586963328	0.5866211850099059
prt2169	-0.9621255217465632	-0.09271339907043344	-6.49699026208498	-0.19841798585652204	-0.6036563415208882	0.20682036980784407	0.8799840610348116	0.33647834609024885
prt217	6.857263041461827	0.45167131210155287	15.382619482032652	0.6712143404936195	0.47892232934742274	0.8635063516398163	9.426511303180835e-10	1.9795673736679756e-11
prt2170	0.24621996558450032	0.8074953657345335	-6.942935695454938	0.03641085356934848	-0.25410775639855654	0.3269294635372535	0.9917830276624297	0.8056097212663997
prt2171	0.030909891460158538	0.6453884572950773	-6.914372294868272	0.007267699618994906	-0.4547041391083477	0.4692395383463376	0.996170591640537	0.9753539155080092
prt2172	0.2858506835894668	3.5803759422287107	-6.969325157082208	0.03343148741408175	-0.19629875587213383	0.26316173070029736	0.9917830276624297	0.7750997613783743
prt2173	0.7468405258662092	3.5842505211862328	-6.662978119297751	0.20213365900583247	-0.3295695675347061	0.733836885546371	0.9166543091238122	0.4554968459408816
prt2174	-0.10773792666137458	4.000775850415968	-6.997574923980415	-0.010836248775559554	-0.20840455651268983	0.18673205896157072	0.9921574873914691	0.9142429585390739
prt2175	0.1187447082665251	3.9577888903386444	-6.93761263667096	0.023491204264261434	-0.3651523745303729	0.4121347830588958	0.9921574873914691	0.905523488994594
prt2176	0.9309259389742041	-2.93893330174813	-6.421725726924567	0.22920027849622504	-0.25506087213877476	0.7134614291312249	0.8805035696029413	0.3525450862305781
prt2177	-0.7806549347694502	-0.6889458097080088	-6.6478935317119525	-0.17694299683150616	-0.6223352191555815	0.26844922549256917	0.9089741727651777	0.43539862875452007
prt2178	-0.2541244623451341	2.8162666672350563	-6.947463524431056	-0.03385578779597331	-0.2955602891523857	0.22784871356043906	0.9917830276624297	0.799496354241575
prt2179	-0.3967744501946617	0.21804167139746577	-6.881033296758208	-0.0749020217767844	-0.44582671405367924	0.29602267050011044	0.9792018764329713	0.6917087512720133
prt218	4.849233598383499	2.524367536483506	4.442163631835697	0.556934541849966	0.33132207043482165	0.7825470132651104	4.716895492411084e-05	1.6273289448818242e-06
prt2180	0.12329781548358427	1.945984964865225	-6.910657959378406	0.02185807534894213	-0.3264368398955197	0.37015299059340395	0.9921574873914691	0.901920344840452
prt2181	0.010453471159656537	-0.06720919601881022	-6.961961871565875	0.0017209956757204825	-0.3217467227037777	0.32518871405521865	0.998319163013065	0.9916637019263111
prt2182	-0.5980200658353161	2.517969082355567	-6.784150330453328	-0.15512290498186931	-0.6647195222077197	0.35447371224398105	0.9473534871997182	0.550088511986653
prt2183	-0.3549102894371397	0.9953494152985072	-6.903704822947532	-0.054295194198481944	-0.3548213510410103	0.24623096264404642	0.9853328045574425	0.7227977678541162
prt2184	-0.47480160779555786	1.4293981815474295	-6.8959750487463545	-0.04394272301810087	-0.22574508702974327	0.13785964099354153	0.9718955419371392	0.6351207738165503
prt2185	-0.642140858244761	-0.6678843835825544	-6.729594626273338	-0.10446474859556487	-0.42406405121494556	0.21513455402381582	0.937370337674295	0.5210664595286159
prt2186	1.6050488512960546	-1.8606931717588773	-5.5899314973489345	0.19183607986381745	-0.04308265613514953	0.4267548158627844	0.6542140591585056	0.10921923601026806
prt2187	-1.7014067954078789	-2.9008570953217365	-5.494171341773717	-0.16135605362653205	-0.3478856918519292	0.025173584598865067	0.6141311090798877	0.08976549711051025
prt2188	0.96534723891964	-1.6087275418763787	-6.458384566647609	0.08761695017281956	-0.0907399429121537	0.26597384325779283	0.8799840610348116	0.33487506941998
prt2189	1.1278881422047924	1.6105051476611791	-6.2894814922061135	0.3249293436453631	-0.24110563867981816	0.8909643259705443	0.8280856113146793	0.2599182162740011
prt219	6.354867759572547	1.6436310304875414	12.352047201029942	0.6510254840715621	0.44978291368341883	0.8522680544597054	1.896881752499445e-08	4.4576721183736954e-10
prt2190	-1.2385903963560683	-0.09508722598815422	-6.111487773128307	-0.1514288038787377	-0.3916134151870808	0.08875580742960545	0.7871726951403836	0.2160584209183113
prt2191	-0.6844294896740934	0.028033387393933566	-6.468909187870234	-0.1186511709285174	-0.4592782874039732	0.2219759455469384	0.9309643001690627	0.49403172195638256
prt2192	0.6274950264181611	0.5414817800896474	-6.784518494135813	0.07319536378952085	-0.15594697416601555	0.30233770174505725	0.9435590956500108	0.5306026100477197
prt2193	-0.9451492691872018	0.8187749332210822	-6.4262431282125645	-0.4375769165827579	-1.3475225658375196	0.47236873267200385	0.880304821188756	0.34510879633216907
prt2194	-0.7312277995107014	2.432386119316898	-6.68618500953644	-0.07150385359662836	-0.26360394805199827	0.12059624085874152	0.9200209148646032	0.46496637447095424
prt2195	-0.36920289194203626	-0.18244179298424532	-6.907385484439238	-0.04834491823567877	-0.30563283616357256	0.20894299969221503	0.9853328045574425	0.7121376946750992
prt2196	-1.1148562292565378	-1.7271206823201202	-6.164766642304552	-0.15697547172658322	-0.43374861245194085	0.11979766899877442	0.828279877600697	0.26555443686063424
prt2197	0.8342137242081895	-0.8176102021411319	-6.5397051836838935	0.09107361091536159	-0.12344039329845038	0.30558761512917354	0.8991369089016464	0.40457396465820583
prt2198	-0.13790715504610657	1.7042690731042263	-6.975557015587544	-0.023329330954658722	-0.3556583192789046	0.3089996573695872	0.9921574873914691	0.8903667915543801
prt2199	-1.73171216633476	-0.9764864318459539	-5.311943361393722	-0.2909363084830314	-0.621063354888398	0.039190737922335184	0.5991132032517545	0.08397570065578759
prt22	8.733262287335904	2.172679917374211	28.43610755905985	1.0040296581304968	0.7781937645338921	1.2298655517271015	2.5533126878034763e-15	3.1065304368275626e-17
prt220	1.1963658781254647	0.8969227459567997	-6.080720937999956	0.30452212873509854	-0.19562210175923989	0.804666359229437	0.8034002640810871	0.23214220071408878
prt2200	1.8032550946154617	1.5693113002622014	-5.3705744719892445	0.40326800269414864	-0.036062402368661595	0.8425984077569588	0.5604274346982745	0.07192378322776488
prt2201	1.0108079598164135	-3.3104234209192676	-6.273749267234473	0.12673378593834528	-0.11994932424962412	0.3734168961263147	0.8620425246863915	0.31288217082374703
prt2202	-1.4323053855326109	-0.38200629817165915	-5.9189840528436735	-0.3181137632896076	-0.7545638916304072	0.11833636505119188	0.7181800381141401	0.1527329547722738
prt2203	-0.2547953924595085	1.2602321900935856	-6.920019611809088	-0.02463057522951062	-0.21452948069350536	0.16526833023448412	0.9917830276624297	0.7989798184314384
prt2204	-0.6815487719581685	2.5027981834038737	-6.667141695742747	-0.1674319362894081	-0.6500502456618347	0.3151863730830184	0.9319041192783925	0.4958284345170574
prt2205	0.21664397530782123	0.8060167341410559	-6.897084904135478	0.03862694957445845	-0.3116197183114659	0.3888736174603828	0.9918240950292757	0.8285682718751232
prt2206	-0.7656483023272372	0.804767680691269	-6.704460353312847	-0.09543713739815107	-0.3403015612644461	0.149427286468144	0.9129154363079954	0.4442252656526394
prt2207	-0.04627621517069735	-1.4768153422570434	-6.9658416090871045	-0.005554701742013002	-0.2414699544174225	0.2303605509333965	0.9936777579410627	0.9631112454677169
prt2208	-0.4653451257940058	-0.870105828479748	-6.853875018855246	-0.05997735093927431	-0.31321873157582053	0.1932640296972719	0.9718955419371392	0.6418911494592864
prt2209	0.4548864369464272	-2.088111733778111	-6.716861848671916	0.07745654642435484	-0.25739973029743995	0.41231282314614964	0.9751096194539769	0.649463760072448
prt221	4.9197552326554685	2.843940480880952	4.829635013478383	0.6349749004764403	0.38141102677140654	0.8885387741814741	3.455873843869669e-05	1.1692373171759047e-06
prt2210	-0.9429709839591414	3.0056616613805343	-6.532268232125953	-0.11873927330909817	-0.36610701854132266	0.12862847192312635	0.8803225480504232	0.3461279801003857
prt2211	-1.802190678845829	-1.2678188362627665	-5.336494175459806	-0.18770974026525467	-0.3924331230588406	0.017013642528331235	0.5613017930038936	0.07222083069983432
prt2212	0.2576046602853611	3.119073165899857	-6.962982093850541	0.051453758829788754	-0.3409416084506505	0.44384912611022803	0.9917830276624297	0.7968139801413532
prt2213	1.0098872078661298	0.6637750667422738	-6.407564929762228	0.15694509247345523	-0.1483820876761024	0.46227227262301285	0.8620425246863915	0.31303314022896644
prt2214	0.3153498731414614	-0.6481595455028349	-6.908629083913866	0.02730830294919695	-0.142811469104404	0.1974280750027979	0.9910884516374897	0.7526216160558622
prt2215	-0.6561237370007194	-2.96911820298702	-6.47983359827497	-0.16226940482841012	-0.6486118905574909	0.3240730809006706	0.9353978144364751	0.512158125347457
prt2216	1.1248344798781067	0.14757591510248913	-6.3737514374035324	0.1667753453859913	-0.12450261393111628	0.4580533047030989	0.8280856113146793	0.26118031390717816
prt2217	1.0887139012574505	-1.0574205326114487	-6.351906609477585	0.20732767831617127	-0.16694758457606945	0.581602941208412	0.8402805814574562	0.27687763819485217
prt2218	0.7823721541635555	-3.693806412293813	-6.44905341110531	0.08922694689468003	-0.13514691868730888	0.31360081247666893	0.9089741727651777	0.434572988322947
prt2219	-0.21936287352987943	4.203902642394121	-6.964422333043828	-0.029448627921315307	-0.2931653628409725	0.23426810699834189	0.9918240950292757	0.8264513981636727
prt222	6.041751884555376	-1.1391169352344743	10.5951389025998	0.7076592539068778	0.4774942473097132	0.9378242605040423	1.2246961134135192e-07	3.1229750892044737e-09
prt2220	-0.9366736853472051	5.1826996187149765	-6.555687624003627	-0.18488286478542282	-0.5726411473297062	0.20287541775886048	0.8805035696029413	0.3493580855519246
prt2221	1.201692932863001	3.707238311829211	-6.249583865196997	0.09348482616969678	-0.05932738331852733	0.24629703565792088	0.8014086728255476	0.23000271310163597
prt2222	-1.2048608549417117	0.47530762280056804	-6.287865763465265	-0.11431896668930562	-0.3006912718945559	0.07205333851594466	0.8003705033702226	0.22877256887998865
prt2223	0.7852848308637471	-0.23042492299493011	-6.492531730391638	0.12836022091343535	-0.19281789511472763	0.44953833694159834	0.9084872112604075	0.43267336688225777
prt2224	-1.127456123209892	1.5987057282030488	-6.358862302734255	-0.10607547319914845	-0.2909068967799211	0.07875595038162422	0.8280856113146793	0.2600698390562884
prt2225	-0.2120561999275815	0.2684062008294074	-6.952665855993056	-0.03762679277739367	-0.3862410633536918	0.31098747779890445	0.9919756631816798	0.8321494654474324
prt2226	1.5024459643576429	-2.5490023189090363	-5.7430590326596995	0.24589070499580634	-0.0759166763468786	0.5676980863384913	0.69623878444594	0.13382400843840725
prt2227	-0.807749363837241	-1.7165085883879843	-6.567191993520849	-0.17084193195475528	-0.5866962355148555	0.24501237160534495	0.9045127339498898	0.41973651526613975
prt2228	1.4577199642788443	-1.9538657119257612	-5.6173512654410445	0.410646664186725	-0.1432636870126216	0.9645570153860716	0.709824637551114	0.1457506589104954
prt2229	-0.5235377285253711	1.7186272163171625	-6.864886510341429	-0.07137725892814695	-0.3392047249765248	0.19645020712023092	0.966120968357334	0.6008194259329867
prt223	2.579496970326464	1.390914460099376	-3.6352344911056105	0.5851738522257324	0.13951490453166843	1.0308327999197964	0.1580187794541969	0.010165874811553335
prt2230	-0.26491916164001367	-0.7492285695693228	-6.83239882678473	-0.08867117108378797	-0.7465266927463637	0.5691843505787878	0.9917830276624297	0.7911975664628559
prt2231	-0.889845856409541	2.5937851697583487	-6.582050956169759	-0.0907012772747744	-0.2909362675253592	0.10953371297581044	0.8925091825855755	0.3739525310216
prt2232	0.7841997561855192	-3.006171381131292	-6.42816529150991	0.17707305952126973	-0.267052132618426	0.6211982516609654	0.9084872112604075	0.43346286203435036
