	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt3335	-0.16570118703576175	3.324461058403705	-6.907465157039017	-0.01524790211157745	-0.19601786589909004	0.16552206167593514	0.9949124049355518	0.8684553500703276
prt3336	1.0918804697101037	-1.5944498647184129	-6.118106626453008	0.22128118470374147	-0.17704602698625266	0.6196083963937355	0.864877746942598	0.2754962253446102
prt3337	0.07831132444536654	-2.9708215161139524	-6.5914724862004475	0.009016978402565101	-0.2174658201734905	0.2354997769786207	0.9967332834729503	0.9376265347763713
prt3338	-0.4386311675916828	3.874766212375762	-6.8409772324596405	-0.056958981843326484	-0.31205329809475696	0.198135334408104	0.9729794362351133	0.6611070236552942
prt3339	0.31905387765036386	-0.7856778804122452	-6.818957029824816	0.04175608616520434	-0.21538548032686836	0.298897652657277	0.9819917363488662	0.7498209126234934
prt334	3.3731880254796422	-0.7053437913769154	-1.324475200170288	0.5112577483504248	0.21347116199454425	0.8090443347063054	0.01640224801289296	0.0008009764446296061
prt3340	1.8221627773178832	-0.20576289350580906	-5.269813495206949	0.14738601426925285	-0.011501165723199258	0.30627319426170496	0.6051021995942403	0.06898165075374339
prt3341	0.45337649607746516	-1.3565360757412375	-6.826185972816253	0.042366671190241595	-0.14125635565343017	0.22598969803391336	0.9729794362351133	0.6504857655340461
prt3342	-0.3400581466744598	-1.0568295669783285	-6.829438095732769	-0.08378373120164151	-0.5680913352974732	0.40052387289419017	0.9819917363488662	0.7339845539610435
prt3343	-0.7667210424961312	1.876515037114687	-6.6050238395082	-0.11500183388755314	-0.4096375177608253	0.17963384998571902	0.9357634869049559	0.44358086196896973
prt3344	-2.229603082125093	1.6516717517394124	-4.489774254392554	-0.28623449242096366	-0.5384282492414288	-0.03404073560049847	0.33795543001467737	0.026191545826137495
prt3345	-0.21373011866353042	3.691294768897087	-6.891710933998707	-0.020989659686094342	-0.21390986830783348	0.1719305489356448	0.9914754011471973	0.83083947475541
prt3346	0.8500313027208702	-4.43406353926782	-6.349073268615312	0.1945085348158746	-0.25586286250537027	0.6448799321371195	0.9152772369115795	0.39600995117041005
prt3347	0.6253104210650606	0.19265598441566426	-6.653323496532663	0.07727344753073201	-0.16550798185337678	0.3200548769148408	0.9592198378867565	0.5320472700811876
prt3348	1.329963082702812	-2.5707409946675077	-5.907959488144915	0.18146370037836768	-0.08682821486493164	0.449755615621667	0.8070353731870894	0.18434186282699613
prt3349	1.8422373107198375	-3.0088519911681995	-5.083790210668662	0.16807694338443602	-0.01142491635414608	0.34757880312301814	0.592612357757829	0.06637258406887685
prt335	4.414319176879711	2.1442119516752385	2.572060142515232	0.5963014900783232	0.3309351464773609	0.8616678336792856	0.00030599429376998666	1.2290770799761132e-05
prt3350	0.18477945957717348	-1.8556599578950979	-6.781194691127643	0.02411091732406545	-0.23237629904668133	0.28059813369481224	0.9939198065328186	0.853491514522492
prt3351	1.314278661343562	-0.7436703244595985	-5.962389355501223	0.18797641181460356	-0.09305924431190077	0.4690120679411079	0.8127926869495066	0.18938069605923505
prt3352	-0.8281010699440543	-1.7181262693817447	-6.504979968532457	-0.11749596668523954	-0.39635878755343923	0.16136685418296015	0.921501982487197	0.4080646892746306
prt3353	-2.245114874394594	3.65996865813115	-4.426378895980326	-0.32244285293804076	-0.604572370125801	-0.040313335750280455	0.33045307648661937	0.025169509325730838
prt3354	-0.9866352834133995	-1.2110177891082283	-6.406224111266411	-0.12941249233350538	-0.3871621674295536	0.12833718276254286	0.8967904672307978	0.3243339330180982
prt3355	1.0323664255491927	-1.4131527772057082	-6.34424220934194	0.08561342922239223	-0.07738968700509763	0.2486165454498821	0.8837041486275474	0.3024881960932461
prt3356	-2.6154825646059026	-4.021307567074006	-3.4449673896482365	-0.3748590509726568	-0.6567962719126694	-0.09292183003264426	0.15443211199287868	0.009317404090237014
prt3357	0.05264734620291387	1.1073891818420611	-6.8338854195773795	0.005480619181566837	-0.1990210321511848	0.20998227051431848	0.9981497287771296	0.958032783216092
prt3358	0.5145375589620957	3.782791581449192	-6.752427001188314	0.056143481738337275	-0.15820311765588801	0.27049008113256257	0.9724364396417231	0.607089263842937
prt3359	0.3192295418797863	-4.905660630975069	-6.704661275689756	0.036064375292101936	-0.18632170284132177	0.25845045342552564	0.9819917363488662	0.7497908527795542
