	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
A6NIZ1;P61224;P62834	4.206709089104603	16.21647627977564	0.5626346206382253	0.3576489570563659	0.18562725731135862	0.5296706568013732	0.0007690477482698285	0.00014889458284171492	39.0	4.0	4.215850954770145	0.00014285849178531196	0.0007378710449493783
B9A064;P0CG04	5.202858539070697	19.834565690414458	4.266504700145299	0.5252719794468561	0.32307642079667076	0.7274675380970415	3.408656714843208e-05	2.8191897641560364e-06	57.0	8.0	5.211092041219352	2.697664784402005e-06	3.2617219665951515e-05
O00151	0.40987161375854075	15.143768012685788	-6.717604534591667	0.04937970719032592	-0.19418558458744492	0.2929449989680968	0.7488593250205048	0.6841083307518145	40.0	3.0	0.40844315158181765	0.6851267486402397	0.7515204747971289
O00187	-2.7514259227350504	18.49532381154749	-3.263509612922109	-0.11665690218494262	-0.20157143228539495	-0.031742372084490295	0.019151455964603215	0.00795577400033329	57.0	13.0	-2.7898581469344284	0.0071584272392666475	0.0175496925865892
O00299	-0.6433731934046796	13.47156817594146	-6.501188464521231	-0.046668313329799815	-0.19725705945029853	0.1039204327906989	0.6013542986682351	0.526750193946236	22.0	3.0	-0.6152597599073334	0.5446957207254026	0.6191840244143466
O00391	0.7111575273467445	19.233207681073864	-6.581979847379364	0.02283619226213318	-0.0414751057660635	0.08714749029032987	0.5648457804901429	0.47990656537884324	57.0	18.0	0.7352286116538527	0.4652147493143357	0.5524425148107737
O00522	-0.34814180397572375	11.871697395017975	-6.602163866962976	-0.04003564683169891	-0.2820188767278966	0.20194758306449878	0.789755680275219	0.7318600570971484	18.0	3.0	-0.3411287159722265	0.7369563165288646	0.792041940188598
O00533	0.3862392821225495	18.207727063220535	-6.760312774159906	0.0172491619579489	-0.0721927253106631	0.1066910492265609	0.7639512126021145	0.7007672777252478	57.0	13.0	0.3912263132303712	0.6970886053937125	0.7615013102042199
O00584	-0.36439389460688015	13.051189076479039	-6.6443011221417105	-0.028336148538411265	-0.18977315748547624	0.1331008604086537	0.7791522886537903	0.7191048378364869	22.0	3.0	-0.3507926402561804	0.7290807345359076	0.7883555910022415
O00592	-1.7245986816265733	15.673057158755844	-5.377428554066248	-0.08570250566138071	-0.18522811964002084	0.0138231083172594	0.14606687465627866	0.09005626858507405	57.0	4.0	-1.7229072761160191	0.0903270455440076	0.14650606167503671
