Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P02765	0.317963674301055	0.161171998827401	0.474755349774708	22.0891058189924	4.0614761001234	0.000151635751303481	0.000775675189360116	0.43582404181883	P02765	11	4.08273375082532	0.000140377018296138	0.000732162487583779
A6NIZ1;P61224;P62834	0.35764895705638	0.185627257429393	0.529670656683368	16.2164762797756	4.20670908910469	0.000148894582841673	0.00076904774826961	0.562634620717755	A6NIZ1;P61224;P62834	4	4.21585095477023	0.000142858491785274	0.000737871044949183
P01602	0.457497533213376	0.238655920125968	0.676339146300784	15.341885560261	4.229875654659	0.00013880353166499	0.000723955674958578	0.63004988638313	P01602	3	4.20578495566921	0.00014729370204432	0.000753463937380562
P06727	-0.342629529404071	-0.512910369628475	-0.172348689179668	23.3554460666482	-4.02984554872473	0.000168355911029367	0.000837059295959094	0.336274238362683	P06727	41	-4.06052709229798	0.000151123250719938	0.00076569113698102
P07998	-0.581939777741503	-0.859625063278464	-0.304254492204543	14.0287666790896	-4.26074358285448	0.000155134139457572	0.000786012973251701	0.586469401140937	P07998	3	-4.24929458213101	0.000157605276412584	0.000791000066523537
P01137	0.200609578373562	0.105512713405903	0.295706443341222	14.6531196886622	4.24011093169929	9.95380144816118e-05	0.000552356591809675	0.877234439263208	P01137	3	4.08915399218081	0.000160572750654702	0.000798361713535528
P19652	0.388363077893409	0.193533306382258	0.58319284940456	19.1019111466092	3.99219741566965	0.000190582876236932	0.000938797131093035	0.218342618192329	P19652	5	4.00541558506643	0.000181337284580602	0.000893254031452596
P80511	-0.623520451908414	-0.924226031714104	-0.322814872102724	14.1806161037271	-4.23702492627599	0.000202498212012863	0.000988339897163701	0.367404991677441	P80511	3	-4.22902552391724	0.000202774794370734	0.000989689822066336
P24592	-0.228252820219929	-0.344006346493391	-0.112499293946466	16.6825593216451	-3.94921991321104	0.000219419313527442	0.00105163130447387	0.084469054446318	P24592	5	-3.96155754363615	0.000209468754994601	0.00101306706961025
P22352	0.285191053203658	0.140140996756539	0.430241109650777	18.9201802163654	3.9377432065427	0.000227804677051023	0.00108207221599236	0.0488569113781177	P22352	8	3.93721227418938	0.000226853561291262	0.00108726211357614
P43251	0.233917492084476	0.113861686752606	0.353973297416347	19.0525173983578	3.90219465553881	0.000255782419306203	0.00116304484675983	-0.0610777013563268	P43251	11	3.92765580692197	0.000234050799087597	0.00111174129566609
Q10588	0.253455746356529	0.123950401640096	0.382961091072962	15.3769087196596	3.91961892431258	0.000241679066754519	0.00112229674312133	-0.00726342146320125	Q10588	4	3.92279799841345	0.000237793144446493	0.00111952170659765
P13796	0.15272281155141	0.0728628212907143	0.232582801812105	18.7039581006487	3.83004656210556	0.000323072932434924	0.00142045289301967	-0.282437737024496	P13796	18	3.9175134523958	0.000241929654134812	0.00112900505262912
Q5VWX1	-0.395561779131189	-0.580278201608736	-0.210845356653641	15.8918350729128	-4.44572082071128	0.000210727520848136	0.00101915491901099	0.481594613198966	Q5VWX1	3	-4.325776762452	0.00027224856614363	0.00125944554076879
P35555	-0.198356857165514	-0.300098370802619	-0.0966153435284097	16.0541197791101	-3.90461681427015	0.000253775536514576	0.00116304484675983	-0.0536051077139508	P35555	7	-3.87675803456065	0.000276241572001311	0.0012669010026267
P01699;P01700	0.312365591766326	0.156423475012569	0.468307708520084	15.8149901098624	4.0529245124112	0.000236565100173891	0.00111374011763283	0.118616024881454	P01699;P01700	3	3.98911456454334	0.000282913296574386	0.0012864091775861
Q14766	0.233483822177107	0.113226253298845	0.353741391055368	16.7667569479253	3.90453020414775	0.000296733547913643	0.00133781565669541	-0.159587780824017	Q14766	9	3.91120869831487	0.000288351806240862	0.0013000267874588
Q9Y5C1	-0.322017537943069	-0.489657531357546	-0.154377544528591	15.4628793758446	-3.84708060739733	0.000305798626948915	0.00136709974400691	-0.230390243670342	Q9Y5C1	3	-3.81819332809981	0.000333847173727382	0.00149249324725183
