rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P27828	1198710	895699	778305	1232910	781822	807115	895388	867905	914659	826005	860283	828592	783086	837651	1186420	1168000	1175450	1215130	1249860	1234880	1169330	1241130	1255250	1133880
P27431	2910730	3146370	3115490	2923880	3413030	3050730	3177960	3261230	3069650	3035250	3116320	3361490	3414740	3158960	2825230	2936850	2997860	2863630	2919920	2935940	2843870	2889090	2937580	2843860
P76015	2918480	2419290	2256830	3168030	2209610	2268930	2405020	2189530	2395110	2342550	2229450	2287230	2252520	2108490	2654460	2750790	2486590	2632690	2610030	2817030	2668080	2785800	2676160	2678450
P0AFI7	1142610	994471	932029	1181880	1163260	598772	1033110	939438	868530	697653	766148	1236990	1114560	880611	1127050	1099370	1017500	1207770	1157350	1138040	1091810	1133930	1190510	1062100
P0AFM2	10576800	14458500	16652100	9604130	12126100	21738800	16927500	15536800	20143400	19430400	19645600	13683600	11140000	17216600	11215900	8805590	12401900	10019800	10855800	10090100	10396200	9212490	10748700	11136400
P17888	492397	507913	546453	478939	518574	433488	539440	456027	505494	567624	467703	580433	518218	528902	458311	451834	479928	453170	484174	492498	514586	512662	561419	549936
P0AF96	3904880	3468950	3006060	4202190	3185780	2863240	3019100	2956870	2740160	2663590	3087570	3121160	2530650	3021560	4036510	3815800	3853740	3419360	3724990	3872720	3795400	3984070	4102740	3928910
P39830	1234700	1200560	1262710	1104330	1051430	1263390	1326540	1273100	1361530	1351150	1345840	1236080	1125690	1341930	1204940	1139050	1302150	1106900	1187170	1168530	1153800	1149570	1156630	1271600
P02358	38411100	35078300	35353000	38616500	36892400	39111600	32367700	36728300	33525200	36018800	36161100	31254000	32768400	35414200	41338000	41700300	41942900	38309400	38678700	38845800	38886300	36428100	38169900	39984000
P30863	669662	1279750	1273600	666467	1371190	1204540	1505090	1256180	1330210	1131690	1269530	1333010	1347290	1122310	800889	924523	743767	895573	774267	861044	753979	800758	692401	688967
P21369	720210	833393	832522	774386	803051	828068	778813	783296	763816	825566	819177	832968	772670	742074	783504	776515	896685	825407	825113	801144	782574	732491	791412	778206
P31979	2456560	3813290	3728210	2507040	3816640	3784400	3973350	3589050	3962100	3734710	3719230	4204060	3838720	3360400	2554460	2531830	2448090	2749910	2707390	2527090	2377870	2562490	2550190	2463930
P0A6L2	13115300	15536400	14062600	13551200	15295600	14026700	14846100	15058700	14617400	14757100	14306200	15540600	15092100	14556600	13352000	13739900	13200800	14039100	13564400	13319400	13116600	13223200	13476300	13243700
