	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P06702	-2.3948956053309023	18.360926402294385	-4.088441516795495	-0.26388898000284655	-0.48456953293760774	-0.043208427068085364	0.04147475657910838	0.019957777601976964	57.0	7.0	-2.397632774094936	0.019800047850332826	0.0409868694800664
P06727	-4.029845548724479	23.355446066648202	0.33627423836614145	-0.34262952940405	-0.5129103696284538	-0.17234868917964624	0.000837059295959792	0.00016835591102950704	57.0	41.0	-4.060527092297727	0.00015112325072006593	0.0007656911369816674
P06732	3.10902273071868	13.394688012083375	-2.49745439769488	0.35466153558655833	0.12188489244343842	0.5874381787296783	0.01095540698223218	0.0040362025724013295	31.0	3.0	3.0874870428712176	0.004231480299523484	0.01154434625305894
P06733	-1.9640377613577622	15.785894496936303	-4.958679559546669	-0.1256835410362811	-0.2538451558182391	0.0024780737456769064	0.09559155029451948	0.054442589676421	57.0	3.0	-1.9344583471391756	0.0580257865765287	0.10022635863218593
P07108	-5.797390846256242	15.22664014115008	3.642035705817797	-0.3807525008642081	-0.5170988639300496	-0.2444061377983666	7.828224414317096e-05	8.387383301054031e-06	22.0	3.0	-5.483183564169003	1.649032379180244e-05	0.00013492422130555382
P07195	-1.0755284305759987	17.93881639042283	-6.25926455851183	-0.056243616257617646	-0.16097593949763034	0.04848870698239505	0.38036087072792557	0.2867005811313875	57.0	8.0	-1.07191546142467	0.28827559046443213	0.3810482225135472
P07225	-2.9986941756880308	21.38346215395326	-2.640522445170939	-0.17371593887898484	-0.2897370145909296	-0.05769486316704006	0.01095540698223218	0.004023506798159688	57.0	27.0	-3.03938275996986	0.003575724394070883	0.0099596093070456
P07237	-2.2815760766009294	16.341478647011872	-4.327231814471346	-0.10959368438780359	-0.20678317912878125	-0.012404189646825922	0.054983378454495926	0.02811180251808814	39.0	3.0	-2.1767344745019406	0.03561772027243658	0.06695627980542848
P07307	-8.749773083010767	15.925837492207846	17.367760447635412	-0.7076145325958887	-0.8695825810791443	-0.5456464841126331	4.4634412629309366e-10	4.1949635929802034e-12	57.0	4.0	-8.765060803955945	3.743784445640984e-12	3.983386650162007e-10
P07333	1.3579782996978766	14.657269138715247	-5.922509698089049	0.11135012108366027	-0.052870337147712804	0.27557057931503337	0.26324315269452775	0.17985839218728616	57.0	3.0	1.3471678635214996	0.18325755740395358	0.26783796851347064
