ind.p.Center1	ind.p.Center2	ind.p.Center3	stat	pval	FDR	weight	ID
0.000333831910059876	7.15408473923599e-08	2.82253506231013e-05	-7.32712208762295	2.35147593107006e-13	3.64461478380406e-11	NA	P07307
0.000442601337249803	0.221154379670207	0.0642240485890009	-3.24079983818602	0.00119194846225601	0.00593910019325952	NA	Q06033
0.000442670498884833	0.0508948897796411	0.00290444177405489	-4.45671261409438	8.32260548334393e-06	9.39649006183992e-05	NA	B9A064;P0CG04
0.000526524599430624	0.0222911983987091	0.000800157709479071	-4.87305495091657	1.09885642096232e-06	1.67217281450787e-05	NA	P18065
0.000610117276622205	0.465769199712177	0.00904032294487192	-3.28164710956465	0.00103202674940353	0.0052349182940759	NA	P04003
0.000610225816239406	0.0001628828677109	1.395230090233e-05	-6.36117697156971	2.00213601364221e-10	8.75934505968466e-09	NA	Q9NPY3
0.00063576498915409	6.36636227956504e-05	0.000811761807506091	-5.89217583515539	3.81143285497728e-09	1.33400149924205e-07	NA	P01859
0.000637565769651308	0.0654760206511253	0.426329662458873	-2.83917958791388	0.00452296934877645	0.0170219276566856	NA	P10721
0.000835856511768442	0.0701542786060065	0.00713368928702368	-4.08082631451496	4.48758798353211e-05	0.000334182083880051	NA	P35858
0.000849524387140644	0.00403650320397924	0.000373461113451533	-5.28800648548932	1.23656595234106e-07	2.57963286566211e-06	NA	Q15113
0.00130642489701808	0.00274759603107345	0.0039041224484932	-4.87669427083026	1.07878438984243e-06	1.67217281450787e-05	NA	P08185
0.00145600065620558	0.389488575341585	0.190667398430332	-2.38617104308374	0.0170248308168478	0.0509289810760404	NA	P04114
0.0014699703848093	0.00070284646062596	0.00140638498532402	-5.28559554586569	1.25296453475017e-07	2.57963286566211e-06	NA	Q16270
0.0015085295710434	0.229109258270738	0.783309164859074	-1.68837999970436	0.0913383072314552	0.1891621747397	NA	P04070
0.0016365748468762	0.0907586610002734	0.214507663107231	-2.92590934953593	0.00343450998737546	0.0138169942020852	NA	P55103
0.00172117873890832	0.0780721318733091	0.27944811894939	-2.84508991557049	0.00443988880656804	0.0168908813293349	NA	P23470
0.00181441550156255	0.981993548327899	0.00785633685853568	-1.86338930324507	0.0624075138899269	0.136516436634215	NA	P20851
0.00189766356827905	0.00463147032765247	0.0122450508550267	-4.4722917844469	7.73857364670954e-06	9.02833592116113e-05	NA	P80188
0.00195383370441629	0.940243474771453	0.795303944939212	-0.290832181809275	0.771179671155994	0.854154699065183	NA	P05546
0.00197275417973272	0.00669864228479325	0.000186947579416436	-5.14613732636225	2.65904797331031e-07	4.67202912356715e-06	NA	P16070
0.00231359942539863	0.0122122380570002	0.00315064843133686	-4.51139448637445	6.44028177848877e-06	8.05035222311096e-05	NA	P02656
0.00260298904847383	0.596019653387405	0.464671696054997	-1.52398393850796	0.127512723463065	0.235829885477332	NA	Q9NZP8
0.00278202988379453	0.0162733781162602	0.00603643346998271	-4.28397429182189	1.83584134664895e-05	0.000152986778887413	NA	P05106
0.00293876307182974	0.0264069765893729	0.000216324412282477	-4.74021857999678	2.13487784058281e-06	3.1133635175166e-05	NA	P01860
0.00296147616568845	0.0104955688049848	0.00522494051544871	-4.39983420727799	1.08333613931585e-05	0.00010680136776905	NA	P0CF74;P0DOY2;P0DOY3
