P_1.RIC_1	P_1.RIC_2	P_1.RIC_3	P_1.RIC_4	P_1.RIC_5	P_1.RIC_6	P_1.RIC_7	P_1.RIC_8	P_1.RIC_9	P_1.RIC_10	P_1.RIC_11	P_2.RIC_1	P_2.RIC_2	P_2.RIC_3	P_2.RIC_4	P_2.RIC_5	P_2.RIC_6	P_2.RIC_7	P_2.RIC_8	P_2.RIC_9	P_2.RIC_10	P_2.RIC_11	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_4.RIC_1	P_4.RIC_2	P_4.RIC_3	P_4.RIC_4	P_4.RIC_5	P_4.RIC_6	P_4.RIC_7	P_4.RIC_8	P_4.RIC_9	P_4.RIC_10	P_4.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11	P_6.RIC_1	P_6.RIC_2	P_6.RIC_3	P_6.RIC_4	P_6.RIC_5	P_6.RIC_6	P_6.RIC_7	P_6.RIC_8	P_6.RIC_9	P_6.RIC_10	P_6.RIC_11
29596	20342	17199	13758	23947	18455	24080	14776	20438	23686	23942	25460	26255	23442	22296	38209	29614	21696	26656	26878	20154	25582	20776	13783	12059	13996	12394	27080	15941	17501	12167	18297	4547.4	6658.5	4444.5	3562.9	6337.6	3500.5	5057.8	5552.6	6421.1	4765.2	6523.4	7914	8342.5	8532.5	10373	14028	7996.7	9951	12486	8790.9	8634.9	10269	19979	16863	26394	23048	19587	22019	16665	26547	27871	20299	21129
312940	430170	329710	334440	238880	360240	386650	381680	267340	387230	272720	423590	295090	200920	383930	200220	362520	396760	409390	317700	380430	301300	431520	1098000	1017900	353810	777170	506060	1192700	655320	744180	548910	1422600	2761300	841430	1678200	1739900	2533700	917010	2315800	982260	1369300	1200700	446110	604300	667250	815000	1174100	539600	1254200	585550	499510	604090	560880	2033300	2082100	2532900	2247700	1769200	1572600	1057500	2608000	2166900	2595800	2222400
10495	15666	27295	13725	19736	12229	23633	13204	19595	14510	14986	12213	16076	33208	20500	21184	20339	18373	33746	23738	13103	18325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16951	13570	23108	22854	17032	20140	17747	21113	23703	20256	15512	25506	64542	112710	75024	21533	63989	23622	40435	28000	33306	39106
207050	169070	191230	170970	212430	163320	194290	165270	220270	195290	204580	109220	106380	121160	122410	187150	149720	146560	123280	142870	99408	154240	228980	203710	203590	244910	168000	273140	201120	290270	182750	242770	363700	544410	691130	503240	721270	486050	578610	511030	579980	508160	479370	374580	312930	345990	359550	399580	277160	397760	299340	323450	272870	314420	611570	649680	666970	663190	539110	552310	598570	582630	551730	659490	603970
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1476.5	1570.5	2418.4	2643.6	2526.2	2984.2	2402.1	2402	3025.6	2112.5	3027.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10191	11745	14192	13495	13486	11490	12521	11877	19464	13138	10708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
238080	231410	204250	172340	208150	206510	231150	202490	218030	209040	241350	154360	102440	136860	127640	152640	121520	117030	116510	134010	116500	154040	573090	604050	515920	516920	481440	606640	523240	573600	606180	499220	868800	1203000	1251200	1125500	1293200	1054100	1209400	1016900	977910	981100	1122300	419190	408820	426910	447230	437870	410500	503330	408320	384900	383740	375090	2037100	2202200	2078400	2283800	1750100	1537000	2079800	1751400	2020900	1831400	1749300
8319.6	9847.1	6690.7	7985.4	15237	8819.6	11247	7323.4	6946.8	10614	8499.3	NA	NA	144.53	190.25	189.57	129.42	NA	NA	297.45	NA	228.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
241270	168230	145000	123520	150930	141210	135500	146180	145630	159280	165780	74733	90313	148660	114450	182540	102260	103840	118730	102430	97470	115550	336120	278740	223590	295630	203500	246170	235790	239110	247100	242760	424930	514100	619130	453770	517670	459570	582360	409340	403720	418510	447430	142900	170260	164190	158270	160150	167440	163240	162630	159860	153110	142500	668330	732490	610360	639660	581000	472650	690240	488870	511470	512070	522240
3665.9	2324.3	3445.9	3714.6	2839.6	2717.6	3814.4	2099.4	2247.1	2937	3047.3	2873.9	2566.3	2735.8	2428.4	4346.1	2777.1	2586	3580.9	2790.3	2563.3	3560.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35976	39619	35272	28259	40272	31638	37933	28638	33500	33192	37112	21016	20049	25152	20923	40031	24934	22144	21367	22714	20958	27801	25802	25844	23486	20648	21264	28157	21861	25846	19489	20662	66550	76310	109920	77699	124380	87781	132740	66946	76683	77567	74775	16012	16732	18380	19274	17499	18149	17912	15803	15910	13556	16803	140890	168280	196730	185430	168960	129030	192710	121330	154190	168150	140120
62324	46088	51273	47550	53696	52026	50388	51834	51232	62126	60638	65042	41153	73662	62149	80530	63140	55296	62372	53446	57562	71066	127510	127890	109760	117010	92427	110030	114240	115640	107650	103470	108350	124240	145650	133270	138840	110280	146340	85714	94512	104170	125750	68973	75414	76725	72317	97632	88751	99513	77107	75062	74543	62002	281540	192740	218030	202410	194050	188370	249510	188580	215470	174050	188580
243440	405870	368870	243320	393330	426550	568040	382860	395020	347420	390060	227220	347890	380620	244930	370210	282330	329260	282960	498410	183710	377710	607840	909000	1003700	946540	800530	841150	914510	1137800	741230	794220	2056500	1659100	1728500	1346000	2543000	1269800	1831100	2431900	4035400	1941700	1585400	1458100	707250	1023600	969210	1246300	939420	1054400	1480400	1082300	999850	944340	940590	1478700	1398400	1747600	1976200	1528800	1683700	1096800	2029300	2002400	1348400
20258	11011	13644	12441	11480	15738	17323	13725	13717	7914.4	18325	17927	11288	19236	15663	25320	16855	16019	14894	16488	18795	19099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23591	13037	17836	9814	18095	11693	18034	11746	16988	12971	19150	20318	8371.8	12123	9957.9	22795	9239.9	11694	10466	11779	10046	15396	94985	34158	31359	31928	28871	73113	33949	41938	36001	48393	83759	90330	211540	81664	227290	82756	210730	81219	80171	100330	151700	53398	45026	69604	50265	84850	48930	84722	43746	48806	42690	51614	30365	13819	36064	13488	26946	16259	23087	15664	23391	14633	25291
304740	252810	243000	195740	380280	170110	233660	191990	199930	179330	249320	250750	129540	184910	156230	290940	160700	201930	146370	211850	216260	220790	636420	960110	492320	509680	599090	530010	907920	715100	707600	563660	941980	2140000	999430	750560	1604900	1055000	705900	974470	6e+05	660810	855520	559930	707400	734730	542050	944110	516200	827150	485560	512980	491190	597220	2231100	1154000	1418300	1645900	1514700	1234200	2029600	1281300	2172600	1813400	1494300
18486	33257	31798	27117	33523	22500	45438	32813	37511	27114	26862	3406.7	6631.9	9341	11439	8931.4	12039	8175.3	10653	7908.6	8725.5	9298.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
193100	192300	188450	136590	189070	160940	201930	181050	169620	200310	199990	180800	186930	208990	153770	293930	253200	218240	240690	219540	205520	235980	467650	467400	549240	442440	425930	551060	388370	705280	308640	501040	4849100	6859000	22963000	6092600	17056000	7280100	6943500	6040400	9546800	9374000	9908500	1035400	904160	743490	1068200	1183200	685060	867790	936480	796620	807740	650270	2164000	2822900	3197900	2601300	1796100	2424800	2458900	2039400	2548800	2593600	1965300
1184900	898870	997880	851850	1096400	846820	975640	927710	980640	910530	1070600	819310	698070	894920	854010	1138900	847580	994070	814730	936320	856940	1008800	3423100	2922000	2626000	4048300	2451000	3084800	2739700	3275700	2923000	2997800	6788200	7859500	9513600	7412200	11528000	6937200	8184100	6879900	7412600	6794600	7826700	2588800	2384400	2585400	2397600	2164000	2744300	2078200	2434800	2298300	2339600	2221200	7502500	10029000	9559700	11137000	9311500	7081600	10613000	8361600	8393300	8467400	8639700
217480	259010	240410	228400	349540	224300	245020	234260	190090	218830	255580	148460	172780	198500	162260	250310	193640	170280	152430	207680	158660	189240	279900	337790	330490	454230	297830	281940	349000	372310	348700	380870	782630	956200	1519100	800520	1154500	936960	1516900	781920	895270	1087700	1171200	489630	393420	447860	384990	462950	390580	535530	415920	413760	454170	430340	1324600	1813100	1494900	2050500	1614000	1382300	1911400	1144200	1538000	1598200	1703800
17071	18562	18849	18618	17324	22040	18483	25039	16653	20789	21549	7335.7	7548.3	7584.2	10806	17910	10613	11576	19033	10280	12850	10316	8213.7	7372.8	7456.3	8627.1	6040.3	7384.9	12032	17077	9575.7	19237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	853.56	735.31	770.45	782.47	765.15	1046.5	524.37	794.58	976.74	997.25	586.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34865	29456	27880	35013	19415	25452	35181	61535	49722	41019	40021	48651	73943	66275	50457	60812	60785	50501	87420	47927	75826	57950	38139	47057	46024	57226	47023	49163	53566	68305	44268	55344	145090	164360	119130	197950	228620	148900	127910	214770	284340	180400	175870	53111	89899	79360	152140	59530	93713	57644	95178	128110	76667	79080	232520	608230	191450	262690	284270	350020	143820	411940	310630	290870	247550
29268	42153	38624	38487	27532	29788	44406	27855	43784	41698	39126	22991	18694	20487	22412	21040	19516	17064	26904	19070	20977	23518	37194	27916	30078	28110	24688	27604	31961	34197	30294	28174	10994	17594	30861	16264	25695	14996	35861	19258	15997	13902	21163	27366	24129	38343	30480	34004	34503	48465	30068	39010	27147	25972	96896	65934	91579	98211	92970	90354	68298	69676	62897	68390	68611
18255	19340	29049	24246	29560	16830	28503	15682	31820	17198	23488	12298	8901.3	11662	11139	13412	10018	9173.4	13153	9749.2	10530	12979	59630	30261	29793	34810	28402	40294	32715	61613	36750	37390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25776	21895	33060	27919	55143	25514	45063	24306	41544	27245	27923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3107000	3950900	3169300	3277500	2056500	2543200	2839900	2746400	2869400	3032600	3255200	2492800	2267000	2344100	2032700	1983300	2976000	2769300	3092600	2435000	2650100	3150400	7354600	8043100	7306300	9807500	7237100	6433900	7423800	9844900	6852500	7521100	43585000	35363000	35753000	34094000	28630000	27585000	42598000	50627000	60096000	39241000	36668000	6859300	8867900	6453400	7893700	6745300	9040100	5995600	7665000	8067700	8188100	7098600	42352000	40477000	32233000	36703000	45605000	51206000	47314000	43389000	37521000	43769000	38554000
134390	197470	180130	149930	118810	161820	175740	122880	169100	150100	164690	99452	79746	87308	139100	98847	108500	75176	83916	93809	73200	108630	178840	248360	230510	335420	195620	219840	231460	219860	223860	243120	223680	325080	264380	204180	390270	213210	323700	215530	222410	338080	257910	219250	260620	353710	229910	494230	231340	214480	464880	229520	249070	277210	103820	98599	136170	141920	121790	149840	196930	142990	150520	122870	166280
17670	25404	39976	28157	32652	19875	40640	19351	37951	20940	23281	12040	13729	19320	19227	21266	18416	15837	20348	23288	19361	24542	28016	21509	20609	21963	15478	16920	20644	45722	29896	26899	17093	17431	38513	22590	18295	14673	30104	25022	28378	17053	22356	26279	20454	30663	26182	29630	22509	32398	23852	44977	25458	22176	24526	25228	51779	35262	33660	33345	25782	33452	27999	30941	31432
1575600	1643100	1753300	1542500	1966600	1686500	2159400	1516600	1668300	1657000	2027400	1299900	1558000	1818400	1548900	1604700	1787500	1850800	1815300	2188200	1550900	2047700	4798800	4636100	5186800	5841900	5084100	6229500	4803500	5985000	5696600	5098500	15477000	14544000	17470000	15947000	14639000	12093000	14130000	13276000	16524000	14117000	15421000	3998900	3728900	4509500	4851600	4498900	4468600	4026000	4718700	4052100	4599100	3855400	13474000	17472000	16560000	23248000	16820000	20270000	15873000	16793000	17699000	16872000	15188000
1310900	1423700	1146700	1216300	1191900	1174800	1234200	1092300	1166900	1257700	1430500	1178200	994360	1231700	1058000	1202000	1164300	1281100	1067500	1185400	1159700	1362000	2774500	2476300	2376300	2316500	1919900	2391000	2471000	2869300	2691100	2369800	8959900	9569700	11620000	9300800	9664100	7931400	6960600	8175900	9896800	9355600	9165800	2786400	2239700	2740000	2764300	2665300	2688500	2971500	2695100	2544200	2355800	2579100	12737000	13787000	13054000	15357000	14034000	11526000	14556000	13787000	12771000	13235000	11993000
817350	727470	1070200	685160	2164200	703270	1261400	823440	1346600	1131800	977830	1140500	824250	594120	756940	2661400	748170	952100	1497600	936160	733620	1094700	1272800	1968800	2511700	1555800	1570000	2979500	1940900	5210900	1673900	2127200	14576000	6345800	7169900	6959300	21060000	7475800	13578000	6662600	11745000	9804700	9304700	4127000	1377500	6992500	2825100	1016200	2126800	4817200	2600500	3706100	2594900	2864100	3319400	9376800	16376000	9280000	9902800	13086000	16613000	11935000	22715000	11909000	12045000
33331	57662	35180	40205	65000	27143	22064	23459	16692	19300	31152	10348	11366	13354	13842	13487	15142	16171	12950	16720	14510	12933	73266	62219	89434	130830	81200	64473	158900	114170	65546	88261	560240	282050	254350	204910	292460	314920	232160	294230	347110	263980	219680	69827	70257	88302	125890	68798	90658	129400	67125	94461	74406	81969	179900	282650	231800	322770	191740	331310	210300	377000	224530	414580	225010
231610	232360	299650	175540	272030	227310	319300	184550	305570	222170	310880	263400	216230	224580	179920	259560	206680	242290	211000	219190	205210	259930	495010	628080	584870	804880	571820	1054500	624520	634550	587580	656540	1064400	1024400	1277200	756730	1067900	879190	957150	890180	1322500	1185200	1076300	519370	323760	339860	391710	413440	340450	413340	362420	433270	293030	417920	1578100	1203500	954580	1224600	1924700	1200300	1113300	1376800	1028400	1492100	1438400
323430	333290	285810	316810	264150	339130	410710	248780	288510	342170	366340	288950	291950	315640	270460	305040	292180	321140	293470	283120	298840	311580	571850	671500	628500	623580	657220	844610	735430	814800	604990	679670	2123600	1840000	1826700	1921000	1774700	1717000	1821500	1638800	2024100	1959700	1950200	859280	920370	808480	1117100	777950	848190	757220	737510	648180	905380	729790	2678000	3354900	2826800	3706100	3489000	2726600	3172400	2899600	3188700	3312400	2676100
107670	79652	91771	76618	78163	77766	122070	71108	92118	70966	131980	89625	40872	61064	46058	68181	49930	59478	56255	46821	49475	76588	292800	145420	155940	143990	145440	218280	147040	286490	180540	205140	283520	303170	442020	320230	487960	279840	566810	252600	317830	310670	421200	307670	271440	303570	291140	511660	311310	386470	276020	289560	272120	300110	1093900	634260	690920	629800	650290	594730	600870	632800	801800	545890	620360
1781300	2846200	2670500	2620300	2042300	2898900	2832700	2506800	2737100	2730000	2930300	2394300	2290500	2801700	2952700	2450400	2951400	2746800	2532400	2303100	2521500	2726900	8338300	8685100	8262000	8891600	7281000	8920800	8590900	8624600	8443100	7950600	29162000	30181000	25662000	26425000	29071000	28701000	22885000	32629000	37388000	32892000	29803000	6770200	7811400	7290800	8885400	6568300	8355700	6445700	7479600	6796700	8821400	6959600	26545000	19043000	27759000	30316000	27585000	29072000	17690000	30774000	24124000	35871000	26237000
283430	356150	241510	456650	288420	372690	306430	428490	249270	413760	423410	305480	273090	303510	344580	270440	360480	353710	334860	294890	260010	337560	963080	816650	916540	1048800	1047100	925280	974090	1170100	1093500	1036300	2552800	2015300	1848900	2633100	1741700	2495000	2231200	2842500	1896300	2730400	2213700	804430	1174500	930800	1187200	899240	1120700	729770	859310	821990	669900	860640	2029300	3739500	2115300	3924100	2293800	3066900	1859600	3489900	1853500	2959600	2590800
2408600	2456900	2292200	2962700	1880100	2495500	2768100	2079400	2627300	2621400	2748000	2241800	2419500	2441800	2314100	2299400	2436400	2556000	2636700	1951800	2414600	2526700	7057100	5813400	5527400	5139100	5439100	5966000	6009700	8440000	5566700	5523900	42427000	35432000	32201000	31113000	36489000	28892000	25225000	27066000	46261000	38245000	34908000	9898700	7591200	7668400	9540400	5690300	9903000	5037000	10146000	11502000	8608900	6515700	39904000	40702000	38010000	40317000	41624000	44298000	32828000	49184000	42756000	34080000	35986000
162240	220200	202650	314750	388640	205610	266150	133070	467940	161720	219020	93386	81446	131320	78786	96368	102470	109240	71524	99794	155730	134310	273920	315180	307750	414250	254750	444370	362680	397910	442760	328520	330210	562590	643270	613780	562640	567890	1238500	612430	1707600	354970	564020	519860	441880	485180	621230	501140	451590	594790	487320	1247800	716600	495570	578900	825050	641900	645680	372930	504650	357570	565240	635880	395200	682230
84298	120880	117950	142080	145570	101230	135620	81964	186340	102060	108890	40748	45814	75566	54718	57520	58314	57172	55963	71574	73091	70071	74892	103270	98097	148400	86598	119660	113510	180990	149110	126730	300980	507450	468710	470490	494260	489260	900550	465170	821420	339580	489720	136800	132090	144310	164700	153020	125380	176390	140660	335870	184840	142490	227750	459410	416820	400250	233840	287820	271190	330320	336780	273010	304620
1392100	2201100	1417200	1528100	795610	1871800	1624700	1982200	1433400	1752200	1950700	1658600	1270400	1747800	1763700	1065300	1671000	1386500	1243800	1342300	1489000	1752700	2083000	3640700	3597300	2828500	3539300	4066700	3925400	3383600	3598600	3147700	15886000	24803000	9128200	24179000	13633000	26178000	6666300	18015000	15887000	21139000	17793000	3342100	3607700	4321400	3102700	4267900	3787700	3352700	2853000	3023900	3741800	3101600	21809000	20015000	19078000	14413000	14744000	20082000	11109000	15492000	9626000	19792000	14346000
1485100	1180000	1142500	916760	1270600	980290	1285200	1054700	1191200	1408200	1543400	1572000	897350	998160	996320	1331500	1112800	1234600	1207200	1051300	1100200	1484200	2896500	2837800	2441700	1928400	1776100	3042300	2258300	2864700	2505800	3107300	15319000	13127000	19234000	12575000	17196000	12219000	13658000	20009000	19320000	14475000	18826000	2391700	1754400	1816700	3779000	2045500	2139300	2349900	3352700	2538500	2265300	2346900	17594000	113410000	17274000	38823000	20570000	26755000	19661000	30430000	208410000	18992000	18183000
1862900	1860400	1771000	1945000	1485900	1630700	1903000	1551100	1707900	1942100	2193700	1447500	1180100	1733400	1629300	1564800	1529100	1621500	1987800	1677800	1732800	2059800	5662700	4648500	4657100	3434200	4169400	5275000	4815400	5556300	4809000	4581600	83744000	71462000	86496000	68241000	61901000	69156000	85931000	55385000	72718000	67188000	77943000	3869800	5140100	3540500	4643800	2952000	3924600	4984500	3801900	3724900	3577500	3722400	77689000	90405000	84329000	86399000	106300000	97904000	70601000	95208000	82861000	77143000	78583000
487010	579890	587060	618720	402160	542880	605070	414000	622480	570570	686960	529670	510410	691140	637000	511870	660490	719890	522410	850080	641190	801660	1685500	2039000	2081800	5130400	2242000	2921700	1897300	2263600	2619100	2338700	9269900	6606500	4543700	5704500	6319400	5498300	7508600	13832000	15909000	6510600	7463400	2121000	1836500	1660600	2326000	1729500	2169700	1774400	1820900	1794700	2569600	1997600	6566900	9131700	7178100	8391100	8705100	8452200	6105700	8162400	5732200	13598000	7915800
2496000	2542300	2764500	1652100	3707500	1647700	1550800	1764500	2469000	2245700	2238900	2400600	1053300	1245300	2192800	2421500	2138500	1642700	1738300	2780800	1549700	2225800	4920400	5722900	4673000	6471000	3473300	31370000	4207400	4985700	4500100	5147100	10236000	11756000	13589000	9645600	30497000	11437000	17424000	12306000	9736500	10723000	12108000	3761100	3317700	7441700	10738000	6467200	5240800	5213600	5100500	3381600	5647500	4608100	13823000	15461000	15264000	26057000	13427000	13935000	41879000	12900000	54117000	22675000	16161000
12386000	10572000	10727000	11867000	11169000	11423000	11833000	9197900	12627000	11044000	13030000	11561000	10621000	10341000	10092000	11102000	10448000	12665000	11638000	11318000	12257000	12656000	44113000	35978000	33262000	33917000	28632000	35524000	35347000	43199000	30969000	35584000	281780000	220500000	251130000	215800000	278370000	201800000	223480000	180600000	267710000	214110000	237010000	33827000	27936000	31417000	31591000	24431000	30363000	26051000	29947000	31197000	30714000	27272000	342100000	334760000	348250000	416960000	459310000	334260000	489440000	332870000	346200000	338470000	326380000
2901500	2396400	2839600	2193200	2466600	2272000	2668400	1830700	3031300	2458000	2966900	2867000	2110800	2334500	2476200	3029600	2467600	2683800	2429600	2398300	2327800	2929400	11773000	7425400	7623900	8786100	7483600	9010100	7566800	9237700	7555100	8633800	22542000	19327000	29198000	22249000	31501000	20377000	28550000	17701000	21689000	21334000	24571000	7259000	6020100	7195900	6741000	5896900	7647200	8592400	6174700	7296300	6541900	6387700	33416000	40074000	32931000	40951000	43249000	39925000	40721000	39677000	27453000	26448000	31681000
69945	64312	60262	56972	71713	55430	53751	55462	55491	58526	70110	31747	24645	32417	30774	37795	28641	34680	38312	35551	29700	37073	49135	36507	38028	39071	34903	40564	35077	56239	39041	47351	120950	138290	220970	129300	199670	115050	152050	129260	116410	113070	175520	77357	78216	77540	64510	71577	69785	80147	71288	76793	57116	75503	148010	104270	149740	138430	126470	112120	165270	124720	135760	125700	122160
139680	107750	98952	98268	107260	101630	140590	92660	150860	105830	170550	142780	65650	88197	66128	168010	75975	97370	78683	75077	72527	130000	690760	444590	443370	390540	424500	507770	408220	660430	484590	503140	258780	290240	432770	283260	422110	275330	647740	266820	312360	283230	470870	234380	188370	197600	219910	511090	207600	644670	191640	208630	185970	246290	769410	464630	452270	454450	406450	415140	492260	405460	717720	389540	554550
12103	16563	15255	13035	15053	15643	13427	18517	18581	16783	21184	23053	19583	19283	25186	19393	18143	16095	22088	16899	23387	23241	41006	42383	40358	40898	41495	43128	45899	43438	44033	53699	242000	342230	269990	252760	306880	262170	273300	277960	288010	298270	193180	92773	47348	99398	85754	111790	81766	212800	76967	74377	78755	71171	138410	144890	179160	167100	145820	153890	143960	118220	167730	171500	89627
