Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
P54108	257570	279610	245000	216690	234490	300790	233010	250460	311840	209120	251730	454730	281530	327080	274580	322000	320470	309320	288110	260250	278170
P54289	17559	20409	19836	21359	18435	25743	21581	20526	19820	19894	36492	55260	49842	55187	40684	56098	45743	43573	40423	43742	39900
P54802	9800.1	10756	9011.4	8612	7482.5	10757	10145	10800	8505.2	9257.1	7519.6	6414.1	7442.1	7544.9	7053.8	7479	6061.4	7234.4	6001.4	7489.6	5693.4
P55056	135390	124840	192200	502420	170550	257270	120870	161940	153610	222050	361830	249350	439670	470200	369450	249490	576860	347670	289890	253930	356150
P55058	104060	84122	98275	102590	74075	121960	92782	108520	93692	107580	94178	122720	121400	89625	148240	127440	154710	111360	127210	124350	112900
P55103	41127	54447	47865	40901	38395	52848	52953	54441	46996	46140	22848	19195	20048	27584	34463	26057	30490	26470	21093	28213	18406
P55201	4245.1	3676.5	4481.3	3602.9	4710.5	4417.2	4005.3	5634.5	5378.9	4067.8	5385.4	6655.7	5317.3	5906.4	5367.6	4776	11131	5784.1	6619.1	4922.4	5304.8
P55290	58184	70885	56911	57363	50239	61862	66901	57374	67330	57303	90603	88181	124060	103520	100590	112890	176350	87012	92125	91160	82569
P55774	23894	14129	21898	25516	17437	30084	19736	18657	20646	20843	3982.2	6018.2	4753	4585.5	5100.8	4992.8	4458.7	5096.8	5292.9	4255.8	4898.5
P59665;P59666	96665	38082	37606	35252	40362	58439	35387	59546	45874	46653	37263	28929	49034	36607	82996	38341	65728	40635	50535	42062	44367
P60174	7858.5	10737	11187	8547.5	8240.9	11019	12390	14871	12663	13942	6125.6	6286.4	7115.2	7883.5	10274	7746.6	10800	7586.2	10979	7755.7	6220.2
P60709;P63261	811160	856270	892020	634630	613910	783230	699270	1538700	1047600	897630	647830	840400	998780	910050	883640	822410	807730	1072400	1310700	773570	745190
A6NIZ1;P61224;P62834	38629	63999	50459	36674	47103	32175	43017	86892	59809	44818	49038	99518	73020	76214	83184	91539	49107	94130	90178	90009	60435
P61626	465540	226930	218720	193470	217360	353340	245870	402910	288260	287920	324430	261550	236500	310030	1033800	288720	466430	277420	272940	228120	356720
P61769	309020	98335	105040	105940	100640	208360	106940	236410	120470	152010	200710	198940	163050	159630	641290	164810	342680	152810	174860	138710	226340
P62081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112560	54509	119390	118820	125410	128480	155430	116160	115620	120230	80895
P62328	502630	267160	252930	210640	166540	274440	191710	2131900	414820	563130	213220	369960	957770	207470	792260	339890	323740	378330	806990	318390	403870
P62750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39352	22484	44311	48921	43521	43898	41844	46647	39091	43757	23563
P62805	57459	56125	62613	62138	51686	60408	63448	72939	53384	69775	256020	127260	243620	229170	236040	216580	292520	212550	239760	219470	127990
P62847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5949.1	4486.2	5070.9	6135.7	7023.1	6767	5458.8	6938.9	5429	4177.2	3457.2
P62937	113080	91579	94592	79803	71979	192710	72244	301230	128910	118070	76166	73946	162460	135620	123490	110850	119730	121880	138770	118230	81431
P63104	42442	46896	45647	41080	34830	39980	36636	61558	51816	46577	73258	84842	111260	98719	103480	88414	155750	114080	123680	98911	84561
P67936	46514	53132	50612	41378	37486	45249	44210	189230	57515	65283	26850	33269	65747	40875	41775	37781	34047	48432	60925	38791	38075
P62736;P63267;P68032;P68133	111930	102200	104740	70957	76141	94604	83242	190320	122200	106970	78989	109990	127250	100090	107730	95725	103800	126240	205320	94133	97106
P68104;Q05639;Q5VTE0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	105710	60363	110990	105780	109980	104820	165660	96051	93265	100520	69647
P0DPH7;P0DPH8;P68363;Q6PEY2;Q71U36;Q9BQE3	11137	18532	17228	10697	14176	9191.5	9959.3	20659	18019	14344	55854	59025	74960	70685	72225	69475	79504	87149	70137	69237	55590
P68366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1671.9	2729.7	3410.5	2848.3	2084.9	3067.6	2196.7	4647.6	3277.7	3242.2	2203.7
P68431;P84243;Q16695;Q71DI3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	111750	21976	116730	107830	115360	102050	122300	93852	96735	93782	33883
P68871	314920	535740	456740	507140	370720	436360	502420	635220	613740	487640	421240	342690	469550	374460	1784300	349790	494000	333780	864020	494990	369910
P78417	32988	22805	23306	27240	22117	28257	34921	46233	35252	27890	16338	14495	19660	20790	20458	12730	18148	14290	21826	14078	12574
P80108	1663400	1430700	1398800	2613700	1360300	2086700	1725800	1353800	1422500	1609400	1421800	1091800	1316900	1351000	1364000	893640	1766900	1202000	1468400	1183000	1181500
P80188	226050	94810	84130	74617	77852	132320	75440	141180	92732	101240	70676	61237	68910	56007	165530	63403	132910	50733	70858	56787	75006
P80511	12055	6595.8	5917.5	7240.5	5698.2	11094	6305.7	15009	8289.3	10561	6277.3	7978.5	11040	14443	11676	9708.1	8853.5	10054	14878	7591.1	12795
P81605	102800	95735	82936	110890	75413	127550	105550	110050	84871	111650	192420	120100	166040	166630	216040	154400	202700	138680	167770	145620	135820
P98160	230150	174320	156300	163360	135570	184200	170440	183060	166140	176140	170290	212490	222590	187720	349240	207510	251930	228710	164180	165360	183380
Q01459	175710	195460	192840	193260	152890	205920	204370	226530	188090	164660	292620	241720	261940	310070	276520	269670	212630	252940	244740	246490	223790
Q01469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35106	16067	32108	32040	43428	29073	83300	30540	24874	26666	26752
Q01518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2106.4	2208.6	4274.3	4063.1	3197.3	3658.7	2256.1	4706.6	4981.1	3732.7	3502.9
Q02413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9075	9862.3	15078	11733	16647	9997.8	10877	18710	11735	11632	10164
Q02487	20154	15394	15239	18687	13673	25473	17166	22295	18697	20464	17373	27366	18236	11116	34747	15744	24392	8409.3	14550	8947.5	18370
Q02985	204630	223530	179210	196360	255490	296510	171310	278780	244120	267780	172180	258220	161600	189690	278290	208690	223950	119250	182580	208550	223370
Q03591	289790	443000	256570	263050	350310	540220	357130	589860	425640	430770	580510	614630	433070	765320	859400	634420	759950	588350	620860	670520	584050
Q04721	4006.1	3508	3381.3	4485.7	3754.8	4213.4	3843.7	4161.9	3498.1	4021.2	5284.1	7334.1	7210	6717.3	8155.2	6747.8	6114.8	5380.9	5145.2	4080.4	6475.1
Q04756	803400	759280	628110	647990	528940	794990	593220	609540	675220	660120	701090	654780	862270	588690	665140	682060	466560	549700	661410	643110	597490
Q04917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q06033	2465400	1521900	1217800	1038800	857020	1340000	1247000	1648900	1407600	1383300	1625300	1154100	1995100	1243500	1375300	1562700	1973500	1509600	1875300	1282000	1507800
Q06830	7362.1	6478.1	7456.7	8445.7	6563.1	9263.9	7208.5	8493.7	9042	7149.1	23481	16617	24289	21753	20477	19303	41444	19840	32239	22813	18787
Q07075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10679	13372	11806	13403	14212	12726	11371	11215	9605.4	11298	10081
Q07954	32306	27802	24629	25502	22274	29413	25936	30775	28366	28222	36972	41301	39509	43519	45837	45590	42810	42178	37548	42289	38671
Q08188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5156.9	5710.3	3432.7	5641.5	6282.1	5311.5	4322.2	5126.4	4236.1	3100.8	5318.1
Q08380	881240	605330	715400	908000	789140	583170	677310	1582800	618590	766210	1154800	626530	865610	1068400	1328300	852770	795650	987540	1525600	1010200	889730
Q10588	33741	44292	40220	31669	34903	34875	39763	50466	31864	38200	29748	35171	33254	39723	36504	47252	34026	41781	34562	36630	32598
Q12805	679480	423300	424550	6e+05	347000	557590	400900	497650	456730	504560	354100	318010	502400	355840	509080	368150	526530	313970	330220	295910	416870
O60282;P33176;Q12840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19762	39380	20682	32149	52376	34644	37087	30001	19400	35879	32218
Q12841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6794.8	8111.4	8531.2	7359.1	7327.7	6660.5	9436.3	6888.5	6791.7	6016.8	7572.4
Q12860	90041	109290	94558	125440	85320	96357	91513	97870	93423	90345	128280	151420	134480	151890	156600	146480	122770	141380	105480	113020	113450
Q12884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5657.8	5009.1	7227	8153.4	8027.6	7845.6	7404.7	6353.9	5389.1	6176.7	4844.4
Q12907	52545	27245	26224	26931	24017	41687	28302	53998	33395	35605	62420	70498	84884	48099	79125	52290	88556	49840	77693	67504	92497
Q12913	71206	75342	65231	78681	65650	68497	69718	92117	77344	66477	60931	62740	58353	63083	54945	61549	56202	63843	61051	65456	51227
Q13093	70301	81638	69703	134150	72337	63329	79654	93217	72264	84908	118760	85416	75857	75224	70078	52856	144970	60715	99659	60109	75330
Q13103	243300	175050	169860	154570	166850	190830	143540	177780	188890	149470	167130	133180	168810	161620	225190	181350	162020	195980	134150	182780	145030
Q13201	158760	129450	137400	125340	125590	167470	133130	178910	142010	139450	94063	103840	115110	82861	111900	94920	121220	144620	86239	125650	92472
Q13332	11010	11626	8868.9	13168	9133.6	18702	8907.9	15488	11021	11615	12439	7300	22431	8493.3	16991	11784	12225	7217.6	16276	7125.7	6626.6
Q13421	16857	9622.1	9669.8	12622	9004.2	11556	9006.4	12362	9618.9	10359	6846.9	6710.4	8773.5	5498.9	8428.8	6413.7	8744	7724.1	6895.5	5697	6259.1
Q13508	59937	43564	39343	94174	41292	75856	42781	62065	46084	64032	23875	25434	38597	23504	35704	23131	57848	17671	25050	21452	30762
Q13740	131500	143140	100890	137290	87257	118330	169710	135090	144100	134680	112680	121260	131240	102240	104720	103070	113130	121690	100280	112920	112370
Q13790	147960	106800	108660	242100	115920	145350	91518	132700	126000	136380	119250	105120	177660	101090	120840	123440	143560	118500	136070	125240	136260
Q13822	105090	156250	142000	125320	124860	108550	125320	147790	149120	118460	165400	140750	165070	147310	133390	195420	146620	160530	144770	155110	123120
Q13867	6128.9	6018	6247.4	7879.6	5709.4	6464.9	8306.6	7463.8	5468.2	6418.3	18467	15562	17060	21484	19536	17289	26759	17762	18013	15840	14925
Q14019	18989	12895	15584	11808	12487	10893	14369	47282	17153	14916	10594	14100	20292	16234	24639	16574	16701	16106	14525	14004	14464
Q14118	3597	2222.5	2020.5	2619.5	1969.9	3486.8	4181.8	4617.4	2617.7	2117	29210	24015	44016	30406	35060	28687	43260	28248	29622	28373	27563
Q14126	66136	64406	55869	61481	53414	66284	133990	68712	84040	51053	39563	35297	36054	35611	40425	35122	46734	48061	29452	39414	26917
Q14314	24251	11496	13560	17863	11653	15797	15297	18639	20256	10574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14515	129830	107170	102960	93701	88181	124000	110850	118990	112100	117970	193150	208280	295910	217030	309720	224930	396600	216800	185290	213570	220850
Q14520	1114600	1208700	1275300	1768800	1331000	1574100	1354000	1543500	1347500	1310500	1283400	1074100	1445100	1037200	1365600	1448900	1424400	1411100	1325200	1500100	1285400
Q14624	6982700	6024000	5604300	7126000	4627900	6981900	5456000	6351200	5744800	5498200	5144700	4527300	5383500	4695500	5663800	4566100	5327700	4549500	5435500	4618600	4343300
Q14766	54592	59086	73655	48633	63799	74655	76441	69094	63734	55374	77172	122470	89714	102830	83274	95638	84649	149840	70671	76174	84716
Q15113	116500	95282	99597	116110	82509	252100	91885	147500	108210	129740	230990	183530	264340	174440	299780	165520	180860	147960	184090	154430	186780
Q15166	95672	128370	118650	147150	112520	115390	115700	111320	130790	100420	173240	251500	214300	259520	192650	243540	157910	192330	146420	209160	134800
Q15485	357260	253490	279910	419410	214680	366520	249940	325970	232520	309100	665210	433460	517560	649220	416960	455360	477870	522670	633060	434080	516840
Q15517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44440	31379	46803	39920	49238	39497	53678	36832	39347	44885	38290
Q15582	288240	248390	281010	426150	274650	306630	304410	326590	307610	293370	270670	276430	321660	303610	294330	312200	265490	317430	260770	291730	265250
Q15828	81895	22088	24082	32225	24787	53093	22296	50656	31546	45132	47532	43291	43870	41466	149260	43708	130950	40665	44531	39943	51117
Q15848	822900	423160	381310	1448300	361190	425730	309350	397600	591810	748610	136310	192070	243680	221580	258050	318170	299240	202260	165060	182810	271190
Q16270	21572	11314	11242	12647	10029	15289	10018	18639	13908	13994	38358	38249	47206	28040	61022	34732	51784	33687	38365	28201	39140
Q16610	475470	697490	628540	435000	568980	718280	815530	487320	663780	544370	360330	540630	505420	499090	441960	431930	341060	540340	369410	369000	453570
Q16627	30687	25831	21141	23847	19809	33648	19373	36093	27662	30877	51019	74065	44412	51738	78204	54039	73121	44441	42149	40820	58841
Q16706	11478	13438	12190	15313	54778	14877	52312	21098	15311	17808	805.17	861.82	1045.2	621.12	1741	31232	2687.9	24744	6435	2983.1	4078
Q16853	2703.7	2936.3	2846.2	3304.1	2425	2781.2	3348	3106.6	3330.4	2869.4	21202	19660	25564	21706	29430	27468	29421	22505	21512	18959	20331
Q4G0P3	28937	29398	23688	35469	23094	29820	29702	31730	25266	34190	77344	80257	67881	82285	71227	77598	72112	76102	76049	74694	68174
Q5T749	50955	45517	35280	44503	36891	43093	50141	48184	41284	45343	82824	78388	98055	94478	94931	92073	94258	98237	83786	81325	77597
Q5TEC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16969	7512.6	17324	18209	19694	18083	24034	19505	16933	17027	8264.7
Q5VY43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2202	4266.2	3213.7	4064.6	5401.5	1373.3	2577.5	1889.9	1329.3	1154.7	1258.9
Q6EMK4	68040	54851	58295	53376	50415	68875	53931	71769	52055	58370	214500	177320	222070	198800	214720	208200	201040	204100	205330	174460	171010
Q6P3X8	11261	12877	14067	15237	14835	12509	11087	12362	12077	11848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UWP8	27853	16109	16713	19984	17314	20733	22515	29901	19652	20029	42963	38351	42073	38587	60753	40066	52893	42600	37306	31291	41331
Q6UX71	150970	142340	110550	142180	101810	153260	147920	144530	115530	135080	64374	91602	64179	67881	83920	79019	76891	92774	67672	42739	75268
Q6UXB8	422240	297280	276030	264510	197010	262350	237630	423470	295280	307050	435150	415480	551670	349720	760590	361120	388740	282530	271680	297630	362080
Q6UY14	2328.3	1442.2	1191.5	1529	1110.5	1782.3	1439.7	1343.8	1995.6	1747.1	10733	23690	13833	13477	27918	21351	16666	11317	10263	13030	14312
Q6YHK3	19356	23772	27873	24628	21644	25548	25473	28286	28667	24731	26245	27324	24401	24186	28060	24066	28254	19707	23189	23051	26215
Q76LX8	45793	56005	53499	49727	45021	57373	49808	56602	54408	47441	42533	42318	47258	49999	48705	48971	44159	61599	51332	44388	45143
Q7Z7G0	98602	117110	114830	82367	105060	89736	147030	119270	135670	109460	83061	126510	99412	115900	114580	100470	97718	103820	85583	101210	99865
Q7Z7M0	28853	31354	30979	28472	24667	37624	18762	20005	17455	20215	30814	34490	27943	42576	35632	37963	32523	36686	26775	30256	28415
Q86SQ4	47859	51943	54777	78242	50387	65931	53753	64585	58718	59535	27026	19866	22220	25505	18711	19439	35783	23056	26622	21721	23916
Q86U17	47684	56948	44645	41555	37878	38735	52346	49036	53180	32466	94371	74307	84323	43581	61876	93112	72117	95535	71164	79890	66833
Q86UD1	66052	38116	36210	49564	35740	54957	37575	49165	37025	40897	47186	30337	55569	39621	63259	46353	44651	35250	49353	46456	44170
Q86UX7	9804.3	13157	14741	9035.7	9883.9	9687.8	9308.5	19853	14456	12843	3783.2	6757.4	8830.6	7679	7567	6545.2	3671.2	10589	8988.6	7119.4	6327.9
Q86VB7	104800	117930	95521	75105	92152	107020	124920	152490	100930	116860	169370	172800	176510	167820	212880	231150	209900	163610	254270	149310	170380
Q86YW5	23302	22044	25437	21611	19615	21211	29522	36201	36222	21364	49652	54224	65109	75598	69721	66781	66427	144200	60656	111800	50206
Q8IXL6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22671	23177	17870	25964	23328	25118	17784	22057	23131	22969	17567
Q8IYE0	35417	29356	29335	18801	31325	39195	27615	34223	32232	25422	8699.9	10166	8837.6	10548	9101.1	12656	6925.9	10339	9031.1	12514	6839.3
Q8IZF2	17225	21972	20299	16383	21781	19535	22380	24502	22808	18147	17979	20004	20226	20985	19551	20337	19149	18931	17784	16854	17659
Q8N6C8	19882	23733	33823	20031	19565	21595	31516	42396	25905	24356	20888	26646	22549	27743	29877	29489	16450	25339	31623	24026	20956
Q8NBJ4	17030	10727	10239	12685	10014	11428	11812	19336	11623	12472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NBP7	37108	33363	34920	41045	31557	38584	38269	38349	34508	36801	15300	15417	19343	16955	20417	17677	18713	17446	15959	17879	16887
Q8NDH2	18946	15825	18436	17852	20304	16239	85717	23918	68902	15305	1471.9	1906.9	1391.8	1415.5	1071.1	1398.6	1448.2	1236.3	1413.1	1418	858.41
Q8N423;Q8NHL6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1463.9	1391	1365.6	1730.5	1436.3	2034.2	1661.7	1482.8	1263.2	1252.7	1611.1
Q8TER0	5139.3	7408.1	7020.9	4463.3	5586.2	5810.9	8283.4	6539.7	7393.9	6129.7	2001.8	2054.3	1304.8	2203.3	2943.3	2671.4	2502.2	2909.8	1901.5	2380.5	3195.8
Q8WWZ8	7725.6	6795.1	6505.2	7436.6	6619.9	6565.2	5491.9	7271	5878.2	5610.1	3701.6	3029.6	3016.5	3217.8	4811.1	3365.1	1910.7	3143.3	3475.1	2177.6	3784.1
Q8WZ75	17045	18660	16985	18037	16161	18719	18832	20242	16385	17709	43355	45347	69552	47515	46935	47528	70261	38075	37426	31147	42926
Q92496	92404	81957	64342	87124	56929	94182	63563	86279	74293	85826	52006	51810	35010	46496	35492	35147	58651	20910	40644	59742	46314
Q92820	253590	207310	153360	157740	138030	165150	185810	252850	162760	168740	210210	148000	160830	192050	180210	145560	126800	176200	170290	162610	150440
Q92823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3736.8	5449.1	3518.3	4283.9	3780.6	4435.4	3733.2	4063.9	3005.7	2670.8	4117.2
Q92859	8251.4	6834.2	6405.7	6790.4	5178.1	8593.5	7248.5	7633	7548.7	6987.3	5775.3	8512.9	10166	7680.8	8021.8	8543.8	7793.9	8280.7	6680.4	7592	7697.3
Q92954	710070	672000	641800	1078900	683570	1097600	871540	1231800	632700	931850	1081600	753170	793200	1073000	724860	848890	644430	999860	1005200	861330	947260
Q96IY4	416850	521140	469990	493250	435670	503960	495840	545530	489560	482780	609380	545670	524430	683050	506780	671160	583340	591130	570240	648330	489140
Q96KN2	451380	591640	861390	644280	623360	794330	1227800	965640	733450	737840	925730	425950	712450	828240	519880	781010	821880	659810	860900	994220	672400
Q96PD5	566780	779210	704930	587670	576510	749120	679360	778010	780850	651120	803710	567430	747290	770980	738450	761330	586380	762660	664800	681160	577350
Q96S96	141940	41862	39571	71427	40328	92656	34902	90290	43204	60359	107910	100200	175870	103310	283110	95174	164750	159130	102140	138420	112250
Q99497	6016.6	6196.6	6163.4	4983.7	5658.3	7287	6059.9	8146	7398.7	6818.1	7033	4055.8	6741.6	4639.9	4489	4440.9	7254.5	4919.1	7071.2	4314.7	4573.7
Q99784	105890	140990	127500	109540	122900	114900	124180	124950	150320	124290	97067	118980	98000	106680	119370	122870	96750	108770	83681	89682	91635
Q8N257;Q96A08;Q99880	43819	30326	31457	25442	28166	27141	25107	39079	28671	70462	156530	59382	166250	158550	174380	148270	195040	141900	140740	141010	77956
Q99969	62984	51303	48027	47070	44497	68155	54212	77514	50943	54714	43236	43358	36284	52598	91058	54364	56346	51947	44285	50875	49254
Q99972	67474	33370	28898	27853	25623	51534	30530	64008	39058	35376	35683	25660	57321	33063	65337	29801	37728	21971	31699	22392	30034
Q99983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6611.2	10035	10646	9236.1	16401	12648	10220	10007	6714.3	8086.3	7971.9
Q9BTY2	12172	17726	18360	23204	17683	15529	23552	28334	14324	17883	18239	27677	26767	19002	13977	28319	17338	15473	28636	9466.1	17651
Q9BUN1	11628	15734	16217	19073	12060	12745	16230	22104	11891	14482	36721	40700	54656	35704	43639	47578	45756	41238	34526	40052	38996
Q9BWP8	75437	82797	80482	88930	64821	86613	92838	82539	101330	86636	75214	84869	88356	80509	87851	79862	74474	89984	75309	73871	76538
Q9BXR6	540130	638530	528760	611090	572400	692390	618750	840330	625130	603920	540810	472480	462480	551900	479180	484720	509080	438650	476640	520870	472510
Q9H299	47871	26244	37540	23162	32806	28387	38744	82358	31984	22588	35865	35979	52151	47810	42953	41586	30552	47350	49618	35224	33389
Q9H4A9	11805	13304	12335	14009	10752	11053	13062	12530	12881	11629	6328.6	6317.1	6455.4	7200	6075.3	7650.4	6953.7	6955.5	6304.4	6231.8	5700.6
Q9H8L6	20643	28036	28815	27183	29268	26133	27628	27087	32152	23082	18121	20483	17535	17888	13669	16850	18138	17261	17636	15651	16778
Q9HBB8	3543	3907.3	2830.2	3510.8	2795.3	4251.9	4475.3	5738.2	2750.7	3019.2	15737	16985	14298	14792	16340	15043	11235	15998	13577	10815	12285
Q9HBR0	14537	10378	8253.2	10771	8329.1	12446	11074	12415	9452.5	14300	18726	18689	24378	20698	29315	20725	31919	24347	19005	16516	23305
Q9HCE7	6518.7	7267.5	6067.3	5610.7	5926.1	7977.4	6837.9	6747.1	6870.8	7348.4	3832	5742.4	2021.1	6225.2	3786.9	4869.7	1662.6	4952.9	4032.2	1927.7	4142.5
Q9HCN6	65590	88831	66387	49257	53451	58071	66366	129980	71909	77062	16501	23223	30180	30576	36797	33746	37923	38114	25090	30725	21311
Q9HDC9	253910	111830	130040	215670	137910	240510	132270	168100	167390	194200	207930	147830	138790	132310	237050	143520	476690	163340	253690	177190	179080
Q9NPH3	196600	212510	220210	192680	164670	206750	224320	188130	262090	180550	79593	105200	114640	93984	133630	85795	92858	85270	76717	137870	89057
Q9NPY3	48106	30864	27163	40876	25394	47955	31206	49744	34454	39060	68876	63802	160590	66469	98745	60704	105080	52057	65949	53562	70396
Q9NQ79	392600	435640	393050	431530	383670	410240	439550	433740	714700	396200	368070	430210	441510	548570	431630	524060	387740	593810	382840	451610	396780
Q9NY97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33178	49790	27832	50056	84719	51597	58963	44756	30356	59571	33361
Q9NZK5	46878	38821	40387	45269	35991	44381	42964	62612	41743	39368	51295	52369	45070	52617	43115	51366	49591	49659	69487	41638	45074
Q9NZP8	456670	432650	416090	517850	386940	422440	486660	626420	385400	425510	530060	561090	437940	485790	506250	484050	461270	476340	475900	418280	446440
Q9NZT1	28940	24268	27545	30792	27019	30386	26706	30651	27414	27740	111730	96164	118550	150210	162070	125090	212610	120250	93554	135060	119270
Q9UBG0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6306.5	6336.4	6728.3	7957.6	13151	6873.8	7067.5	6980.1	5985.5	6660.6	5618.1
Q9UBQ6	5412.1	6294.2	6017.9	5454.6	5212.3	6312.9	6691.9	6519	5691.4	6573.1	30719	32683	28821	37157	34034	36340	27013	36686	34107	34799	24618
Q9UBX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UGM5	255840	329040	367550	419180	331960	351470	362850	427050	332150	292710	455140	387960	392570	443900	404670	446770	275140	430020	397350	445260	372310
Q9UHG3	403330	485630	506070	863350	437330	653440	479290	479270	468700	524060	755360	565010	917870	732270	681610	457730	811600	534870	625890	562340	635640
Q9UJJ9	36631	36012	29280	42650	28069	45590	36542	43723	34694	41182	46264	35705	47226	47234	46271	45888	50745	37717	45711	41829	42729
A6NK53;Q9UJU3	1547.5	1103.6	2091.5	2897.5	1801.3	1399.1	1613	2383.1	1724.3	984.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UK55	471350	391580	387770	457260	371900	475850	407850	437250	384340	355950	493590	357610	492020	399790	431440	483320	412030	537860	507980	475970	388600
Q9ULI3	78924	89480	62558	100060	70151	91665	70641	103360	46029	79443	70603	88039	122560	72989	96587	79155	101070	47745	52959	47104	71501
Q9UNN8	58119	91267	68652	68483	61728	60748	79316	106970	79104	70665	59545	88445	60662	129180	79795	59838	62108	59880	60991	53973	60719
Q9UNW1	124520	121000	111800	125870	103350	148120	117320	138930	127550	118960	114830	122620	104720	120380	128060	100820	136600	96123	97360	110910	91097
Q9Y490	186360	165770	204510	110520	105040	128970	124060	260270	196340	152090	108650	161450	160800	162030	161290	141270	113610	227590	202830	145680	131900
Q9Y4L1	69781	50666	51069	60795	46624	68398	44183	78585	50827	58811	65944	55359	78721	51219	72326	53873	100360	41883	54020	46662	56098
Q9Y520	44337	21495	15809	13131	30120	29697	23475	53336	40748	25818	2010.4	1887.6	3657.1	2536	4026.8	1811.8	3931.2	2307	1759.5	1806.1	3518
Q9Y5C1	81333	54636	65852	58618	57104	61743	53636	83785	70078	63319	129920	74198	140370	91314	147890	110060	133540	107840	108520	87123	103210
Q9Y5Y7	340560	380980	309930	232900	281480	256380	256360	307270	299270	283680	150930	179070	242600	166220	216450	200470	246430	137910	167310	164320	179610
Q9Y6R7	1743500	1050700	1056900	1697900	925910	1297700	1192100	1245000	1095600	1305800	1068300	978230	974940	1107800	1362600	1410800	1226400	1143900	1506300	1018500	1594700
Q9Y6Z7	72788	71918	66536	70975	62562	70479	69982	76156	82362	66044	67923	72395	77023	77668	82281	77109	67375	74307	69850	70284	64249
