Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
P01706;P01709	21899	62504	47651	24808	44291	25228	58837	42102	29771	28242	15088	24998	23554	22673	47345	18489	31733	22462	19122	19066	19174
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	56337	146470	108520	43925	63895	51354	117950	59367	52983	54285	98262	116500	138290	123630	230530	91302	223650	100030	119160	114940	91747
P01766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7821.3	8354.2	9964.2	8675.7	15834	11271	15949	8591.8	10176	8945.7	7799.1
P01764;P01768;P0DP03	59284	237010	140490	98970	146340	61172	204350	106030	135000	88717	137390	214780	177210	230820	454220	152780	416320	191480	238780	184580	164090
A0A0B4J1V1;A0A0C4DH32;P01762;P01763;P01780	86144	260660	182550	93113	167720	98008	254410	128800	143630	107970	192980	289120	230310	356720	562100	226410	372380	250620	228370	263380	216270
P01782;P0DP04	44948	70617	57566	37203	67635	39876	85558	64311	56929	43998	71714	81993	80186	91142	132350	84899	110080	93235	70097	86406	71244
P01834	475580	1478000	1157600	421490	939620	542060	1525000	820900	1123500	766110	660210	919480	801220	1222800	1717500	967900	1438600	996630	767010	1372300	873570
P01857	1170500	3028500	2228900	1034000	2253900	1179100	2466000	1809600	2423300	1552700	1300300	1599100	1780000	1378400	2532700	1450800	1947900	1222000	1134800	2014400	1285700
P01859	450690	1065700	1195400	342530	776370	495180	1486500	621250	890510	598640	339510	650670	441510	956490	860640	560630	821210	682600	326470	700070	455540
P01860	457590	548990	915530	340690	564120	415040	717220	542650	1186700	471620	461690	656820	703830	992750	1663800	827600	1271300	752760	384520	728620	550540
